rank	username	minecraft:crafted/minecraft:raw_copper_block
1	Enderxz3	7229
2	pintsizedrogue	5762
3	EMC_	4606
4	TheBananaKat	3145
5	Yamdalorian	2310
6	luseis	1911
7	thewindmillman	1815
8	gcaisawesome	1607
9	j5ylim	1205
10	Mr_Byzantine	1119
11	Soplight	935
12	QuiCreans	906
13	corvidpartyfor6	846
14	500am	694
15	SpacesickPrism	686
16	ee_echo_oo	667
17	12Magner05	447
18	Kakolbus	396
19	Mr_Sun15	388
20	Mahoose	371
21	Alex_Hansen	334
21	pixelviolin	334
23	TheWickedBird	304
24	yulgur1	290
25	NLKBuilder	256
26	Apollo_993	235
27	TheSecondLord	223
28	Sleepy_Evelyn	202
29	Kowcio_	195
29	Physics_Breaker	195
31	Samificator	154
32	underscore_2	152
33	RebelAndroid	143
34	hanaryheatwave	142
35	sp00ky_ghost977	133
36	PlasticOtari	129
37	philandr	108
38	Jimi7hits	102
39	NutellaPenguinz	100
40	SaphSaff	94
40	FormulaNewt3627	94
42	Buuck_	92
43	Krowuss	89
44	PaperCanvas	88
45	dartwaffle	86
46	DairyNickel756	80
47	Manaateee	78
48	robonya_	76
49	Alteriity	73
50	royal_2	66
51	Pumpkin_P_Patch	64
52	SvenskaHugo	59
53	Flores991	52
53	ZeroAbyssTTV	52
55	00000000-0000-0000-0009-01ff0c3e5e4f	50
56	Moofyman	49
57	Ithaca19	48
58	powercas_gamer	47
59	Silvo614	46
59	groofles	46
61	Valoth	43
61	DJzombiehunter	43
63	k_ce	41
64	Pofen	40
65	ApophisNova	38
65	MyNamaSheff	38
67	Rebytre	32
68	EngagedGrub41	29
68	coobert42	29
70	q_wq	28
70	kekhon	28
72	MyMawgDonaldsGon	27
72	Huwulling	27
72	Dblikstad	27
75	Niklas20114552	26
76	Myszoaz	23
77	xPixelRainx	20
78	Arivana	17
79	Legendosh	16
80	Lez_	14
81	MAns_44	13
82	calamariclam_I	11
83	hcb238	9
84	Tersea_	7
84	_Nat666	7
84	Mattesco	7
84	Spacewardharpy7	7
84	Jimb0nat0r	7
89	BPTY4618	5
89	Rani_R	5
91	lumiscosity	3
91	shadowthemonkey	3
93	ItsDeltaMC	2
94	Saltymart	1
94	craaaash	1
94	Hyp3rion_	1
94	Iamthejo	1
