rank	username	minecraft:crafted/minecraft:dried_kelp
1	Comma__	38791
2	ImpavidArcher	14034
3	EveryonesUncle	10996
4	Touched_Bread	8241
5	TheShyPig	7302
6	Skippeh	6981
7	djancak	5508
8	Blaiku	5286
9	picardred	5170
10	Smoke____	4571
11	TechnoNinja64	4164
12	himak1	4033
13	Hyp3rion_	3628
14	EngagedGrub41	3464
15	NoChumpChange	3365
16	Drawgirll	2556
17	LetsDoItLive	2481
18	MonitorLizards	2393
19	spencersolberg	2296
20	Fuhrer_Teemo	2080
21	oxfordschool	1953
22	sandmire	1853
23	Snowflowe	1618
24	Groovy_MoonBird	1573
25	BumbleBeever	1550
26	calamariclam_I	1451
27	_zzoe	1211
28	DemTechAlpha	1168
29	_TCARREIRA_	1111
30	Fullut	1088
31	joethahobo	1082
32	SpacesickPrism	1080
33	KingMatthew506	1070
34	Steelynan	1020
35	DarlaMeow	914
36	stellarjay	909
37	robotemo	895
38	valiSW	729
39	Professor_x8	685
40	TheSecondLord	640
40	Miko_Fullbuster	640
42	wezzzi	627
43	MattieHD	615
44	Lutres_Torane	576
45	Jimi7hits	574
46	Blackberry1310	566
47	thgrocks	533
48	Enderslayerxz3	498
49	error10101	457
50	awesomeoneme	454
51	seanitoo	445
52	Digcove	423
53	SlayerCrypto	418
54	CalebDHawk	412
55	bigstankyy	364
56	TheOnlyRake	329
57	EcksD	321
58	Froste131	320
58	garrykasparow	320
60	Jackster03	314
61	Werbe	313
62	stahouo	275
63	Moetis	270
64	fluddd	256
64	Barlycorn	256
64	RadarHz	256
64	kinas45y5	256
68	500am	251
69	Optiprimus	237
70	Michaelelelelele	235
71	thescout7	227
72	Dreamdbr14	213
73	monky_irl	207
74	censorsheep	205
75	BurgerKnight	200
76	YungMaki	196
77	Freak_Genius	191
78	Zoeyfortnite	182
79	Ezekson	178
80	mountaingirl311	176
81	Matek_	175
82	Ze_BaronKrigler	168
83	FirsTimeGamingTV	161
84	SuperPooch06	160
85	IAmTheWalrus910	155
86	xPixelRainx	152
87	jacxhadow	144
88	TakeThis2UrGrave	142
89	Kubeusz2010	134
90	wiqor	128
90	War_Time_Leader	128
90	El_Jalapeno	128
90	Powowowow	128
94	Dusk_95	117
95	claivin	116
96	ooga47	110
97	Forcolp	103
98	Nicserso	101
99	Zythose	96
100	xxPipperDipperxx	94
101	PhantomsGhost_	90
102	impossibleteapot	85
102	master9067	85
104	SSytex_X	84
105	07shiny	82
106	Loveablerose12	78
107	Alendral	77
108	Di_infiri	76
109	RocketRidge	72
109	fred870d	72
111	CoryJJ	69
112	Frozil20	67
112	Spacewardharpy7	67
114	DSYisDizzy	65
115	ehunt54	64
115	iTurbo	64
115	PortlyPete69	64
118	2xil2	63
119	Jokerman369	59
120	Soplight	58
121	JitteryJared2	57
122	chipklip	56
123	Hamsanders	55
123	Kamflame10	55
123	fkGrim	55
126	Zenlou	51
127	LeauVox4921	50
128	SidorAlex	48
128	Karbl	48
130	jnp_gaming	47
131	Incinere	46
132	Corbsman	42
132	SolicitedPuma101	42
134	Dedalus36	41
134	Notta	41
134	h2p_emrld	41
137	Alfman007	40
138	Xclax101	39
138	markaus77	39
140	lcvezra	37
141	GingerNeutron	33
142	Jiminie	32
143	noam464	30
143	Dogcorn69420	30
145	titanlax	29
145	QueenShuvi	29
145	Blu3beast	29
148	beeperbeeper5	27
148	heckface	27
148	ROY4LE	27
148	Captain_Hardtak	27
152	BodaciousCake	25
153	StanceTB	24
153	AlphaWolfPlaysMC	24
155	ExtraDumb	23
155	Swalt	23
155	Silvo614	23
158	GoigeFZ	22
158	reaperface123	22
160	6king6colt6	21
160	MustaLoordi	21
162	Western_1	20
162	FelixPSY375	20
164	eclipseboi	18
164	bean__salad	18
164	Nagasaki_Riku	18
167	Mowelan	17
167	SirUnderpants	17
167	parapluu	17
170	ellygaytor	16
170	Bobby808	16
170	PabloGonza02	16
173	ColeSnyder	14
173	TableTim	14
173	419mmurphy	14
176	bloodbiter	13
176	2Stout	13
176	Ghemmah	13
176	Juh1s	13
180	openatheclose	12
180	eviltunix	12
180	seramalen	12
180	MightyWertu	12
184	livzzzy	11
184	Ardennes	11
184	aldplaysmc	11
187	sufjanlover	10
188	Mahoose	9
188	boysnort	9
188	dream_mist	9
188	TheSansMan	9
188	Paintz	9
188	Jackattack53	9
188	Kferno	9
188	little_dUki	9
196	rats_life	8
196	proxivitoid	8
196	Kijiki	8
199	Razzgriz	7
200	regulator75	6
200	FungalCat	6
200	Big_Nate_36	6
200	krutas2000	6
204	SlowMoNinja1994	5
204	SteveCraftBlocks	5
204	SkyHighSkier	5
204	Nicky19	5
208	TheDankPlatypus	4
208	JustAWill_	4
210	Elprone266	3
210	xyct	3
210	BlueZabu	3
210	Arceus1975	3
210	_bruhhhhh	3
210	monolu	3
216	Jalvajar	2
216	cyuar	2
216	rarrq	2
216	thewindmillman	2
216	HellsSponge	2
216	CurvedCubes	2
216	BlankityMcBlank	2
216	vandmanden	2
224	Jorrdi	1
224	tramizu	1
224	InfernalMound	1
224	slkiey	1
224	mwrty	1
224	popcanter	1
224	Skylord_Luke	1
224	LordSpeed37	1
224	Eraxa	1
224	CLUBN2	1
