rank	username	minecraft:crafted/minecraft:red_stained_glass_pane
1	luseis	2315
2	beeperbeeper5	1760
3	Kowcio_	1680
4	Snowflowe	1360
5	k_ce	1008
5	Optiprimus	1008
7	r123moore	984
8	TheShyPig	800
9	Eraxa	624
10	joethahobo	592
11	EMC_	576
11	El_Jalapeno	576
13	ROY4LE	560
14	Manaateee	480
15	Badenbeele	432
15	MousePlays	432
17	pintsizedrogue	358
18	MinttyFressh	336
18	emrekn	336
20	Lord_Jord	240
20	Spacewardharpy7	240
22	rarrq	208
23	VentiHilton	192
23	MadmanRaven	192
25	500am	176
25	Bumpy419	176
25	Onennon	176
28	TheSecondLord	160
29	noam464	144
30	titanlax	128
31	Groundler	112
31	lordpipe	112
31	TechnoNinja64	112
34	livingdaydreams	104
34	redikul	104
34	AdmiralSmoke	104
37	pixelviolin	96
37	Steelynan	96
37	ZoomieZoomie	96
37	Nicserso	96
41	6king6colt6	80
41	Lez_	80
41	12Magner05	80
41	Krowuss	80
41	IamCL4SSY	80
41	lillips	80
41	GoofyBread	80
48	RoskobiOne	64
48	jacxhadow	64
48	Solar_Power	64
48	DizzleJay311	64
48	DarlaMeow	64
48	MovingFish7	64
48	SvenskaHugo	64
48	Soplight	64
56	dopplexd	56
57	Blackberry1310	48
57	Awyrlas	48
57	xxPipperDipperxx	48
57	JitteryJared2	48
57	EveryonesUncle	48
57	Blaiku	48
57	mihimihimihi	48
57	__tomato	48
65	drunkeeez	40
65	Werbe	40
67	_Huge_Male_	32
67	SaucyDark	32
67	bloodbiter	32
67	yheece	32
67	RobotMinion101	32
67	TheTommyGun63	32
67	tompup	32
74	MrExplorer	24
74	AlexxO_o	24
74	fffMike	24
77	Frozil20	16
77	nattybears	16
77	CoffeeNoir	16
77	MoistMicrowave	16
77	Mahoose	16
77	Arteriana	16
77	BobDeBouwer1337	16
77	m_be9	16
77	thescout7	16
77	surfinggiraffejp	16
77	M_Patata	16
77	Marbz_	16
77	SuperPooch06	16
77	Chromary	16
77	Rumpletaezer	16
77	hanaryheatwave	16
77	ItsAki_	16
77	F_Uhre	16
77	PaperCanvas	16
77	Drewen24	16
77	Meatlaugh	16
77	HellsSponge	16
77	FreakGenius	16
77	Blu3beast	16
77	MasterNueve	16
77	MakeHistory157	16
77	SexcMf	16
77	_3Stump_	16
77	jnp_gaming	16
77	Jimb0nat0r	16
77	The_SlideV5	16
77	xolstoi	16
109	CLG_Kata	8
109	TooManyDuck	8
109	Hpdinosaur	8
109	ZaneABrain	8
109	Comma__	8
109	Zythose	8
109	zToasty69z	8
109	420BreadLizard	8
109	THEKINGLyric10	8
109	Druid95	8
109	ElectricDragon81	8
109	YungMaki	8
109	lcvezra	8
109	blackmage426	8
109	HesDemonPants	8
109	PlasticOtari	8
125	YahooScreen9000	4
