rank	username	minecraft:crafted/minecraft:magenta_glazed_terracotta
1	luseis	240
2	lordpipe	194
3	Yamdalorian	143
4	Blaiku	128
5	Kowcio_	84
6	beeperbeeper5	80
7	Jackattack53	72
7	Hyp3rion_	72
9	_Virify_	48
9	EMC_	48
9	Krowuss	48
9	Pumpkin_P_Patch	48
13	Mr_Byzantine	36
13	Lez_	36
15	Smashic	24
15	U_Mos_	24
15	Boipl	24
15	ConnorDanky_	24
19	Fuad_R	16
20	Enderxz3	15
21	Buuck_	13
22	excelsionprime	12
22	Werbe	12
22	MAns_44	12
22	KingMatthew506	12
22	hermmm_	12
27	joethahobo	10
28	SaucyDark	8
28	QuiCreans	8
28	titanlax	8
28	noam464	8
28	Bumpy419	8
28	Inbefour	8
28	StinkyDiplomat	8
28	_flud	8
28	SingedBread	8
28	Quotary	8
38	Di_infiri	6
38	pixelviolin	6
40	Onennon	4
41	Bandito_Roamer	1
41	thescout7	1
41	Rumpletaezer	1
41	ItsDeltaMC	1
41	mobunni	1
