rank	username	minecraft:crafted/minecraft:glowstone
1	thewindmillman	192966
2	Hyp3rion_	154439
3	Lez_	24945
4	noam464	17322
5	EcksD	17010
6	Blaiku	13137
7	Spacewardharpy7	10229
8	r123moore	4719
9	pintsizedrogue	4588
10	beeperbeeper5	3602
11	ConnorDanky_	3089
12	Fuad_R	2095
13	YungMaki	1940
14	Da_Boss_Rani	1744
15	HellsSponge	1622
16	Werbe	1356
17	TechnoNinja64	928
18	emreknugrlu	914
19	lordpipe	906
20	ZeroKraken	888
21	Apollo_993	787
22	Yamdalorian	722
23	WET_WET_WET	659
24	Kowcio_	611
25	eitanzaki	566
26	Di_infiri	559
27	TheKingK_	538
28	ROY4LE	536
29	joethahobo	517
30	Smashic	499
31	gcaisawesome	488
32	EMC_	486
33	luseis	469
34	Ryan_GEMS	466
35	Sral7	459
36	Secret_Canary	432
37	Frozil20	421
38	m_be9	413
39	EngagedGrub41	397
40	crashomon	384
41	El_Jalapeno	377
42	Awyrlas	320
43	Deerfoot	319
44	sp00ky_ghost977	301
45	AJplaysMC_	292
46	TheThomas69	291
47	Onennon	288
48	kekhon	270
49	EveryonesUncle	269
50	Mahoose	258
51	Merv__	255
52	Wolverine4302	232
53	_Karmaa	229
54	Soplight	224
55	MustardDrinker	196
56	OfficerAnvil	191
57	Lord_Jord	186
57	Moss_2006	186
59	MattieHD	184
60	TheEnderMan548	181
61	Typadopoulos	177
61	WyngGoy	177
63	RadarHz	176
64	Akoot_	168
65	FreakGenius	165
66	Manaateee	159
67	mwrty	155
68	Blackberry1310	151
69	Darkgon	149
70	Nicserso	148
71	Snowflowe	147
72	Groovy_MoonBird	145
73	eviltunix	142
74	q_wq	141
75	eiC_	139
75	Bumpy419	139
75	PigDab	139
78	Franco093	137
79	I_Am_Mushkin	133
80	bloodbiter	131
81	KarlKaek	129
82	Mewar	126
82	fffMike	126
84	_Virify_	122
84	1442	122
86	SSytex_X	121
87	cytotoxaint	119
88	Razzgriz	115
89	StinkyDiplomat	114
90	Froste131	106
90	RebelAndroid	106
92	Buuck_	101
93	_Nuf	98
94	wwwwinnebagoooo	97
95	Kakolbus	96
96	jewbacaman	95
96	Skippeh	95
98	Parcc	91
99	tobinwilliams	86
100	heysushii	85
100	Krowuss	85
100	AlphaWolfPlaysMC	85
103	TheBiggestFeller	83
103	4774	83
105	seramalen	81
105	geekbird	81
107	oscminus	78
108	MAns_44	75
108	MilleGrug	75
110	Zaridey	74
111	Ajax6	73
111	kalzor	73
111	_i_ERROR_i_	73
114	rarrq	72
114	Ezekson	72
116	Nicky_H225	69
116	KingMatthew506	69
116	AltnumberF4	69
119	fallingemma	68
120	Gregward_Smith	67
120	Jackattack53	67
120	Dogcorn69420	67
123	THEKINGLyric10	66
124	Historical_Sand	65
124	groofles	65
124	Matorz	65
124	Chuglyfe	65
124	Western_1	65
129	TheSecondLord	64
129	LilLizardWizard	64
129	censorsheep	64
129	bloomkieren	64
129	BeardBois	64
129	Powowowow	64
135	fanofbands101	62
135	SellyZ	62
137	Tobinator_007	61
137	Invisie	61
139	GravitySaint	60
140	Prismyst	59
140	Ssor69	59
140	00000000-0000-0000-0009-01ff0c3e5e4f	59
143	Zoeyfortnite	55
144	whoaluv	53
144	F_Uhre	53
146	obzii	52
147	Rumpletaezer	51
147	MusicMe1005	51
149	XxCookiequeenxX	50
150	pappaberg	49
150	Xclax101	49
152	TheDiamondCG	48
152	Icyyyyy	48
152	AnnieBathory	48
152	wobn	48
152	pixelviolin	48
157	Motsaro	47
158	vandmanden	46
159	RoskobiOne	45
159	TheShyPig	45
161	_Meow_Mix	44
162	diggydog67	43
163	SammiWolfGirl	42
164	Mr_Byzantine	41
164	roxycherry	41
164	madderfall	41
164	DanTheBuilderino	41
164	starbits140	41
169	Galactic_Badger	40
169	The11thDoctor	40
171	Strangemonkey71	39
171	Decaying_Lotus	39
171	miramyu	39
174	Racengan	38
175	Malorn_Aetherius	37
175	Doom_melon	37
175	Boipl	37
175	The_slideV3	37
175	Legendosh	37
180	HolyVenom	36
180	Rainaldus	36
182	himak1	35
182	burbankbuilder28	35
184	bl1ss0	34
184	stuy9	34
186	Ozixar	33
186	Fuhrer_Teemo	33
186	fluddd	33
186	Groundler	33
190	Myrlewen	32
190	Tersea_	32
190	OkguyDan	32
190	DennyKai	32
194	Nyxiom_	31
194	Donutt	31
194	Pumpkin_P_Patch	31
197	DepressedCubic	30
197	gabukun_	30
199	Julmish	29
199	Arceus1975	29
199	RohnJosin	29
199	Drewen24	29
199	Tyrannosplart	29
199	TitanCrafting	29
205	Kamflame	28
205	mihimihimihi	28
205	Heisenbberrg	28
205	TheSandwhich_	28
205	h2p_emrld	28
210	bigstankyy	27
210	SirPiccardo	27
210	mobunni	27
213	SmashingPump	26
213	lorywithay	26
213	corvidpartyfor6	26
213	benediktine1	26
217	TheSeismicDuck	25
217	Factoroni	25
217	Quotary	25
220	gary_	24
220	soundad	24
220	Sleek_Storm_721	24
220	Paintz	24
220	Leeeegend	24
220	SkateboardR6	24
220	LetsDoItLive	24
227	MoistMicrowave	23
227	Fullut	23
227	ItzYaBoiPicard	23
227	rotten_mango	23
231	StarPlanetMoon	22
231	SingedBread	22
233	Tiberonus	21
233	The_Quack_Dealer	21
233	Kubeusz2010	21
236	Jovaphobic	20
236	ECstardust	20
236	Kynigito	20
236	Kijiki	20
240	jspwn	19
240	shineh10	19
240	Killercatty78	19
240	Eczbox	19
240	RebytreGT	19
240	Airem_Core	19
240	Eczbek	19
240	MrMeisterProper	19
248	IgnoredBee	18
248	Frxnkz	18
248	500am	18
248	Ecplosive	18
248	KeruNatsema	18
248	Fildyr	18
248	Steelynan	18
248	taengoos	18
256	CharlieButt	17
256	Marbz_	17
256	yaboo88	17
256	Shogunite	17
256	Lord_Doob	17
256	UrbanPlanningEx	17
262	Napoleonpancake	16
262	ProfessorBee	16
262	ImDisconnected_	16
262	2extreeme	16
262	Btabtab	16
262	GoofyBread	16
262	Aezekial	16
262	NebulousBadger	16
262	Chayula	16
271	ssleepless	15
271	jacxhadow	15
271	AstreaTSS	15
271	Hisiste	15
271	athereall	15
276	ColeSnyder	14
276	Enigma0251	14
276	killmeiamtraitor	14
276	Skomo	14
276	Hahaa_0	14
276	Druid95	14
276	TheDumbHuman	14
283	AlazelTheReal	13
283	intropass	13
283	TJawesome09	13
283	Synthoum	13
283	Deguns123	13
288	CLG_Kata	12
288	openatheclose	12
288	BodaciousCake	12
288	ZaneABrain	12
288	GLLogan2	12
288	gamerlord1324	12
288	Corbsman	12
288	SwooshBoi	12
288	Zetsey	12
297	TildaAndrea	11
297	diamondgolem35	11
