rank	username	minecraft:crafted/minecraft:smooth_sandstone
1	TheShyPig	20669
2	500am	17251
3	Kim_Jong_eel	11392
4	Steelynan	10329
5	_TCARREIRA_	5568
6	Fuad_R	4146
7	Enderxz3	4004
8	Blackberry1310	3464
9	Felenov	3283
10	2Stout	3170
11	SaintJosie	2733
12	_stets	2340
13	NameGenerat0r	2265
14	Creativebuilder2	2176
15	PazinGaming	1408
16	m_be9	1294
17	Legendosh	1281
18	Inchef	1170
19	CoffeeNoir	1088
20	KarlKaek	928
21	Franco093	911
22	Arceus1975	853
23	TheSecondLord	848
24	Da_Boss_Rani	796
25	cedric72	795
26	Onennon	782
27	SwooshBoi	736
28	rarrq	704
28	XxCookiequeenxX	704
30	CueMix	658
31	FreddyFart	650
32	EveryonesUncle	576
33	Winklepicker279	547
34	RebelAndroid	544
35	IAmTheWalrus910	518
36	teslawolf38	512
36	SteveCraftBlocks	512
38	John6970	494
39	ReyTheLegend	467
40	Frozil20	448
41	Jakobo1337	433
42	Werbe	426
43	Babushka0430	425
44	_Bguette_	413
45	Inbefour	405
46	AltnumberF4	389
47	Hyugo	383
48	luseis	352
49	Kowcio_	344
50	Akoot_	334
51	kekhon	332
52	The_slideV3	329
53	Alteriity	320
53	jnp_gaming	320
55	Mahoose	316
56	xolstoi	310
57	Di_infiri	274
58	Groovy_MoonBird	271
59	Mr_Byzantine	256
59	peach0s	256
59	Meatlaugh	256
62	FreakGenius	255
63	Karetoko	241
64	WyngGoy	239
65	Sleek_Storm_721	228
65	Eraxa	228
67	Wooptey	207
68	_Virify_	192
69	epiksk8erduck	188
70	claivin	182
71	SuperPooch06	174
72	Cryptacity	160
73	ThisUserIsStump	152
74	HesDemonPants	136
75	okCrypto	132
75	Studyhallsaver	132
77	TheMilkerOfCats	129
77	Soplight	129
79	Merv__	128
79	Sleepy_Time_	128
79	gcaisawesome	128
79	Marbz_	128
79	groofles	128
84	xzvu	126
85	ImpavidArcher	116
86	UCP_TheKingK	112
87	jessewegottacook	111
88	Spacewardharpy7	107
89	Skylord_Luke	105
90	DarlaMeow	102
91	Jackattack53	97
92	yoyoYoloMonke	94
93	Biites	92
94	TheBiggestFeller	89
95	TiborSterle	88
96	Smoke____	87
97	binman420	79
98	MeowMeowMcmuffin	77
99	smogfrog	69
100	YungMaki	66
101	lotarp	65
102	xXTheWolfmanXx	64
102	mads388a	64
102	PuustaKauasPdnt	64
102	drompje	64
102	potatocan	64
102	SirDodgyBob	64
102	PlasticOtari	64
109	MyNameIsJobo	63
109	Wowful	63
111	AlexxO_o	58
112	Incinere	56
113	noam464	52
114	ayamefag	46
115	Fullut	43
116	G1ldor	38
117	non089	36
118	Kubelz	32
119	oreee	30
119	Rebytre	30
121	HellsSponge	27
122	ShedJr_	26
123	RobotMinion101	23
124	pintsizedrogue	22
125	The_Quack_Dealer	17
126	NatrixxddxYT	16
126	thewindmillman	16
126	LilcoinXX	16
129	JureJurko	15
129	robotemo	15
131	Ajax6	14
132	_Huge_Male_	13
133	Deathkob	12
134	kirametal	11
135	Hpdinosaur	10
135	ConnorDanky_	10
137	JESS_THE_RERE	8
138	AnnieBathory	6
138	sammidk	6
140	NomadicRobin_	4
140	gusstationwerker	4
140	00000000-0000-0000-0009-01f073f37a91	4
143	beeperbeeper5	2
144	ExtraDumb	1
144	Scathra	1
144	SIRdrumroll	1
144	ItsDeltaMC	1
144	Ze_BaronKrigler	1
