rank	username	minecraft:crafted/minecraft:magma_block
1	Lez_	12962
2	Arceus1975	10445
3	Hyp3rion_	9556
4	lordpipe	1150
5	Rani_R	876
6	MilleGrug	768
7	noam464	704
8	AstreaTSS	361
9	Snowflowe	286
10	LexMakesHistory	238
11	T045RTY	189
12	Kowcio_	160
13	mihimihimihi	85
14	oscminus	28
15	Yamdalorian	22
16	diggydog67	20
17	thewindmillman	11
18	pixelviolin	5
19	Mr_Byzantine	4
19	nattybears	4
19	zToasty69z	4
19	Blaiku	4
23	k_ce	3
23	Mattesco	3
23	Spacewardharpy7	3
26	ImDisconnected_	1
