rank	username	minecraft:crafted/minecraft:spruce_trapdoor
1	Spacewardharpy7	11344
2	Hyp3rion_	7480
3	EveryonesUncle	6336
4	Mahoose	5642
5	HellsSponge	5525
6	500am	5472
7	_Huge_Male_	4198
8	EMC_	4132
9	Steelynan	4119
10	noam464	3961
11	joethahobo	3786
12	Racengan	3716
13	luseis	3452
14	Merv__	2932
15	TheSecondLord	2914
16	PazinGaming	2720
17	Kakolbus	2704
18	beeperbeeper5	2700
19	non089	2664
20	Mattesco	2594
21	Kowcio_	2502
22	Manaateee	2168
23	ayamefag	2150
24	ImpavidArcher	1980
25	_Dean_123	1850
26	Ezekson	1830
27	AdmiralSmoke	1824
28	Legendosh	1714
29	m_be9	1696
30	xolstoi	1682
31	selectrix	1658
32	PlasticOtari	1624
33	Onennon	1498
34	mihimihimihi	1344
35	kekhon	1332
36	Enderxz3	1296
37	burbankbuilder28	1288
38	Skylord_Luke	1266
39	ApophisNova	1152
39	MyNamaSheff	1152
41	Di_infiri	1114
42	XboxPanda	1108
43	Inchef	1087
44	Saucepeh	1078
45	eitanzaki	1048
46	Historical_Sand	1006
47	Fullut	1002
48	JayToe	992
49	wwwwinnebagoooo	956
50	Lez_	952
50	Soplight	952
52	TooManyDuck	946
53	Cowison	944
54	Samificator	938
55	pintsizedrogue	920
56	SpacesickPrism	898
57	MinttyFressh	890
57	YungMaki	890
59	Snowflowe	886
60	livingdaydreams	844
60	Blackberry1310	844
62	Jackattack53	842
63	rarrq	840
64	ConnorDanky_	838
65	TheShyPig	790
66	SvenskaHugo	770
67	xxPipperDipperxx	760
68	Chromary	754
69	Jimb0nat0r	728
70	pixelviolin	726
70	TechnoNinja64	726
72	H0UNDFRMH3LL	714
73	MustaLoordi	680
74	Rebytre	634
75	Mr_Byzantine	596
76	UCP_TheKingK	594
77	Segotep999	592
78	lcvezra	574
79	MyNameIsJobo	572
80	Groovy_MoonBird	564
81	vandmanden	562
82	CalebDHawk	554
83	Jovaphobic	553
84	iSammael	532
85	_Bguette_	520
86	icim	518
87	k_ce	517
88	jessewegottacook	510
89	Groundler	506
90	EngagedGrub41	490
91	jacxhadow	488
92	Frozil20	476
93	Tommhh	458
94	SlayerCrypto	438
95	12Magner05	426
96	soundad	422
97	Nicserso	410
98	JETrotter	390
99	prizm_	388
100	Dakar_	382
101	ogoa	364
102	Biites	362
103	ECstardust	360
104	Cryptacity	358
105	anbbang	356
106	Da_Boss_Rani	354
107	M_Patata	346
108	r123moore	342
109	TheDankPlatypus	340
109	Winklepicker279	340
109	Avocadogerms	340
109	alderban107	340
113	Arceus1975	334
113	MasterNueve	334
113	Eraxa	334
113	07shiny	334
117	Ssor69	332
118	Smashic	330
118	fkGrim	330
120	Huwulling	328
121	set67	324
