rank	username	minecraft:crafted/minecraft:lime_shulker_box
1	Hyp3rion_	582
2	Lez_	368
3	thewindmillman	82
4	NameGenerat0r	35
5	jnp_gaming	33
6	pintsizedrogue	28
7	lillips	24
8	luseis	23
9	500am	22
10	Kowcio_	21
11	Jackattack53	18
12	Inbefour	13
13	PlasticOtari	12
14	joethahobo	11
14	Covalents	11
14	MightyWertu	11
17	Bumpy419	10
17	HellsSponge	10
17	sp00ky_ghost977	10
20	Fullut	8
20	Skylord_Luke	8
22	corvidpartyfor6	6
22	ApophisNova	6
22	IamCL4SSY	6
22	lordpipe	6
22	MyNamaSheff	6
22	Enderxz3	6
28	Merv__	5
28	Huwulling	5
28	TheSecondLord	5
28	mwrty	5
28	Deathkob	5
28	Spacewardharpy7	5
34	ECstardust	4
34	IronArshXS	4
34	Euclidoris	4
34	12Magner05	4
34	Xalithia	4
34	oscminus	4
34	Fuad_R	4
34	claivin	4
34	AdmiralSmoke	4
43	Apollo_993	3
43	SmashingPump	3
43	SaucyDark	3
43	beeperbeeper5	3
43	kekhon	3
43	fade_emerge78823	3
43	noam464	3
43	Snowflowe	3
43	Werbe	3
43	fluddd	3
43	Njensen7	3
43	ConnorDanky_	3
43	EcksD	3
43	Jimb0nat0r	3
57	Mr_Byzantine	2
57	Mahoose	2
57	fr0stss	2
57	titanlax	2
57	gcaisawesome	2
57	Ecplosive	2
57	Marbz_	2
57	Akoot_	2
57	Tyrannosplart	2
57	Manaateee	2
57	Blu3beast	2
57	Groundler	2
57	Hisiste	2
57	mihimihimihi	2
57	pixelviolin	2
57	Soplight	2
57	Skippeh	2
74	Jovaphobic	1
74	CLG_Kata	1
74	Badenbeele	1
74	ExtraDumb	1
74	ssleepless	1
74	BoraMC	1
74	Alteriity	1
74	Myszoaz	1
74	ITDV	1
74	Historical_Sand	1
74	Da_Boss_Rani	1
74	rarrq	1
74	Crowman1	1
74	_Nat666	1
74	jushykins	1
74	MattieHD	1
74	SteveCraftBlocks	1
74	Smashic	1
74	intropass	1
74	xxPipperDipperxx	1
74	r123moore	1
74	Chromary	1
74	Rumpletaezer	1
74	hanaryheatwave	1
74	Zythose	1
74	King_Pancake1	1
74	Reneedium	1
74	Eczbox	1
74	pappaberg	1
74	Krowuss	1
74	wezzzi	1
74	TheSeismicDuck	1
74	audiocracked	1
74	EveryonesUncle	1
74	StinkyDiplomat	1
74	censorsheep	1
74	Steve897	1
74	Blaiku	1
74	OffWithTheirHead	1
74	THEKINGLyric10	1
74	ElKaySVK	1
74	iSammael	1
74	CornOnTheCobalt	1
74	OG_Songsee	1
74	Razzgriz	1
74	SexcMf	1
74	Eraxa	1
74	_Mythic____	1
74	YungMaki	1
74	__tomato	1
74	xzvu	1
74	stellarjay	1
74	SpacesickPrism	1
74	Dogcorn69420	1
74	jcool7	1
74	Steelynan	1
74	Eczbek	1
74	EngagedGrub41	1
74	Iamthejo	1
74	Ezekson	1
74	little_dUki	1
74	TechnoNinja64	1
