rank	username	minecraft:crafted/minecraft:hopper_minecart
1	Di_infiri	717
2	noam464	607
3	eitanzaki	452
4	HellsSponge	333
5	thewindmillman	288
6	fffMike	223
7	beeperbeeper5	177
8	thescout7	176
9	PigDab	169
10	Spacewardharpy7	150
11	MyNameIsJobo	147
12	Smoke____	122
13	Freak_Genius	120
14	Mahoose	112
15	joethahobo	100
16	Hyp3rion_	98
17	Dedalus36	95
18	Jackattack53	87
19	YungMaki	85
20	Snowflowe	80
21	Historical_Sand	79
22	EMC_	76
23	Inbefour	74
24	Rebytre	69
25	MightyWertu	66
26	DanTheBuilderino	65
27	Steelynan	63
28	Hiryu27	62
29	Skylord_Luke	57
29	oxfordschool	57
31	emrekn	56
32	TechnoNinja64	54
33	sp00ky_ghost977	53
34	eviltunix	52
34	jnp_gaming	52
36	Hermanni__	50
37	UrbanPlanner1978	48
38	Warlord324	46
39	PlasticOtari	44
40	gabriels543	43
40	vandmanden	43
42	El_Jalapeno	42
43	pintsizedrogue	40
43	Werbe	40
45	PortlyPete69	39
46	Bumpy419	37
46	Rasmanden	37
46	Lord_Jord	37
49	_Virify_	36
49	Prismyst	36
49	__tomato	36
52	soundad	34
52	Groundler	34
54	gcaisawesome	30
54	Ezekson	30
56	Rumpletaezer	28
56	KG1999	28
56	Kyrum2169	28
56	Soplight	28
56	tsitrawhy	28
61	Racengan	27
62	q_wq	25
62	NieToksikpl	25
62	Quotary	25
65	Kakolbus	24
65	The_slideV3	24
65	MilleGrug	24
68	Akoot_	23
69	Frozil12	22
70	Awyrlas	21
70	TheShyPig	21
70	Blaiku	21
73	Ryker	20
73	slkiey	20
73	Marbz_	20
73	Nicky19	20
77	M_Patata	19
77	prizm_	19
77	Arceus1975	19
77	MasterNueve	19
77	Nicserso	19
82	ImpavidArcher	18
82	MinttyFressh	18
82	CaptainAvenger7	18
82	Jimi7hits	18
82	Hisiste	18
82	yatsuta	18
88	AngalexikCZ	17
88	Sral7	17
90	Comma__	16
90	bloodbiter	16
90	m_be9	16
90	AlexxO_o	16
90	groofles	16
90	censorsheep	16
90	lordpipe	16
90	obzii	16
98	Jovaphobic	15
98	xxPipperDipperxx	15
98	Deathkob	15
98	Soul_Atreus	15
102	awesomeoneme	14
102	Factoroni	14
104	Jahara	13
104	Ssor69	13
104	CharlieButt	13
104	mariominejedi	13
104	audiocracked	13
104	ayamefag	13
104	Zoeyfortnite	13
111	fr0stss	12
111	SoftSix	12
111	Covalents	12
111	Voxin2K	12
111	Barlycorn	12
111	pixelviolin	12
111	smogfrog	12
118	ssleepless	11
118	T045RTY	11
118	Alteriity	11
118	H72l9w	11
118	Fullut	11
118	Nyxiom_	11
118	Blu3beast	11
118	WyngGoy	11
118	Sheldor097	11
127	eiC_	10
127	FishyBoy3811	10
127	07shiny	10
127	Shin69	10
127	Segotep999	10
127	Enderslayerxz3	10
133	Hyugo	9
133	livingdaydreams	9
133	Vizzoid	9
133	Xalithia	9
133	Fuhrer_Teemo	9
133	Soap_Bender	9
133	silverpopcorn	9
133	K_a__a_n	9
133	anbbang	9
133	HesDemonPants	9
143	_Nuf	8
143	NotMeanttoChange	8
143	SellyZ	8
143	CollinMH06	8
143	RobotMinion101	8
143	Onennon	8
143	chipklip	8
143	SingedBread	8
143	AltnumberF4	8
143	2blox	8
143	Yahrto	8
154	RebelAndroid	7
154	Valoth	7
154	Blackberry1310	7
