rank	username	minecraft:crafted/minecraft:blackstone_slab
1	thewindmillman	24099
2	mwrty	8066
3	Hyp3rion_	1728
4	bigstankyy	956
5	Fullut	915
6	Werbe	912
7	TheSecondLord	900
8	FreakGenius	890
9	beeperbeeper5	650
10	Enderxz3	582
11	Xalithia	558
12	joethahobo	444
12	Truckoss	444
14	Blaiku	382
15	4774	252
16	ogoa	228
17	jnp_gaming	192
18	gusstationwerker	186
19	Lord_Jord	180
20	noam464	154
21	PigDab	138
22	pintsizedrogue	136
23	drunkeeez	132
23	Billious	132
25	Blackberry1310	126
25	AltnumberF4	126
27	HyperCave	114
28	jacxhadow	110
29	set67	90
30	ImpavidArcher	62
31	_Dean_123	60
32	Dusk_95	54
32	cichy096	54
34	KarlKaek	48
34	KartivGal	48
34	EveryonesUncle	48
37	lorpus	30
37	HellsSponge	30
37	Eraxa	30
40	Awyrlas	18
40	iSammael	18
42	Mahoose	12
42	benediktine1	12
42	Winston_Ingram	12
42	Hermanni__	12
46	RebelAndroid	6
46	eitanzaki	6
46	titanlax	6
46	xxPipperDipperxx	6
46	Touched_Bread	6
46	Quinasin	6
46	Razzgriz	6
46	EcksD	6
46	Smoke____	6
55	Paint	2
55	YungMaki	2
55	Soplight	2
