rank	username	minecraft:crafted/minecraft:chiseled_quartz_block
1	Xclax101	366
2	Incinere	302
3	The_slideV3	269
4	Blackberry1310	221
5	Hyp3rion_	186
6	Akoot_	172
7	MeetTheWollo	169
8	Di_infiri	159
9	Werbe	138
10	tobinwilliams	129
11	Lord_Jord	100
12	Marbz_	97
13	HellsSponge	93
13	MakeHistory157	93
15	The_SlideV5	91
16	SammiWolfGirl	80
17	Merv__	79
18	Mewar	72
18	Spacewardharpy7	72
20	Freak_Genius	68
21	EcksDofficial	66
22	Blaiku	63
23	xxPipperDipperxx	58
24	KarlKaek	45
24	Dusk_95	45
26	TheShyPig	40
27	EcksD	39
28	Eraxa	38
29	Frozil12	37
30	Ardennes	33
31	titanlax	32
32	MilleGrug	28
33	Lutres_Torane	24
33	NameGenerat0r	24
35	Inbefour	21
35	wwwwinnebagoooo	21
37	Groundler	19
38	r123moore	14
38	noam464	14
40	rarrq	12
40	NotMeanttoChange	12
40	Rocco_Lane	12
40	chipklip	12
40	Deerfoot	12
45	Optiprimus	10
45	mobunni	10
45	Legendosh	10
48	ImpavidArcher	9
48	Barlycorn	9
48	Skippeh	9
51	CharlieButt	8
51	Snowflowe	8
53	NatrixxddxYT	6
54	YungMaki	4
55	soundad	3
55	Razzgriz	3
57	EMC_	2
57	Soplight	2
57	Serval2000	2
60	kekhon	1
60	Zythose	1
60	Smoke____	1
