rank	username	minecraft:crafted/minecraft:golden_boots
1	thewindmillman	44
2	TheShyPig	32
3	TheSecondLord	29
4	Lez_	18
5	Hyp3rion_	14
6	beeperbeeper5	13
6	TechnoNinja64	13
8	T045RTY	7
8	HellsSponge	7
10	Blackberry1310	6
10	noam464	6
10	Kakolbus	6
10	Katsuragi0243218	6
10	luseis	6
10	Kubeusz2010	6
10	Enderxz3	6
17	pintsizedrogue	5
17	Mahoose	5
17	excelsionprime	5
17	LeauVox4921	5
17	Zaridey	5
17	Akoot_	5
17	Dakar_	5
24	joethahobo	4
24	SuperPooch06	4
24	SwooshBoi	4
24	CalebDHawk	4
28	CLG_Kata	3
28	Tiberonus	3
28	Inchef	3
28	whoaluv	3
28	selectrix	3
28	wezzzi	3
28	Deathkob	3
28	ReflexCode	3
28	GravitySaint	3
28	Racengan	3
28	monky_irl	3
28	Ezekson	3
28	ConnorDanky_	3
41	Groovy_MoonBird	2
41	Sleek_Storm_721	2
41	BlancoFlaco	2
41	RebelAndroid	2
41	Huwulling	2
41	Ssor69	2
41	Vizzoid	2
41	MinttyFressh	2
41	Master_Kol	2
41	lorpus	2
41	trixterrx	2
41	ApophisNova	2
41	bee_gorl	2
41	F_Uhre	2
41	Lord_Jord	2
41	XxCookiequeenxX	2
41	ebanana	2
41	FreakGenius	2
41	MS_Pryxx	2
41	Spacewardharpy7	2
41	mihimihimihi	2
41	iSammael	2
41	Kowcio_	2
41	djancak	2
41	Soplight	2
41	stellarjay	2
41	SammiWolfGirl	2
41	Celeste_121	2
41	_i_ERROR_i_	2
41	Njensen7	2
41	mobunni	2
41	EcksD	2
41	MyNamaSheff	2
41	PlasticOtari	2
41	AdmiralSmoke	2
41	MelodyGaysharks	2
41	00000000-0000-0000-0009-01f570995a20	2
78	RoskobiOne	1
78	Cowison	1
78	BPTY4618	1
78	jspwn	1
78	Merv__	1
78	teslawolf38	1
78	Frozil20	1
78	Wolf_Mauler_73	1
78	gren_ben	1
78	Ryan_GEMS	1
78	ImpavidArcher	1
78	SaucyDark	1
78	TooManyDuck	1
78	Incinere	1
78	Ryker	1
78	eitanzaki	1
78	livingdaydreams	1
78	Natty	1
78	Jackster03	1
78	H72l9w	1
78	IWorkAtIkea	1
78	Sleepy_Time_	1
78	Whiterooster001	1
78	rarrq	1
78	Cryptacity	1
78	jushykins	1
78	jacxhadow	1
78	bloodbiter	1
78	m_be9	1
78	kekhon	1
78	500am	1
78	Fullut	1
78	crying_wolf_13	1
78	set67	1
78	thescout7	1
78	himak1	1
78	PegLegPete93	1
78	xxPipperDipperxx	1
78	gcaisawesome	1
78	VanJosh	1
78	r123moore	1
78	Paintz	1
78	Matek_	1
78	Kubelz	1
78	platinumzero	1
78	mariominejedi	1
78	Windo_licker	1
78	yheece	1
78	Di_infiri	1
78	Jackattack53	1
78	jedi_george	1
78	happy_mileo	1
78	burbankbuilder28	1
78	Rebytre	1
78	oscminus	1
78	Werbe	1
78	DeeDeeThonk	1
78	wrinkledpiglet	1
78	Jonte0599	1
78	jewbacaman	1
78	Pliskin08	1
78	spellmre	1
78	TeenMomTom	1
78	FishyBoy3811	1
78	zToasty69z	1
78	YahooScreen9000	1
78	Hail_the_wombat	1
78	sxc_	1
78	Austinizzle	1
78	Goat_Curdle	1
78	Nicky19	1
78	AuroraSkies	1
78	420BreadLizard	1
78	Gab4101	1
78	NomadicRobin_	1
78	HELLO_I_AM_BEAR	1
78	JESS_THE_RERE	1
78	Manaateee	1
78	DarlaMeow	1
78	NameGenerat0r	1
78	Avocadogerms	1
78	claivin	1
78	MAns_44	1
78	FlashMigma	1
78	Xclax101	1
78	Groundler	1
78	Fildyr	1
78	lordpipe	1
78	Druid95	1
78	WyngGoy	1
78	MakeHistory157	1
78	NiveauSubmarine	1
78	Kura2218	1
78	Optiprimus	1
78	Eon_57	1
78	CACTUSLAD	1
78	starbits140	1
78	BioKing99	1
78	CoryJJ	1
78	fffMike	1
78	jcool7	1
78	Winston_Ingram	1
78	TheALV	1
78	athereall	1
78	SirBreadward	1
78	MissCeleste7	1
78	HesDemonPants	1
78	Kiki_Majiki	1
78	jnp_gaming	1
78	2blox_	1
78	Biites	1
78	xolstoi	1
78	Empresario	1
78	WinterYoke	1
78	diggydog67	1
78	00000000-0000-0000-0009-01fc796cc078	1
