rank	username	minecraft:crafted/minecraft:stripped_dark_oak_wood
1	Mahoose	747
2	Zythose	321
3	Werbe	213
4	YungJakobo	189
5	oxfordschool	171
6	500am	147
6	EveryonesUncle	147
8	xxPipperDipperxx	63
9	Steelynan	45
10	Marbz_	30
10	Snowflowe	30
12	pintsizedrogue	21
13	seramalen	18
13	EcksD	18
15	ExtraDumb	15
16	Spacewardharpy7	12
16	CalebDHawk	12
18	beeperbeeper5	9
18	kekhon	9
20	ImpavidArcher	6
20	Rebytre	6
20	Eraxa	6
20	YungMaki	6
20	Soplight	6
25	Merv__	3
25	joethahobo	3
25	Historical_Sand	3
25	Smashic	3
25	MyNameIsJobo	3
25	Lord_Jord	3
25	HellsSponge	3
25	Frozil12	3
25	SingedBread	3
25	lordpipe	3
25	jnp_gaming	3
25	2blox	3
