rank	username	minecraft:crafted/minecraft:honey_block
1	noam464	14942
2	EcksD	9000
3	Hyp3rion_	6850
4	thewindmillman	6674
5	Fullut	6200
6	PhantomsGhost_	4351
7	Di_infiri	4171
8	luseis	3760
9	EMC_	2228
10	pintsizedrogue	1904
11	HellsSponge	1155
12	MightyWertu	1102
13	Eczbox	883
13	Eczbek	883
15	AdmiralSmoke	873
16	sp00ky_ghost977	754
17	Manaateee	413
18	EngagedGrub41	397
19	FreakGenius	264
20	eitanzaki	189
21	Zoeyfortnite	171
22	kekhon	152
23	AstreaTSS	149
24	beeperbeeper5	140
25	set67	132
26	PortlyPete69	130
27	ImpavidArcher	118
28	Blaiku	99
29	Spacewardharpy7	96
30	Lord_Jord	93
31	Kakolbus	77
32	excelsionprime	76
33	pixelviolin	71
34	djancak	68
35	Gundam_Steven	48
36	Mahoose	41
36	ReflexCode	41
38	Onennon	38
39	M_Patata	36
40	YungMaki	28
41	Kowcio_	13
41	Soplight	13
43	jacxhadow	10
43	ReSynced	10
45	Arceus1975	8
45	lordpipe	8
45	ConnorDanky_	8
48	Kouridragon	7
48	diggydog67	7
50	skrongus	6
51	Xalithia	5
51	MAns_44	5
51	Ezekson	5
51	Nicserso	5
55	k_ce	4
55	12Magner05	4
55	StinkyDiplomat	4
55	UCP_TheKingK	4
55	xolstoi	4
60	Awyrlas	3
61	Ryker	2
61	Vizzoid	2
61	Blackberry1310	2
61	Crowman1	2
61	Rebytre	2
61	Werbe	2
61	NameGenerat0r	2
61	Blu3beast	2
61	Dreamdbr14	2
70	Groovy_MoonBird	1
70	CLG_Kata	1
70	AuroraValkyrie	1
70	Sleek_Storm_721	1
70	bigstankyy	1
70	nattybears	1
70	bloodbiter	1
70	GLLogan2	1
70	TheDankPlatypus	1
70	MyNameIsJobo	1
70	Afinnity	1
70	censorsheep	1
70	monky_irl	1
70	MasterNueve	1
70	MakeHistory157	1
70	07shiny	1
70	Sheldor097	1
70	Kubeusz2010	1
70	CattSoup	1
70	2blox_	1
70	h2p_emrld	1
