rank	username	minecraft:crafted/minecraft:spruce_fence_gate
1	noam464	8918
2	Zythose	7808
3	Skylord_Luke	2398
4	Ezekson	1269
5	jcool7	1248
6	Frozil20	751
7	beeperbeeper5	688
8	H0UNDFRMH3LL	580
9	Eraxa	444
10	TheSecondLord	355
11	TheShyPig	348
12	Mahoose	323
13	500am	241
14	AdmiralSmoke	221
15	Merv__	219
16	joethahobo	204
17	anbbang	202
18	pintsizedrogue	200
19	Manaateee	195
20	eitanzaki	178
21	SDMNAEK	176
22	Winklepicker279	168
23	MyNameIsJobo	155
24	ConnorDanky_	151
25	pixelviolin	148
26	_Huge_Male_	147
27	_stets	146
28	ayamefag	131
29	Onennon	129
29	Legendosh	129
31	m_be9	118
32	obzii	115
33	Steelynan	113
34	Kowcio_	112
34	PlasticOtari	112
36	SmashingPump	109
37	ZoomieZoomie	106
38	xolstoi	101
39	Di_infiri	99
40	_Dean_123	96
41	M_Patata	90
42	MasterNueve	88
43	Soplight	85
44	Werbe	84
45	PazinGaming	83
46	RebelAndroid	82
47	Enderxz3	81
48	rarrq	78
49	Racengan	77
50	ImpavidArcher	75
51	luseis	74
52	Sleepy_Time_	73
53	RobotMinion101	70
54	HesDemonPants	67
55	FreakGenius	66
55	PortlyPete69	66
57	Swexti	65
58	titanlax	64
59	Apollo_993	60
59	lcvezra	60
61	Hyp3rion_	58
61	mihimihimihi	58
63	EMC_	55
64	Spacewardharpy7	54
65	EveryonesUncle	53
66	Seyaboy	52
66	thescout7	52
66	Arceus1975	52
69	Cryptacity	50
69	Comma__	50
69	burbankbuilder28	50
72	non089	48
73	EngagedGrub41	47
74	UCP_TheKingK	44
75	kekhon	41
76	Jackattack53	38
77	Huwulling	37
77	Inchef	37
77	SkateboardR6	37
80	Mr_Byzantine	36
81	Kakolbus	35
82	AuroraValkyrie	34
83	rachcl	33
83	ClemenPine	33
85	Historical_Sand	32
85	Cortexia	32
87	_Karmaa	31
88	Fullut	30
89	Dakar_	29
89	TheOuterCore	29
89	Sral7	29
92	Deathkob	28
93	Pineapplesugr	26
93	FishyBoy3811	26
95	Tommhh	25
95	diamondgolem35	25
95	dopplexd	25
95	prizm_	25
99	Blackberry1310	24
99	freya__b	24
99	CattSoup	24
102	Zaridey	22
102	Skippeh	22
104	Felenov	21
104	fkGrim	21
104	Soffbord	21
107	tuckerdoodle	20
107	Groundler	20
107	iSammael	20
107	OfficerAnvil	20
107	TechnoNinja64	20
112	HellsSponge	19
112	lordpipe	19
114	Meatlaugh	18
114	DemTechAlpha	18
114	SingedBread	18
117	jacxhadow	17
117	07shiny	17
117	LeeMcGee30	17
117	VentiHilton	17
117	FishisTTV	17
122	MattieHD	16
122	Chromary	16
122	StinkyDiplomat	16
122	El_Jalapeno	16
122	ceAndyX	16
122	_3Stump_	16
128	wwwwinnebagoooo	15
129	Jovaphobic	14
129	DermeinUser	14
129	PigDab	14
132	hm947	13
132	RatatJuice	13
132	MoistMicrowave	13
132	CarryLine	13
132	Slapface522	13
137	Sleek_Storm_721	12
137	CrookedKaptain	12
137	MakeHistory157	12
137	Hermanni__	12
