rank	username	minecraft:crafted/minecraft:dark_oak_stairs
1	500am	9060
2	rarrq	8256
3	burbankbuilder28	4884
4	beeperbeeper5	3724
5	Frozil20	3664
6	Skippeh	3412
7	MyNameIsJobo	3332
8	TheShyPig	3120
9	joethahobo	2404
10	gcaisawesome	2184
11	Zythose	2120
12	tsitrawhy	1992
13	Ezekson	1980
14	pixelviolin	1972
15	kekhon	1896
16	Legendosh	1824
17	TheDankPlatypus	1808
18	El_Jalapeno	1744
19	Merv__	1596
20	NomadicRobin_	1548
21	xolstoi	1544
22	EveryonesUncle	1528
23	RoskobiOne	1520
24	Groovy_MoonBird	1400
25	m_be9	1376
26	Winklepicker279	1316
27	Dusk_95	1284
28	Inchef	1208
29	PlasticOtari	1096
30	CharlieButt	1088
31	Russiancat1	1068
31	xzvu	1068
33	PortlyPete69	1060
34	lcvezra	1038
35	Onennon	1024
36	WYFYoyo	1000
37	Di_infiri	996
38	selectrix	976
39	TheSecondLord	952
40	AngalexikCZ	944
41	Stiar	864
42	Motsaro	852
43	diamondgolem35	836
44	Natty	828
45	SvenskaHugo	820
46	__tomato	776
47	luseis	760
48	fkGrim	732
49	Eraxa	724
50	pintsizedrogue	720
51	TheOnlyRake	704
52	CheifJumbo	684
53	ProfessorBee	680
54	CalebDHawk	656
55	Lord_Jord	652
56	Blackberry1310	636
57	Sral7	632
58	ApophisNova	624
58	MyNamaSheff	624
60	Skylord_Luke	600
61	Deguns123	596
62	ROY4LE	592
63	KlausVonStiglitz	560
64	Smashic	556
65	NieToksikpl	548
66	Tobinator_007	544
66	XxCookiequeenxX	544
66	FreakGenius	544
69	KarlKaek	516
70	catandmoose	512
70	emrekn	512
72	Barlycorn	504
73	Sleek_Storm_721	500
74	dopplexd	496
74	Smoke____	496
76	ConnorDanky_	480
77	Inbefour	472
77	Deathkob	472
79	M_Patata	468
80	Bandito_Roamer	464
80	Smiguli_	464
80	KingMatthew506	464
83	MasterNueve	448
84	parodypatient	432
85	prizm_	416
86	AlphaWolfPlaysMC	412
87	Enderxz3	404
87	jnp_gaming	404
89	Kijiki	400
90	Meatlaugh	396
91	6king6colt6	392
91	Euclidoris	392
93	Mattesco	388
94	NoxxxxiS	384
94	Blu3beast	384
94	SammiWolfGirl	384
97	Werbe	380
98	r123moore	376
99	ThePoliteG	368
99	CattSoup	368
101	AlazelTheReal	364
102	The_Fulgurator	360
102	seramalen	360
104	lordpipe	356
105	SuperPooch06	354
106	theofiel	344
107	Shogunite	340
107	sp00ky_ghost977	340
109	paranoid_plant	336
110	eitanzaki	328
110	Fullut	328
110	Snowflowe	328
110	LeeMcGee30	328
110	EcksD	328
115	thgrocks	320
116	Historical_Sand	316
116	Chromary	316
116	ZoomieZoomie	316
