rank	username	minecraft:crafted/minecraft:birch_chest_boat
1	Enderxz3	3
2	Mr_Byzantine	1
2	Huwulling	1
2	Rani_R	1
2	Reneedium	1
2	Mr_Sun15	1
2	Luminad3	1
2	Spacewardharpy7	1
2	Segotep999	1
2	Ezekson	1
2	Jimb0nat0r	1
2	PlasticOtari	1
