rank	username	minecraft:crafted/minecraft:yellow_glazed_terracotta
1	Freak_Genius	343
2	ImpavidArcher	288
3	kekhon	256
4	Legendosh	142
5	lillips	128
6	TheShyPig	114
7	ROY4LE	80
8	_Virify_	64
8	Blaiku	64
8	Spacewardharpy7	64
11	Hermanni__	36
12	Akoot_	33
13	Parcc	32
14	himak1	24
15	Mahoose	20
16	CarltheCuck	16
16	YungMaki	16
18	eitanzaki	15
19	Werbe	12
19	AssEatrAndLicker	12
19	Smoke____	12
22	Onennon	10
23	AnnieBathory	9
24	xxPipperDipperxx	8
24	ooga47	8
24	Inbefour	8
27	noam464	4
28	Historical_Sand	2
29	Bandito_Roamer	1
29	pixelviolin	1
