rank	username	minecraft:crafted/minecraft:smoker
1	Lez_	102
2	pintsizedrogue	97
3	Werbe	89
3	Manaateee	89
5	luseis	88
6	noam464	67
7	eitanzaki	65
7	HellsSponge	65
7	PlasticOtari	65
10	lillips	64
11	PhantomsGhost_	45
12	Airem_Core	36
13	Mr_Byzantine	33
13	Kowcio_	33
15	kekhon	28
15	Soplight	28
17	500am	26
18	KarlKaek	24
19	Comma__	21
19	Smashic	21
19	Di_infiri	21
19	Spacewardharpy7	21
23	TheSecondLord	20
24	eviltunix	19
25	TheShyPig	18
26	Flores991	17
26	The_Cruncy	17
26	Akoot_	17
29	Blaiku	16
30	Blackberry1310	14
30	Steelynan	14
32	rarrq	13
32	KeruNatsema	13
32	SvenskaHugo	13
35	Fullut	12
35	Burge_r	12
37	prizm_	11
37	Rumpletaezer	11
37	AstreaTSS	11
37	skrongus	11
41	diamondgolem35	9
41	Ssor69	9
41	titanlax	9
41	Inchef	9
41	Touched_Bread	9
41	SlayerCrypto	9
41	Arceus1975	9
41	Maenara	9
41	Lutres_	9
41	LilcoinXX	9
41	tsitrawhy	9
41	SpacesickPrism	9
53	Tobinator_007	8
53	Merv__	8
53	AuroraValkyrie	8
53	IgnoredBee	8
53	tortillatitan	8
53	NoxxxxiS	8
53	Bumpy419	8
53	ApophisNova	8
53	Onennon	8
53	starbits140	8
53	stellarjay	8
53	Ezekson	8
53	MyNamaSheff	8
53	DkansK	8
67	fr0stss	7
67	beeperbeeper5	7
67	bloodbiter	7
67	_Karmaa	7
67	SammiWolfGirl	7
67	Luigipunch989	7
73	Jovaphobic	6
73	RoskobiOne	6
73	PazinGaming	6
73	H72l9w	6
73	Malorn_Aetherius	6
73	Saucepeh	6
73	m_be9	6
73	Megarboh	6
73	corvidpartyfor6	6
73	set67	6
73	TheDankPlatypus	6
73	MyNameIsJobo	6
73	Reneedium	6
73	The_Fulgurator	6
73	Mattesco	6
73	MonitorLizards	6
73	XxCookiequeenxX	6
73	rotten_mango	6
73	NameGenerat0r	6
73	LordAurum	6
73	lordpipe	6
73	YungMaki	6
73	MineMaster0012	6
73	brofrickcheaters	6
73	SSytex_X	6
73	Kubeusz2010	6
99	Bandito_Roamer	5
99	Napoleonpancake	5
99	SaucyDark	5
99	Zlatovlas	5
99	ITDV	5
99	Vizzoid	5
99	Prodiginus	5
99	Cortexia	5
99	ROY4LE	5
99	thewindmillman	5
99	Snowflowe	5
99	PigDab	5
99	El_Jalapeno	5
99	layabout100	5
99	UCP_TheKingK	5
99	calamariclam_I	5
115	Sleek_Storm_721	4
115	Raltemoxitonica	4
115	Mahoose	4
115	Swexti	4
115	SnowyAvi	4
115	jacxhadow	4
115	Gingayy	4
115	thescout7	4
115	himak1	4
115	Mewar	4
115	Xalithia	4
115	xxPipperDipperxx	4
115	M_Patata	4
115	Kakolbus	4
115	pappaberg	4
115	ItsAki_	4
115	KartivGal	4
115	IamCL4SSY	4
115	Jiminbub	4
115	wobn	4
115	Xclax101	4
115	_Meow_Mix	4
115	MasterNueve	4
115	Ze_BaronKrigler	4
115	_TCARREIRA_	4
115	Erased_Identity	4
115	ConnorDanky_	4
115	RadarHz	4
115	Biites	4
115	WYFYoyo	4
145	bigstankyy	3
145	Hyugo	3
145	Ryan_GEMS	3
145	NatrixxddxYT	3
145	ewsophie	3
145	Alteriity	3
145	jessewegottacook	3
145	Dblikstad	3
145	Pofen	3
145	Euclidoris	3
145	NieToksikpl	3
145	Crowman1	3
145	Notta	3
145	shdesolt	3
145	gilesmcriles	3
145	Awyrlas	3
145	LeauVox4921	3
145	Krowuss	3
145	Felenov	3
145	The11thDoctor	3
145	jewbacaman	3
145	PaperCanvas	3
145	EveryonesUncle	3
145	Syropatathe	3
145	NYJ	3
145	KlausVonStiglitz	3
145	MAns_44	3
145	FreakGenius	3
145	EfficientC52	3
145	fluddd	3
145	Groundler	3
145	Typadopoulos	3
145	ItsDeltaMC	3
145	MakeHistory157	3
145	33sudo	3
145	Eraxa	3
145	Decaying_Lotus	3
145	TheOnlyRake	3
145	00000000-0000-0000-0009-01ff0c3e5e4f	3
184	_Virify_	2
184	CLG_Kata	2
184	Cowison	2
184	teslawolf38	2
184	Gemstuff	2
184	Tolhart	2
184	RatatJuice	2
184	RebelAndroid	2
184	livingdaydreams	2
184	youhjjhhhjj	2
184	Jackster03	2
184	PhantomBionic	2
184	joethahobo	2
184	Historical_Sand	2
184	oreee	2
184	TastyPorkchop	2
184	ccormacs	2
184	TheFlfthHorseman	2
184	cheerytomato	2
184	poopybh	2
184	Jokerman369	2
184	slkiey	2
184	Bobby808	2
184	hayybails	2
184	XboxPanda	2
184	ehunt54	2
184	breadbowlgamer	2
184	Moham	2
184	SuperPooch06	2
184	whoaluv	2
184	Hyp3rion_	2
184	fenkuu	2
184	Zythose	2
184	LAVA129	2
184	killmeiamtraitor	2
184	SvenskaSara	2
184	seramalen	2
184	FungalCat	2
184	Ghemmah	2
184	ougstur	2
184	CarryLine	2
184	ClemenPine	2
184	Kim_Jong_eel	2
184	Drewen24	2
184	Jimi7hits	2
184	KliBeast21	2
184	ADEXTV	2
184	natajimi	2
184	Inbefour	2
184	fkGrim	2
184	Deathkob	2
184	DarkS0L	2
184	handsome_strong	2
184	Meatlaugh	2
184	Dakar_	2
184	Soap_Bender	2
184	1442	2
184	Avocadogerms	2
184	Cyntrical	2
184	Racengan	2
184	DarkLawD	2
184	LetsDoItLive	2
184	WyngGoy	2
184	PabloGonza02	2
184	kyouma777	2
184	07shiny	2
184	FadedSpade82	2
184	robotemo	2
184	Zetsey	2
184	jaimshae	2
184	SunsetwolfGG	2
184	_3Stump_	2
184	TheOuterCore	2
184	EngagedGrub41	2
184	smogfrog	2
184	Nicserso	2
184	HesDemonPants	2
184	jnp_gaming	2
184	UrbanPlanningEx	2
184	BiggieDawg	2
184	TechnoNinja64	2
184	JayToe	2
184	00000000-0000-0000-0009-01fc3bb26159	2
267	RosaDoesMC	1
267	funeralhome	1
267	Batoser	1
267	Groovy_MoonBird	1
267	k_ce	1
267	NatalieTW	1
267	elicobnoah	1
267	_Huge_Male_	1
267	ProbablyNick	1
267	Apollo_993	1
267	Ninzyyy	1
267	dudcreeper	1
267	Mowelan	1
267	awesomeweasel	1
267	_stets	1
267	MsBeeMan	1
267	Houstonion	1
267	rachcl	1
267	freeandrew	1
267	ColeSnyder	1
267	baboonlord400	1
267	JokoFiskare	1
267	Rasaq	1
267	Filborg	1
267	ActualPatbaf	1
267	AlazelTheReal	1
267	SidorAlex	1
267	Big_Bad_Will	1
267	YairZaki	1
267	Prismyst	1
267	peach0s	1
267	Myszoaz	1
267	mennorovers	1
267	Cartoonmaniac	1
