rank	username	minecraft:crafted/minecraft:stone_hoe
1	MOSS000	285
2	gcaisawesome	78
3	LordAurum	59
4	Hyp3rion_	58
5	Smashic	49
6	kekhon	44
7	noam464	42
8	eitanzaki	40
9	himak1	38
10	luseis	35
11	joethahobo	34
12	Blaiku	24
13	diamondgolem35	22
14	EngagedGrub41	21
15	ZaneABrain	19
16	bigstankyy	18
17	CoffeeNoir	17
18	beeperbeeper5	14
18	ARandomHedge	14
18	FishyBoy3811	14
18	El_Jalapeno	14
22	CharlieButt	13
23	T045RTY	12
23	ActualPatbaf	12
23	Skylord_Luke	12
23	Werbe	12
27	youhjjhhhjj	11
27	Kamflame10	11
27	Tiktola01	11
27	_Karmaa	11
27	Vicemaniac	11
27	pixelviolin	11
27	Enderxz3	11
34	Apollo_993	10
34	emrekn	10
34	TheShyPig	10
37	Ravenbie	9
37	CrookedKaptain	9
37	LordSpeed37	9
40	PigDab	8
40	JESS_THE_RERE	8
40	sp00ky_ghost977	8
40	PlasticOtari	8
44	Jackattack53	7
44	Kryktal	7
44	Tyrannosplart	7
44	Xclax101	7
44	mawileite	7
44	JayToe	7
44	AdmiralSmoke	7
51	Prodiginus	6
51	SteveCraftBlocks	6
51	BlueZabu	6
51	RyuNeko932000	6
51	SvenskaSara	6
51	rotten_mango	6
51	YungMaki	6
51	FormulaNewt3627	6
51	calamariclam_I	6
60	pintsizedrogue	5
60	Ryker	5
60	rarrq	5
60	Cortexia	5
60	thewindmillman	5
60	nut_e	5
60	Onennon	5
60	F_Uhre	5
60	_Cloverbelle_	5
60	Warlord324	5
60	nonarso	5
60	TechnoNinja64	5
72	KingFaenor	4
72	6king6colt6	4
72	maliraspberry	4
72	tortillatitan	4
72	bloodbiter	4
72	thescout7	4
72	Snowflowe	4
72	fenkuu	4
72	NarwhalTaco	4
72	Bumpy419	4
72	ApophisNova	4
72	IamCL4SSY	4
72	Akoot_	4
72	KlausVonStiglitz	4
72	ori0le	4
72	StinkyDiplomat	4
72	ReflexCode	4
72	CalebDHawk	4
72	Kferno	4
72	RadarHz	4
72	MyNamaSheff	4
72	Legendosh	4
72	Paguz01	4
72	Jimb0nat0r	4
96	Groovy_MoonBird	3
96	awesomeweasel	3
96	Paint	3
96	not_a_duck_23	3
96	ImpavidArcher	3
96	Mahoose	3
96	Dblikstad	3
96	Blackberry1310	3
96	TheSecondLord	3
96	Guillemet	3
96	Lumien_	3
96	LitoDelvito	3
96	Di_infiri	3
96	Arceus1975	3
96	Zythose	3
96	Fast_Turtle	3
96	ooga47	3
96	Dan_Scha	3
96	Skyle169	3
96	Fakiuss	3
96	natajimi	3
96	Katsuragi0243218	3
96	Quincannon	3
96	Methalox1	3
96	kalzor	3
96	GravitySaint	3
96	OG_Songsee	3
96	layabout100	3
96	_Mythic____	3
96	Shadow4381	3
96	NeoJordache	3
96	Soplight	3
96	Luigipunch989	3
96	jnp_gaming	3
96	Powowowow	3
131	Mr_Byzantine	2
131	Frozil20	2
131	ssleepless	2
131	elementorix	2
131	TAKrules	2
131	TastyPorkchop	2
131	QuiCreans	2
131	ChampPog_	2
131	Ozixar	2
131	TinMaster	2
131	Malorn_Aetherius	2
131	NieToksikpl	2
131	shdesolt	2
131	firesgal3116	2
131	TheThomas69	2
131	Megarboh	2
131	_Dean_123	2
131	wiqor	2
131	minersam1	2
131	leaf26	2
131	sandmire	2
131	GLLogan2	2
131	Laykon	2
131	Bobby808	2
131	Motsaro	2
131	LavenderBi1ch	2
131	intropass	2
131	xxPipperDipperxx	2
131	eiC_	2
131	dragonwarrior206	2
131	HoltGrim	2
131	Kakolbus	2
131	Purplehere	2
131	breadbowlgamer	2
131	BigMoneyH	2
131	TakeThis2UrGrave	2
131	CarltheCuck	2
131	Rumpletaezer	2
131	DeuceBird	2
131	JustAWill_	2
131	seramalen	2
131	The_Cruncy	2
131	PaperCanvas	2
131	CarryLine	2
131	LilLizardWizard	2
131	Kim_Jong_eel	2
131	Ajax6	2
131	groofles	2
131	Pootis11	2
131	Lord_Jord	2
131	420BreadLizard	2
131	masskedman	2
131	kiluaemc	2
131	avalan64	2
131	_Bguette_	2
131	Manaateee	2
131	HellsSponge	2
131	FreakGenius	2
131	MustaLoordi	2
131	censorsheep	2
131	Groundler	2
131	ComplexSquirrel	2
131	Factoroni	2
131	bruh072	2
131	SexcMf	2
131	Soul_Atreus	2
131	FadedSpade82	2
131	ReyTheLegend	2
131	underscore_2	2
131	SammiWolfGirl	2
131	non089	2
131	Invintic	2
131	fffMike	2
131	Kubeusz2010	2
131	TheBananaKat	2
131	TheOnlyRake	2
131	OfficerAnvil	2
131	BreadBacon	2
131	smogfrog	2
131	blackmage426	2
131	QueenOfDirt	2
131	mountaingirl311	2
131	momis24	2
131	Zoeyfortnite	2
131	xolstoi	2
131	IronicUwU1	2
