rank	username	minecraft:crafted/minecraft:dark_oak_pressure_plate
1	jnp_gaming	163
2	Russiancat1	136
3	eviltunix	128
4	PigDab	96
5	Awyrlas	85
6	MyNameIsJobo	84
7	TheShyPig	77
8	Lez_	67
9	thewindmillman	65
10	noam464	64
10	Werbe	64
12	SvenskaHugo	48
13	Archsam	46
14	beeperbeeper5	44
14	Hydro___________	44
16	rarrq	43
17	Mahoose	41
17	Y_A_N_N_I	41
19	kekhon	39
20	EveryonesUncle	38
21	Cowison	32
21	titanlax	32
23	M_Patata	28
23	Mattesco	28
23	MasterNueve	28
23	Soplight	28
27	tsitrawhy	27
28	Fizznut909	24
29	Napoleonpancake	23
30	Merv__	22
30	Legendosh	22
32	Warlord324	20
33	Karetoko	19
34	k_ce	18
34	joethahobo	18
34	Fullut	18
34	Maenara	18
38	m_be9	14
38	thescout7	14
40	Smashic	13
40	Manaateee	13
42	Moofyman	12
43	Prismyst	11
43	Onennon	11
43	avalan64	11
43	Blu3beast	11
43	Druid95	11
43	Spenduh	11
49	RatatJuice	10
49	intropass	10
49	2Stout	10
49	crashomon	10
49	TheWickedBird	10
54	jacxhadow	9
54	KingMatthew506	9
56	pintsizedrogue	8
56	pretty_pink_reno	8
56	CattSoup	8
59	Foof13	7
59	SaucyDark	7
59	lorywithay	7
59	500am	7
59	Touched_Bread	7
59	Optiprimus	7
59	Ezekson	7
66	Ryan_GEMS	6
66	Miroryk	6
66	AlphaWolfPlaysMC	6
66	HellsSponge	6
66	Pumpkin_P_Patch	6
66	_3Stump_	6
72	ImpavidArcher	5
72	ThePoliteG	5
72	AnnieBathory	5
72	RohnJosin	5
72	GeromeMerris	5
72	Nekomin0	5
72	hermmm_	5
79	dudcreeper	4
79	teslawolf38	4
79	diamondgolem35	4
79	Saucepeh	4
79	Cryptacity	4
79	Tiberonus	4
79	Jackattack53	4
79	burbankbuilder28	4
79	seramalen	4
79	Elastiq	4
79	stuy9	4
79	bpmm	4
79	Sorry_Arey	4
79	censorsheep	4
79	Eraxa	4
79	BlankityMcBlank	4
79	TheKingK_	4
79	brofrickcheaters	4
79	_i_ERROR_i_	4
79	Deguns123	4
79	annoyingenderman	4
79	ConnorDanky_	4
101	SmashingPump	3
101	eitanzaki	3
101	Ssor69	3
101	Ozixar	3
101	xxPipperDipperxx	3
101	selectrix	3
101	Karbl	3
101	Groundler	3
101	pixelviolin	3
101	Kowcio_	3
101	YungMaki	3
101	Sheldor097	3
101	Dreamdbr14	3
101	Skippeh	3
101	skitzxo	3
116	Mr_Byzantine	2
116	DinoDoctor_	2
116	BlancoFlaco	2
116	MintyTuna	2
116	BobDeBouwer1337	2
116	bl1ss0	2
116	Winklepicker279	2
116	CollinMH06	2
116	Reneedium	2
116	RobotMinion101	2
116	Cruncy_	2
116	Invisie	2
116	PaperCanvas	2
116	theofiel	2
116	wirelesstree	2
116	luseis	2
116	emreknugrlu	2
116	Meatlaugh	2
116	Xclax101	2
116	Barlycorn	2
116	Toriankel	2
116	iSammael	2
116	xzvu	2
116	miramyu	2
116	Jimb0nat0r	2
116	PlasticOtari	2
116	WYFYoyo	2
143	Groovy_MoonBird	1
143	Lotheburgh	1
143	ItsColin11	1
143	EKUG	1
143	6king6colt6	1
143	chimpmunker	1
143	hm947	1
143	Arteriana	1
143	ShedJr_	1
143	Historical_Sand	1
143	dopplexd	1
143	Blackberry1310	1
143	ratglock	1
143	Cortexia	1
143	Inchef	1
143	LeauVox4921	1
143	Paintz	1
143	purpolepickle	1
143	ImDisconnected_	1
143	Hyp3rion_	1
143	belly0_0	1
143	The_Fulgurator	1
143	oscminus	1
143	KeruNatsema	1
143	IamCL4SSY	1
143	Akoot_	1
143	True_Clipse	1
143	audiocracked	1
143	fkGrim	1
143	NameGenerat0r	1
143	fluddd	1
143	MightyWertu	1
143	Blaiku	1
143	Pickel_Lord	1
143	djancak	1
143	PortlyPete69	1
143	elliebelle107	1
143	JayToe	1
143	00000000-0000-0000-0009-01f16526f034	1
