rank	username	minecraft:crafted/minecraft:furnace
1	thewindmillman	4772
2	noam464	3984
3	Jackattack53	3372
4	m_be9	3047
5	Di_infiri	2090
6	Werbe	1861
7	PlasticOtari	1827
8	PigDab	1040
9	lordpipe	1031
10	MOSS000	851
11	HellsSponge	836
12	Hyp3rion_	761
13	eitanzaki	634
14	Historical_Sand	595
15	12Magner05	552
16	Vorlice	524
17	pintsizedrogue	496
18	Lez_	483
19	NameGenerat0r	457
20	cedric72	431
21	500am	421
22	FiguraDei	418
23	Spacewardharpy7	367
24	rarrq	335
25	skroobiez	325
26	Yamdalorian	324
27	Manaateee	291
28	_Mythic____	290
29	mihimihimihi	277
30	eviltunix	272
31	Snowflowe	254
31	TheShyPig	254
33	Kowcio_	241
34	joethahobo	233
35	Nicserso	232
36	Blu3beast	227
37	Hiryu27	226
38	_Karmaa	215
39	Kakolbus	213
40	Fullut	206
41	Frozil20	200
42	fffMike	199
43	Malorn_Aetherius	198
44	Mr_Byzantine	181
45	Lord_Jord	180
46	beeperbeeper5	178
47	pixelviolin	176
48	Airem_Core	174
49	EMC_	173
50	EcksD	172
51	QuiCreans	170
52	PhantomsGhost_	163
53	thescout7	161
54	Sral7	160
55	Skylord_Luke	157
56	Eczbek	152
57	gcaisawesome	145
58	emreknugrlu	143
59	Bumpy419	142
59	Legendosh	142
61	Merv__	140
61	Enderxz3	140
63	Eczbox	139
64	YungMaki	136
65	Njensen7	133
66	Mahoose	129
67	ImpavidArcher	124
67	Inchef	124
67	Soplight	124
70	Akoot_	122
70	Soap_Bender	122
72	KarlKaek	116
72	WyngGoy	116
74	CHUUUBZZ_99	115
75	EveryonesUncle	113
76	Zoeyfortnite	112
77	Blackberry1310	109
78	ProfessorBee	108
79	Awyrlas	107
80	Zythose	106
81	crashomon	104
82	mwrty	103
82	HelloIamSora	103
84	TheDankPlatypus	98
85	Winklepicker279	95
86	Groundler	93
87	diamondgolem35	91
88	Saucepeh	90
88	Majonezzon	90
90	Eraxa	89
91	oscminus	87
91	GravitySaint	87
93	Segotep999	86
93	obzii	86
93	Steelynan	86
96	NinjaKnifeKill	84
97	catandmoose	83
97	Deathkob	83
97	yatsuta	83
97	h2p_emrld	83
101	Rumpletaezer	82
102	ApophisNova	79
102	SvenskaHugo	79
102	MyNamaSheff	79
105	PazinGaming	78
105	Cocoamallows	78
107	NatalieTW	77
107	set67	77
107	DC_XII	77
110	kekhon	76
110	FreddyFart	76
110	Syropatathe	76
110	kyouma777	76
114	MilleGrug	75
115	SaucyDark	74
115	Touched_Bread	74
115	Iamthejo	74
118	Warlord324	73
118	Hisiste	73
120	Jovaphobic	72
120	BobDeBouwer1337	72
120	claivin	72
120	Gus2005	72
120	jnp_gaming	72
125	IamCL4SSY	71
126	Jonafrog99	70
126	_i_ERROR_i_	70
128	TheBiggestFeller	69
128	sp00ky_ghost977	69
130	yheece	68
130	Fuhrer_Teemo	68
132	ECstardust	67
132	DTwenty	67
132	Quincannon	67
132	censorsheep	67
136	chimpmunker	66
136	TheSecondLord	66
136	WET_WET_WET	66
139	_darky1_	65
139	RebelAndroid	65
139	PortlyPete69	65
142	Smashic	64
142	Wolverine4302	64
144	Nach0Bear	63
144	__tomato	63
146	Alteriity	62
147	Cruncy_	61
147	MightyWertu	61
147	Blaiku	61
147	tsitrawhy	61
151	BlancoFlaco	60
151	Xclax101	60
153	teslawolf38	59
153	Arteriana	59
155	U_Mos_	57
155	Kferno	57
157	_Dean_123	56
157	fragrantmonke444	56
157	hermmm_	56
160	MyNameIsJobo	55
160	luseis	55
162	bndo	52
163	Swexti	51
163	KartivGal	51
163	XxCookiequeenxX	51
166	6king6colt6	50
166	Sleepy_Time_	50
166	ThePoliteG	50
166	Cortexia	50
166	TheWickedBird	50
171	Comma__	49
171	Moofyman	49
171	SingedBread	49
171	Optiprimus	49
171	skitzxo	49
176	shineh10	48
176	XboxPanda	48
176	Onennon	48
179	RoskobiOne	47
179	Spenduh	47
181	Tyrannosplart	46
181	stellarjay	46
183	Inbefour	45
183	Shogunite	45
183	Mairyu_	45
186	SmashingPump	44
186	ewsophie	44
186	Matek_	44
186	hanaryheatwave	44
186	audiocracked	44
191	ibarker21	43
191	Jimi7hits	43
191	yulgur1	43
191	Barlycorn	43
191	_TCARREIRA_	43
196	Flores991	42
196	Julmish	42
196	picardred	42
196	Bloo2406	42
196	Burge_r	42
196	miramyu	42
202	Vizzoid	41
202	Covalents	41
202	RebytreGT	41
202	GoofyBread	41
202	LordSpeed37	41
202	Pumpkin_P_Patch	41
208	fallingemma	40
208	MAns_44	40
208	Ezekson	40
211	k_ce	39
211	Tersea_	39
211	MattieHD	39
211	Arceus1975	39
211	TheSeismicDuck	39
211	vandmanden	39
217	soundad	38
217	corvidpartyfor6	38
217	The_slideV3	38
217	MustaLoordi	38
217	BumbleBeever	38
217	SSytex_X	38
223	BadenStayFly	37
223	MSK__	37
223	ItsAki_	37
223	blackeemperor	37
223	fluddd	37
223	Shin69	37
229	Tobinator_007	36
229	Ryan_GEMS	36
229	TooManyDuck	36
229	XHectorSalamanca	36
229	jacxhadow	36
229	MedSeaArch	36
229	Krowuss	36
229	Deerfoot	36
229	TheBananaKat	36
229	mobunni	36
239	ROY4LE	35
239	xxPipperDipperxx	35
239	Lutres_	35
239	Racengan	35
239	ConnorDanky_	35
244	Ssor69	34
244	Zaridey	34
244	SuperPooch06	34
244	Rocco_Lane	34
244	Gryglu583	34
244	EngagedGrub41	34
250	prizm_	33
250	CollinMH06	33
250	Invisie	33
250	Mistruth	33
250	Bawbman	33
250	Freedrik	33
256	DepressedCubic	32
256	bigstankyy	32
256	Euclidoris	32
256	andy_rex	32
256	NoChumpChange	32
256	SkateboardR6	32
256	Dreamdbr14	32
263	seanitoo	31
263	_Huge_Male_	31
263	TAKrules	31
263	SlayerCrypto	31
263	Russiancat1	31
263	fkGrim	31
263	Skippeh	31
270	Napoleonpancake	30
270	Notta	30
270	Xalithia	30
270	Galactic_Badger	30
270	AstreaTSS	30
270	IAmTheWalrus910	30
270	BlankityMcBlank	30
270	starbits140	30
270	DkansK	30
270	diggydog67	30
280	dimondking777	29
280	Ze1ig	29
280	ZaneABrain	29
280	tortillatitan	29
280	leaf26	29
280	Scathra	29
280	Mewar	29
280	Reneedium	29
280	ougstur	29
280	AlphaWolfPlaysMC	29
280	ogoa	29
280	Dakar_	29
280	KevinLevrone9983	29
280	taengoos	29
280	cichy096	29
295	Incinere	28
295	301851	28
295	Oldham	28
295	SUN_DREAM	28
295	AltnumberF4	28
300	SellyZ	27
