rank	username	minecraft:crafted/minecraft:recovery_compass
1	Hyp3rion_	2
2	pintsizedrogue	1
2	EMC_	1
2	Alteriity	1
2	Sleepy_Time_	1
2	beeperbeeper5	1
2	TheDankPlatypus	1
2	thewindmillman	1
2	Segotep999	1
