rank	username	minecraft:crafted/minecraft:pumpkin_pie
1	TechnoNinja64	202336
2	kekhon	15379
3	fade_emerge78823	10424
4	Inbefour	9049
5	ApophisNova	4465
5	MyNamaSheff	4465
7	teslawolf38	3230
8	Akoot_	2967
9	Deodorante	2432
10	jushykins	1920
11	pintsizedrogue	1826
12	eitanzaki	1696
13	Mr_Byzantine	1457
14	sp00ky_ghost977	1376
15	SammiWolfGirl	1375
16	Zoeyfortnite	1161
17	H72l9w	1114
18	UrbanPlanningEx	1034
19	NameGenerat0r	944
20	PhantomsGhost_	937
21	vandmanden	936
22	Huwulling	902
23	starbits140	875
24	Fullut	769
25	Lord_Jord	700
26	stavgod	648
27	PortlyPete69	639
28	Smashic	612
28	Ezekson	612
30	Skylord_Luke	608
31	Tolhart	602
32	skrongus	592
33	set67	580
34	Powowowow	576
35	Hyp3rion_	564
36	Di_infiri	504
37	MakeHistory157	496
38	noam464	489
39	TheShyPig	464
40	Werbe	452
41	cedric72	439
42	TheSecondLord	432
43	Blackberry1310	407
44	IamCL4SSY	368
45	Nicserso	345
46	ImNotYuqii	330
47	_Boipl_	326
48	IAmTheWalrus910	320
49	Groovy_MoonBird	312
50	NotMeanttoChange	288
50	Enderxz3	288
52	_Virify_	284
53	Snowflowe	282
54	Typadopoulos	279
55	Frozil20	264
56	Lez_	260
57	bigstankyy	258
58	TheTrueClipse	256
58	Blu3beast	256
60	bloodbiter	247
61	ConnorDanky_	241
62	500am	240
62	FelixPSY375	240
64	CrateOfBoxes	224
64	Racengan	224
66	Mahoose	216
67	Felenov	208
68	Comma__	206
69	6king6colt6	201
70	NormanFetus	200
71	surfinggiraffejp	192
71	XxCookiequeenxX	192
71	Tyrannosplart	192
71	MoogMush	192
71	MineMaster0012	192
71	xzvu	192
77	fkGrim	191
78	EMC_	180
79	ougstur	176
80	Kakolbus	160
80	Rumpletaezer	160
82	PigDab	152
82	TheEnderMan548	152
84	Apollo_993	144
84	ECstardust	144
84	gcaisawesome	144
84	Spacewardharpy7	144
88	PlasticOtari	140
89	VolcanS	128
89	XboxPanda	128
89	CloudyPowdy	128
89	audiocracked	128
89	SingedBread	128
89	Soul_Atreus	128
95	Sheldor097	116
96	FreakGenius	112
97	diamondgolem35	108
98	Stynxy	100
99	Killercatty78	97
100	I_Am_Mushkin	96
100	RebelAndroid	96
100	wwwwinnebagoooo	96
100	Eraxa	96
100	pixelviolin	96
100	Soplight	96
100	FishisTTV	96
107	ARandomHedge	92
107	Bumpy419	92
107	Kouridragon	92
110	12Magner05	88
111	xxPipperDipperxx	85
112	ExtraDumb	84
112	SuperPooch06	84
114	HollieDaNugget	82
115	stuy9	81
116	Kamflame10	80
116	CharlieButt	80
116	ese_wn_po	80
119	SyntheticSurgeon	64
119	Ssor69	64
119	rarrq	64
119	titanlax	64
119	redikul	64
119	Xalithia	64
119	EfficientC52	64
119	__Auspicious	64
119	YungMaki	64
119	jnp_gaming	64
129	ReflexCode	59
130	JESS_THE_RERE	56
131	AdmiralSmoke	49
132	Cowison	48
132	ZaneABrain	48
132	beeperbeeper5	48
132	noodlepack	48
132	theonlymagikarp	48
132	legal_tax_evader	48
132	DTwenty	48
132	Manaateee	48
132	lordpipe	48
132	fffMike	48
132	Quotary	48
132	JayToe	48
144	diggydog67	44
145	MonitorLizards	40
145	Kowcio_	40
145	KingMatthew506	40
148	CaptainAvenger7	39
149	Fast_Turtle	36
149	WeebleSock	36
149	The_slideV3	36
149	BumbleBeever	36
153	Sleepy_Time_	32
153	CliffEmAll	32
153	Dan_Scha	32
153	WyngGoy	32
157	Ryker	28
157	sufjanlover	28
159	lcvezra	27
160	Kim_Jong_eel	24
160	somegirl12_	24
162	H0UNDFRMH3LL	20
162	m_be9	20
162	MinttyFressh	20
162	Arceus1975	20
162	victorLIE	20
167	platinumzero	17
168	Jackattack53	16
168	luseis	16
168	IdeallyGrey	16
171	HellsSponge	14
171	censorsheep	14
171	Druid95	14
174	grislgrobl	13
174	bloomkieren	13
176	stellarjay	12
177	Conrad139	10
177	CalebDHawk	10
179	bbrothers_5	8
179	jacxhadow	8
179	PegLegPete93	8
179	Hiryu27	8
179	Onennon	8
179	LordAurum	8
179	THEKINGLyric10	8
186	abramgray	4
186	Hpdinosaur	4
186	_themselves	4
186	Kynigito	4
186	HeraclesOGU	4
186	toos1esl1de	4
192	KomputerDude	3
192	Zaridey	3
192	marumochis	3
192	UCP_TheKingK	3
192	OfficerAnvil	3
197	Paint	2
197	ITDV	2
197	DSYisDizzy	2
197	Jimb0nat0r	2
201	Batoser	1
201	joethahobo	1
201	FirsTimeGamingTV	1
201	Sparky_KT	1
201	corvidpartyfor6	1
201	excelsionprime	1
201	corpsecity	1
201	thewindmillman	1
201	oscminus	1
201	claivin	1
201	Groundler	1
201	nonarso	1
