rank	username	minecraft:crafted/minecraft:red_concrete_powder
1	lordpipe	9792
2	Spacewardharpy7	7520
3	Nicky_H225	5520
4	Steelynan	4216
5	joethahobo	3072
6	Hyp3rion_	2944
7	YungMaki	2576
8	Deathkob	2368
9	ConnorDanky_	2216
10	EveryonesUncle	1920
11	Frozil20	1840
12	beeperbeeper5	1600
12	Onennon	1600
14	MousePlays	1200
15	SSytex_X	1064
16	teslawolf38	1024
17	TheSecondLord	952
18	Smoke____	904
19	FirsTimeGamingTV	864
20	Blackberry1310	848
21	Ezekson	840
22	NoChumpChange	816
23	RobotMinion101	744
24	drunkeeez	728
25	Merv__	688
25	Winston_Ingram	688
27	Crowman1	640
28	MyNameIsDakar	624
29	Arceus1975	552
30	thewindmillman	537
31	Jovaphobic	512
31	Incinere	512
31	IamCL4SSY	512
34	RoofTyler	384
34	lcvezra	384
36	PlasticOtari	352
37	TheWildMateo	336
38	bloodbiter	328
39	ExtraDumb	320
39	mwrty	320
41	Optiprimus	264
42	AuroraValkyrie	256
42	bigstankyy	256
42	PlzNoBM	256
42	h2p_emrld	256
46	CornOnTheCobalt	248
47	TheDankPlatypus	216
48	Jackattack53	192
48	master9067	192
48	GoofyBread	192
48	The_slideV3	192
48	ElKaySVK	192
48	Kowcio_	192
48	__tomato	192
48	KingMatthew506	192
56	EMC_	176
56	fluddd	176
58	rarrq	160
58	HellsSponge	160
60	LordSpeed37	152
61	Chromary	136
61	MightyWertu	136
63	pintsizedrogue	128
63	Notta	128
63	Mattesco	128
63	lillips	128
63	claivin	128
63	FreakGenius	128
63	El_Jalapeno	128
63	Blaiku	128
63	SkateboardR6	128
63	LetsDoItLive	128
63	Ze_BaronKrigler	128
74	noam464	120
75	Fullut	112
76	epiksk8erduck	96
76	UrbanPlanningEx	96
78	PortlyPete69	88
79	eitanzaki	80
79	TechnoNinja64	80
79	bladeefan2009	80
82	Biites	72
83	mihimihimihi	64
83	MakeHistory157	64
83	pixelviolin	64
83	Sheldor097	64
87	Mimiir345	56
88	Mr_Byzantine	40
88	thescout7	40
88	jnp_gaming	40
91	Xalithia	32
91	Akoot_	32
91	IAmTheWalrus910	32
91	Soplight	32
95	corvidpartyfor6	24
95	500am	24
95	MissCeleste7	24
98	12Magner05	16
98	StanceTB	16
98	Truckoss	16
98	Jimb0nat0r	16
102	kekhon	8
102	himak1	8
102	Kakolbus	8
102	binman420	8
102	LexMakesHistory	8
