rank	username	minecraft:crafted/minecraft:light_blue_wool
1	joethahobo	1728
2	PeteO1995	1242
3	DarlaMeow	1088
4	Njensen7	1024
5	Mahoose	896
5	TechnoNinja64	896
7	Di_infiri	768
8	NameGenerat0r	587
9	Frozil12	442
10	_Dean_123	387
11	Werbe	384
11	AssEatrAndLicker	384
13	TheShyPig	264
14	Zythose	164
15	500am	138
16	EcksDofficial	112
17	Arceus1975	103
18	Bumpy419	94
19	rarrq	80
20	Drlzyy	79
21	Kowcio_	65
22	diamondgolem35	64
22	Rumpletaezer	64
22	Ezekson	64
25	kekhon	59
26	sebastiensaborio	54
27	EveryonesUncle	44
28	Groovy_MoonBird	42
29	claivin	40
30	BlankityMcBlank	39
31	Sral7	32
32	pintsizedrogue	30
32	M_Patata	30
32	OtariCharlie	30
32	LilLizardWizard	30
32	MasterNueve	30
37	CarltheCuck	24
38	Quotary	22
39	Snowflowe	18
39	Soplight	18
41	thewindmillman	16
42	El_Jalapeno	14
42	LordSpeed37	14
44	SSytex_X	13
45	beeperbeeper5	12
45	jushykins	12
45	MakeHistory157	12
48	hm947	11
49	Merv__	9
49	burbankbuilder28	9
51	Onennon	8
52	Skomo	7
53	Myszoaz	6
53	m_be9	6
53	pappaberg	6
53	Hoid_the_Roamer	6
53	fluddd	6
53	Eraxa	6
53	lcvezra	6
53	JayToe	6
61	Tristankill	5
62	rats_life	4
62	Scathra	4
62	Hiryu27	4
62	YungMaki	4
66	Fullut	3
66	Freak_Genius	3
66	PabloGonza02	3
66	Nekomin0	3
66	laron58	3
71	Enderslayerxz3	2
72	dabloons	1
72	AJplaysMC_	1
72	Blu3beast	1
72	lordpipe	1
72	TheEnderman548	1
