rank	username	minecraft:crafted/minecraft:end_stone_brick_wall
1	12Magner05	7542
2	mwrty	324
3	m_be9	270
4	bigstankyy	234
5	PigDab	162
5	mihimihimihi	162
7	thewindmillman	96
8	iSammael	84
9	Bumpy419	42
10	OG_Songsee	24
11	AuroraValkyrie	12
12	Merv__	9
13	TheShyPig	6
13	El_Jalapeno	6
13	HesDemonPants	6
13	Powowowow	6
17	Ezekson	5
18	Mahoose	2
