rank	username	minecraft:crafted/minecraft:birch_planks
1	Hyp3rion_	122314
2	Smoke____	87626
3	Di_infiri	83696
4	joethahobo	59783
5	HellsSponge	49952
6	beeperbeeper5	35906
7	Jackattack53	30026
8	Spacewardharpy7	29128
9	MilleGrug	28720
10	pintsizedrogue	26864
11	sp00ky_ghost977	21256
12	thewindmillman	19335
13	Marbz_	17764
14	Eczbek	15980
15	_Nuf	15767
16	Mahoose	15476
17	YungMaki	14795
18	EveryonesUncle	13260
19	noam464	13072
20	MangoTheFish	12988
21	TheShyPig	11972
22	kekhon	11416
22	thescout7	11416
24	Lez_	10055
25	Rasmanden	9783
26	lordpipe	9568
27	mwrty	8810
28	eitanzaki	8039
29	Legendosh	7836
30	El_Jalapeno	7772
31	Blaiku	7640
32	EMC_	7432
33	PlasticOtari	7412
34	Kakolbus	7240
35	Sral7	7060
36	Wowful	6968
37	Cowison	6892
38	Simon_Lowell	6546
39	Ezekson	6540
40	Enderslayerxz3	6504
41	rarrq	6460
42	EcksD	6432
43	500am	6396
44	Werbe	6368
45	Lord_Jord	6299
46	PigDab	6072
47	Freak_Genius	6068
48	_Dean_123	5846
49	Kryktal	5684
50	Zythose	5608
51	Zoeyfortnite	5592
52	LeauVox4921	5560
53	Blackberry1310	5258
54	diggydog67	5180
55	MinttyFressh	5012
56	nocturne78	4960
57	Dedalus36	4884
58	Akoot_	4804
58	jnp_gaming	4804
60	oxfordschool	4660
61	PortlyPete69	4600
62	AlexStrange	4568
63	xxPipperDipperxx	4500
64	Kowcio_	4368
64	Steelynan	4368
66	RebelAndroid	4252
67	tuckerdoodle	4223
68	eviltunix	4204
69	gcaisawesome	4156
70	vandmanden	4140
71	Jiminie	4032
72	Fuad_R	3945
73	KarlKaek	3912
74	Inbefour	3828
75	ProfessorBee	3760
76	PhantomsGhost_	3748
77	BumbleBeever	3684
78	Soplight	3668
79	Spenduh	3648
80	Nicserso	3572
81	teslawolf38	3568
82	Groovy_MoonBird	3492
83	Historical_Sand	3468
84	fred870d	3284
85	gabriels543	3268
86	NoChumpChange	3248
87	Blu3beast	3204
88	Vorlice	3096
89	WeebleSock	3072
90	Inchef	3056
91	Njensen7	2928
92	XboxPanda	2920
93	Winston_Ingram	2904
94	UrbanPlanner1978	2834
95	r123moore	2760
96	CoffeeNoir	2754
97	SuperPooch06	2749
98	Snowflowe	2700
99	Deathkob	2684
100	_Karmaa	2656
101	stahouo	2648
102	The_Quack_Dealer	2640
103	MightyWertu	2628
104	PlzNoBM	2612
105	6king6colt6	2608
106	Merv__	2596
107	Racengan	2548
108	picardred	2541
109	HesDemonPants	2536
110	IAmTheWalrus910	2520
111	The_Great_Jake	2498
112	Jimi7hits	2421
113	obzii	2416
114	livingdaydreams	2320
115	CattSoup	2300
116	SkyHighSkier	2292
117	Nycteus_	2276
118	LeeMcGee30	2236
119	Russiancat1	2224
120	DkansK	2220
121	Optiprimus	2144
122	Deerfoot	2122
123	Frozil12	2092
124	dendydoom	2078
125	Giannism	2076
126	WyngGoy	2072
127	Awyrlas	2068
128	Sky_light_KING	2036
129	Hermanni__	1988
130	MelodyGaysharks	1948
131	Sabby65	1932
132	ImpavidArcher	1904
133	BlancoFlaco	1896
134	AltnumberF4	1836
135	Drlzyy	1808
135	T045RTY	1808
137	NotTrixi	1772
137	ItzYaBoiPicard	1772
139	DiscardedCE	1768
140	Mattesco	1764
140	PuFY	1764
142	UncreativeArtist	1762
143	djancak	1760
144	stuy9	1748
145	12Magner05	1724
146	bigstankyy	1722
147	Austinizzle	1712
148	ROY4LE	1704
149	AlexxO_o	1692
150	NameGenerat0r	1640
150	cichy096	1640
152	stellarjay	1580
153	fffMike	1564
154	SkateboardR6	1548
155	LazySupport00	1536
156	mariominejedi	1528
156	Jordan_R	1528
158	MyNameIsJobo	1500
159	TheDankPlatypus	1496
159	ProfessorDiaper	1496
161	SoftSix	1484
161	TechnoNinja64	1484
163	h2p_emrld	1482
164	Zedducius	1476
165	Malorn_Aetherius	1472
166	loveseeker	1448
167	EcksDofficial	1432
168	Arceus1975	1416
169	ShedJr_	1412
170	Segotep999	1392
171	LordSpeed37	1384
172	UltraZombie	1368
173	microcrisp	1364
174	_Cloverbelle_	1356
175	Typadopoulos	1344
176	TheSecondLord	1340
177	Groundler	1320
178	ApophisNova	1308
178	MyNamaSheff	1308
180	Swalt	1292
180	m_be9	1292
180	4774	1292
183	lcvezra	1276
184	fluddd	1272
185	EtherealEspresso	1260
185	BreadBacon	1260
187	LilLizardWizard	1232
188	Menthas	1212
189	Stiar	1200
189	OnlyOfficial	1200
191	Fullut	1196
192	smarticuno	1176
192	KlausVonStiglitz	1176
194	Hoid_the_Roamer	1156
195	SvenskaHugo	1154
196	Kynigito	1140
