rank	username	minecraft:crafted/minecraft:chest_minecart
1	Soplight	141
2	SteveCraftBlocks	57
3	masskedman	34
4	Smoke____	28
5	HellsSponge	27
6	Franco093	17
6	noam464	17
8	Di_infiri	16
9	Deathkob	15
9	MightyWertu	15
11	Lord_Jord	13
11	Warlord324	13
13	KG1999	12
14	soundad	11
14	Kakolbus	11
14	Hiryu27	11
17	Frozil20	10
17	Mahoose	10
17	censorsheep	10
17	PortlyPete69	10
17	Jordan_R	10
22	Groundler	9
22	Steelynan	9
24	Werbe	8
24	Sky_light_KING	8
26	teslawolf38	7
26	ToastedGamingYT	7
26	StinkyDiplomat	7
26	Blaiku	7
26	radioactv_jelly	7
31	KartivGal	6
31	Nycteus_	6
31	BumbleBeever	6
31	Strangemonkey71	6
35	Ozixar	5
35	_Nuf	5
35	Fullut	5
35	SlayerCrypto	5
35	MustaLoordi	5
35	Fildyr	5
35	2blox	5
42	ImpavidArcher	4
42	SaucyDark	4
42	ivorico	4
42	AngalexikCZ	4
42	Inchef	4
42	Hyp3rion_	4
42	Moofyman	4
42	Th6masss	4
42	TheDumbHuman	4
42	sp00ky_ghost977	4
42	Optiprimus	4
42	Skippeh	4
42	Nicserso	4
42	Sral7	4
56	Mr_Byzantine	3
56	PhantomsGhost_	3
56	Flores991	3
56	joethahobo	3
56	carloselpapii	3
56	12Magner05	3
56	500am	3
56	mariominejedi	3
56	thewindmillman	3
56	Onennon	3
56	TheShyPig	3
56	FishyBoy3811	3
56	natajimi	3
56	Blu3beast	3
56	Kijiki	3
56	EcksD	3
72	Bandito_Roamer	2
72	AuroraValkyrie	2
72	Dedalus36	2
72	ShedJr_	2
72	MSK__	2
72	beeperbeeper5	2
72	Euclidoris	2
72	Enigma0251	2
72	mwrty	2
72	Mookle96	2
72	eviltunix	2
72	Jackattack53	2
72	andy_rex	2
72	cedric72	2
72	Oldham	2
72	DTwenty	2
72	Fuhrer_Teemo	2
72	Steven1282598	2
72	GravitySaint	2
72	WyngGoy	2
72	obzii	2
72	CalebDHawk	2
72	UrbanPlanner1978	2
72	PlasticOtari	2
96	123louis456	1
96	Ryker	1
96	eitanzaki	1
96	T045RTY	1
96	awesomeoneme	1
96	Historical_Sand	1
96	kekhon	1
96	Smashic	1
96	thescout7	1
96	LotusProject	1
96	Avermu	1
96	gabriels543	1
96	DAD_1996	1
96	Skylord_Luke	1
96	audiocracked	1
96	Jiminie	1
96	rotten_mango	1
96	Fuad_R	1
96	Freak_Genius	1
96	Charleszetoast	1
96	Racengan	1
96	Barlycorn	1
96	Typadopoulos	1
96	MakeHistory157	1
96	07shiny	1
96	SvenskaHugo	1
96	pixelviolin	1
96	BlankityMcBlank	1
96	djancak	1
96	NATE_the_HALO	1
96	MelodyGaysharks	1
