rank	username	minecraft:crafted/minecraft:bow
1	Hyp3rion_	2156
2	thewindmillman	2054
3	Deathkob	1804
4	sp00ky_ghost977	1330
5	noam464	1086
6	Awyrlas	666
7	HellsSponge	649
8	TheShyPig	629
9	Spacewardharpy7	513
10	beeperbeeper5	495
11	Drlzyy	422
12	pintsizedrogue	398
13	thescout7	397
14	Historical_Sand	352
15	Eczbek	345
16	Smoke____	328
17	Jiminie	215
18	PigDab	213
19	PlasticOtari	193
20	EcksD	185
21	Kakolbus	172
22	JayToe	156
23	GravitySaint	154
24	oxfordschool	152
25	Jackattack53	146
26	mwrty	130
27	Mahoose	115
28	TechnoNinja64	112
29	Di_infiri	109
29	Lord_Jord	109
31	pixelviolin	107
32	wezzzi	97
33	Bumpy419	95
34	LeauVox4921	94
34	Akoot_	94
36	500am	89
37	joethahobo	87
38	07shiny	85
39	Inbefour	82
40	MightyWertu	81
41	Soplight	80
42	Zoeyfortnite	77
43	mihimihimihi	72
44	RebelAndroid	70
45	EMC_	69
45	Hoid_the_Roamer	69
47	MattieHD	65
48	TheSecondLord	63
48	MyNameIsJobo	63
50	Fullut	61
51	ssleepless	58
51	gabriels543	58
53	Quincannon	57
54	eitanzaki	55
55	PhantomsGhost_	53
56	fluddd	52
57	xxPipperDipperxx	51
57	ooga47	51
59	Malorn_Aetherius	50
60	Ezekson	49
61	Lez_	46
61	Blackberry1310	46
63	Hiryu27	45
63	Steelynan	45
65	Werbe	44
65	OfficerAnvil	44
65	Miko_Fullbuster	44
68	Enderslayerxz3	43
69	ApophisNova	41
69	MyNamaSheff	41
69	Legendosh	41
72	lordpipe	40
73	Sleek_Storm_721	39
73	_Nuf	39
75	Winklepicker279	38
76	Ryker	36
76	Skylord_Luke	36
78	m_be9	35
78	Racengan	35
78	YungMaki	35
81	Snowflowe	34
81	MangoTheFish	34
81	Rebytre	34
84	teslawolf38	33
85	Dogcorn69420	31
86	Frozil20	30
86	cedric72	30
88	Zaridey	29
88	EveryonesUncle	29
88	Freak_Genius	29
91	_Virify_	28
91	q_wq	28
91	FirsTimeGamingTV	28
94	Cowison	27
94	T045RTY	27
94	gcaisawesome	27
94	eiC_	27
94	Sky_light_KING	27
94	chipklip	27
94	Kowcio_	27
94	KingMatthew506	27
102	Warlord324	26
102	jnp_gaming	26
104	CoffeeNoir	25
104	mariominejedi	25
104	Groundler	25
107	M_Patata	24
107	Skippeh	24
107	Quotary	24
110	Kamflame10	23
110	ClemenPine	23
110	ebanana	23
110	Xclax101	23
110	Hermanni__	23
115	Prismyst	22
115	BumbleBeever	22
117	MasterNueve	21
117	Sral7	21
119	Steven1282598	20
119	SammiWolfGirl	20
121	Vizzoid	19
121	Inchef	19
121	Chromary	19
121	ProbsNotNova	19
125	MinttyFressh	18
125	SharpDev	18
125	masskedman	18
125	Njensen7	18
129	Crowvens	17
129	12Magner05	17
129	AngalexikCZ	17
129	egglapras	17
129	loveseeker	17
129	2blox	17
135	rarrq	16
135	ThePoliteG	16
135	Guillemet	16
135	CollinMH06	16
135	Cocoamallows	16
135	Kubeusz2010	16
141	Merv__	15
141	Ssor69	15
141	TheDankPlatypus	15
141	prizm_	15
141	Fast_Turtle	15
141	HolyVenom	15
141	tsitrawhy	15
141	EngagedGrub41	15
141	AltnumberF4	15
150	awesomeoneme	14
150	Comma__	14
150	Arceus1975	14
150	fw3xywashere	14
150	censorsheep	14
150	PortlyPete69	14
150	obzii	14
157	Groovy_MoonBird	13
157	IWorkAtIkea	13
157	bloodbiter	13
157	theonlymagikarp	13
157	SeverianTheLame	13
157	popcanter	13
157	_8man	13
157	djancak	13
157	anbbang	13
166	Wooptey	12
166	himak1	12
166	seramalen	12
166	epiksk8erduck	12
166	groofles	12
166	MangoSalad316	12
166	Nycteus_	12
166	stahouo	12
174	Ailmast	11
174	tuckerdoodle	11
174	Jahara	11
174	jiggywraps	11
174	Rich_Kat	11
174	Covalents	11
174	NLKBuilder	11
174	KnightmareD	11
174	Deodorante	11
174	Blu3beast	11
174	PlzNoBM	11
185	Jovaphobic	10
185	RoskobiOne	10
185	kekhon	10
185	Scathra	10
185	eviltunix	10
185	KeruNatsema	10
185	Katsuragi0243218	10
185	ori0le	10
185	Airem_Core	10
185	layabout100	10
185	Eraxa	10
185	fffMike	10
185	EcksDofficial	10
198	Bandito_Roamer	9
198	beeleg	9
198	TheSeismicDuck	9
198	balin55	9
198	WeebleSock	9
198	SwooshBoi	9
198	El_Jalapeno	9
198	monky_irl	9
198	geekbird	9
198	Razzgriz	9
208	Lukeee33	8
208	burbankbuilder28	8
208	FishyBoy3811	8
208	Maenara	8
208	audiocracked	8
208	DTwenty	8
208	NYJ	8
208	_Bguette_	8
208	The_slideV3	8
208	StinkyDiplomat	8
208	QueenShuvi	8
208	IAmTheWalrus910	8
208	__tomato	8
208	non089	8
208	CalebDHawk	8
208	Dreamdbr14	8
224	Paint	7
224	SaucyDark	7
224	Valoth	7
224	NieToksikpl	7
224	Smashic	7
224	Tjhodskins19	7
224	CharlieButt	7
224	pappaberg	7
224	CaptainDeadBread	7
224	Kouridragon	7
224	TheCordicus	7
224	claivin	7
224	EfficientC52	7
224	SingedBread	7
224	Barlycorn	7
224	WyngGoy	7
224	SSytex_X	7
224	Powowowow	7
242	Dedalus36	6
242	ImpavidArcher	6
242	TooManyDuck	6
242	lotarp	6
242	ivorico	6
242	CyrusIsTired	6
242	r123moore	6
242	Solar_Power	6
242	CrateOfBoxes	6
242	MousePlays	6
242	GoofyBread	6
