rank	username	minecraft:crafted/minecraft:magenta_shulker_box
1	thewindmillman	73
2	jnp_gaming	61
3	lordpipe	19
4	Hyp3rion_	18
5	500am	10
6	Bumpy419	9
6	PlasticOtari	9
8	pintsizedrogue	8
8	Winklepicker279	8
10	Fullut	6
10	mwrty	6
10	Covalents	6
13	MattieHD	4
13	ROY4LE	4
13	sp00ky_ghost977	4
13	oxfordschool	4
17	Merv__	3
17	TheSecondLord	3
17	Chromary	3
17	Akoot_	3
17	lillips	3
17	fluddd	3
17	YungMaki	3
24	SaucyDark	2
24	beeperbeeper5	2
24	Euclidoris	2
24	Comma__	2
24	kekhon	2
24	set67	2
24	Awyrlas	2
24	Maenara	2
24	Jiminie	2
24	HellsSponge	2
24	NameGenerat0r	2
24	MAns_44	2
24	__tomato	2
24	Spenduh	2
24	Smoke____	2
39	Iagoku	1
39	ExtraDumb	1
39	Hpdinosaur	1
39	eitanzaki	1
39	livingdaydreams	1
39	Myszoaz	1
39	joethahobo	1
39	Swexti	1
39	jushykins	1
39	m_be9	1
39	shyshyannne	1
39	emrekn	1
39	surfinggiraffejp	1
39	Xalithia	1
39	r123moore	1
39	Zaridey	1
39	Ecplosive	1
39	Marbz_	1
39	gabriels543	1
39	Hoid_the_Roamer	1
39	Voxin2K	1
39	Kouridragon	1
39	Rasmanden	1
39	Sky_light_KING	1
39	wezzzi	1
39	Jiminbub	1
39	chipklip	1
39	Karbl	1
39	1442	1
39	claivin	1
39	El_Jalapeno	1
39	censorsheep	1
39	Blaiku	1
39	Groundler	1
39	Racengan	1
39	SingedBread	1
39	Hisiste	1
39	monky_irl	1
39	OG_Songsee	1
39	Eraxa	1
39	Jij0	1
39	Juh1s	1
39	lcvezra	1
39	SammiWolfGirl	1
39	Njensen7	1
39	Ezekson	1
39	Enderslayerxz3	1
39	EcksDofficial	1
39	diggydog67	1
