rank	username	minecraft:crafted/minecraft:black_stained_glass
1	RebelAndroid	25528
2	joethahobo	12272
3	lillips	11872
4	Spacewardharpy7	11792
5	PigDab	11584
6	lordpipe	8264
7	Mahoose	7640
8	EcksD	5680
9	m_be9	5424
10	thewindmillman	4176
11	YungMaki	3120
12	Hyp3rion_	3088
13	beeperbeeper5	3008
14	ROY4LE	2768
15	Franco093	2664
16	pixelviolin	2464
17	noam464	2016
18	Enderslayerxz3	2000
19	500am	1968
20	Jovaphobic	1608
20	Snowflowe	1608
20	Blaiku	1608
23	MakeHistory157	1536
24	h2p_emrld	1408
25	AuroraValkyrie	1392
26	ImpavidArcher	1384
27	33sudo	1280
28	BobDeBouwer1337	1248
29	TheSecondLord	1232
30	Werbe	1056
31	Frozil12	1040
32	Marbz_	1000
33	The_slideV3	888
34	ogoa	848
35	_Karmaa	832
36	titanlax	816
36	Miko_Fullbuster	816
38	teslawolf38	808
39	SingedBread	728
40	NomadicRobin_	576
40	jnp_gaming	576
42	pintsizedrogue	528
43	MightyWertu	520
44	Di_infiri	512
44	stahouo	512
46	Ssor69	480
47	Xalithia	472
48	CliffEmAll	456
49	SquadMonster	432
50	IvarEXE	424
51	audiocracked	416
52	YoshikageBites	412
53	burbankbuilder28	408
54	Iagoku	384
55	RoskobiOne	336
55	Onennon	336
57	Th6masss	320
58	MangoTheFish	312
58	MAns_44	312
58	Eczbek	312
61	mwrty	296
61	DanTheBuilderino	296
61	EcksDofficial	296
64	Blackberry1310	288
64	Smoke____	288
66	emrekn	256
67	EMC_	232
67	kekhon	232
69	GlitchyPlate810	192
70	seramalen	176
70	Eraxa	176
72	fffMike	168
72	Steelynan	168
74	MyNameIsJobo	160
74	Groundler	160
74	tsitrawhy	160
77	ssleepless	152
77	TheShyPig	152
79	lcvezra	144
80	_Virify_	128
81	Dan_Scha	120
82	El_Jalapeno	104
83	Merv__	96
83	diamondgolem35	96
83	benediktine1	96
83	AJplaysMC_	96
83	_3Stump_	96
88	Maenara	88
88	DTwenty	88
90	SaucyDark	80
90	rarrq	80
90	Sral7	80
93	ImDisconnected_	72
93	Syropatathe	72
93	Freak_Genius	72
96	Alteriity	64
96	Smashic	64
96	gabriels543	64
96	Rebytre	64
96	Skylord_Luke	64
96	Zielo2017PL	64
96	cedric72	64
96	dartwaffle	64
96	KliBeast21	64
96	StinkyDiplomat	64
106	Historical_Sand	56
107	Deathkob	48
108	HellsSponge	44
109	JEWISHBadenBeele	40
109	Hyugo	40
109	ExtraDumb	40
109	Ardennes	40
109	EveryonesUncle	40
109	AssFullaCum	40
115	Groovy_MoonBird	32
115	SyK7	32
115	TinMaster	32
115	Inchef	32
115	Mattesco	32
115	Akoot_	32
115	Jiminie	32
115	claivin	32
115	fluddd	32
115	LordSpeed37	32
115	Soplight	32
115	mobunni	32
115	Lowjinx	32
128	SteveCraftBlocks	24
128	theonlymagikarp	24
130	RatatJuice	16
130	eitanzaki	16
130	12Magner05	16
130	r123moore	16
130	Bumpy419	16
130	Hiryu27	16
130	Xclax101	16
130	Kowcio_	16
130	Kubeusz2010	16
139	q_wq	8
139	awesomeoneme	8
139	MSK__	8
139	Notta	8
139	Fullut	8
139	fade_emerge78823	8
139	Motsaro	8
139	xxPipperDipperxx	8
139	Touched_Bread	8
139	Kakolbus	8
139	Zythose	8
139	King_Pancake1	8
139	The_Fulgurator	8
139	Luminad3	8
139	chipklip	8
139	MovingFish7	8
139	sp00ky_ghost977	8
139	Spenduh	8
139	Quotary	8
139	BreadBacon	8
139	little_dUki	8
139	JohnPrice	8
