rank	username	minecraft:crafted/minecraft:jungle_door
1	noam464	192
2	himak1	96
3	Smoke____	33
4	Merv__	30
4	TheShyPig	30
6	Kim_Jong_eel	24
7	Airem_Core	21
7	SvenskaHugo	21
9	6king6colt6	18
10	SaucyDark	15
10	EveryonesUncle	15
12	kekhon	12
12	PlasticOtari	12
14	teslawolf38	9
14	joethahobo	9
14	M_Patata	9
14	BronkerBrum	9
14	Toiton	9
14	Groundler	9
14	Factoroni	9
14	MasterNueve	9
14	sebastiensaborio	9
14	oxfordschool	9
14	RadarHz	9
25	HellsSponge	8
26	_Virify_	6
26	chrolus	6
26	Incinere	6
26	beeperbeeper5	6
26	titanlax	6
26	Blackberry1310	6
26	Fullut	6
26	mwrty	6
26	LotusProject	6
26	Xalithia	6
26	zemey	6
26	Winklepicker279	6
26	MyNameIsJobo	6
26	Hyp3rion_	6
26	RefluxRatio	6
26	Xclax101	6
26	Kferno	6
26	Hermanni__	6
44	Groovy_MoonBird	3
44	Bandito_Roamer	3
44	Mr_Byzantine	3
44	Harotio	3
44	Mowelan	3
44	Dedalus36	3
44	ImpavidArcher	3
44	CryoInferno_	3
44	Hpdinosaur	3
44	CoffeeNoir	3
44	ShedJr_	3
44	MSK__	3
44	H72l9w	3
44	Swexti	3
44	FirsTimeGamingTV	3
44	_Dean_123	3
44	Nach0Bear	3
44	PegLegPete93	3
44	DSYisDizzy	3
44	Kubelz	3
44	Windo_licker	3
44	SuperPooch06	3
44	AnnieBathory	3
44	_Boipl_	3
44	BlossomOwO	3
44	Onennon	3
44	LilLizardWizard	3
44	Leyna3	3
44	Maenara	3
44	Akoot_	3
44	Dabatha	3
44	Inbefour	3
44	ese_wn_po	3
44	Jiminie	3
44	MAns_44	3
44	Freak_Genius	3
44	Blu3beast	3
44	Frozil12	3
44	MovingFish7	3
44	07shiny	3
44	Kowcio_	3
44	Soplight	3
44	_TCARREIRA_	3
44	ItsJunoIGuess	3
44	Njensen7	3
44	jnp_gaming	3
44	Rahikeru	3
44	KASAN420	3
44	IronicUwU1	3
