rank	username	minecraft:crafted/minecraft:polished_blackstone_brick_wall
1	PigDab	2130
2	noam464	2028
3	fragrantmonke444	874
4	skroobiez	696
5	Winklepicker279	540
6	PlasticOtari	512
7	Mattesco	436
8	Deathkob	392
9	Jackattack53	384
10	Di_infiri	334
10	luseis	334
12	k_ce	316
13	Blaiku	312
14	Lord_Jord	253
15	Yamdalorian	240
16	bl1ss0	216
17	Fullut	136
18	Shogunite	102
19	KarlKaek	96
20	Druid95	78
21	r123moore	72
22	ECstardust	60
22	djancak	60
24	CliffEmAll	54
24	Billious	54
24	Vorlice	54
27	00000000-0000-0000-0009-01ff0c3e5e4f	46
28	beeperbeeper5	44
29	drunkeeez	42
30	Kubeusz2010	39
31	joethahobo	36
32	HellsSponge	31
33	Myszoaz	30
33	FishyBoy3811	30
33	SpacesickPrism	30
36	pintsizedrogue	29
36	Ezekson	29
38	JitteryJared2	25
39	TheSecondLord	24
39	BobDeBouwer1337	24
41	Mr_Byzantine	20
42	teslawolf38	18
42	Huwulling	18
42	ZoomieZoomie	18
45	gustarlep	15
46	MSK__	12
46	Kakolbus	12
46	Eon_57	12
46	Decaying_Lotus	12
50	ogoa	10
51	Crowman1	9
52	PazinGaming	6
52	Jakobo1337	6
52	lorpus	6
52	Zythose	6
52	FreakGenius	6
52	sp00ky_ghost977	6
52	Steelynan	6
52	EcksD	6
52	Legendosh	6
61	_Razaria	5
61	Hahaa_0	5
63	Apollo_993	4
63	Jimb0nat0r	4
65	Blackberry1310	3
65	Windo_licker	3
67	pixelviolin	2
67	Soplight	2
69	hanaryheatwave	1
69	Kowcio_	1
