rank	username	minecraft:crafted/minecraft:nether_bricks
1	Blaiku	45258
2	Zythose	35735
3	Hyp3rion_	20771
4	PigDab	15658
5	noam464	11446
6	pintsizedrogue	10781
7	eitanzaki	9810
8	Lord_Jord	8831
9	Frozil12	8741
10	joethahobo	8131
11	Kakolbus	7389
12	cedric72	6272
13	MyNameIsJobo	5056
14	Merv__	4952
15	TheShyPig	4864
16	gcaisawesome	4545
17	Smoke____	3531
18	thewindmillman	2879
19	Snowflowe	2705
20	BobDeBouwer1337	2512
21	m_be9	2506
22	jacxhadow	2371
23	GlitchyPlate810	2083
24	Marbz_	1792
25	YungMaki	1783
26	Jiminie	1774
27	Cowison	1745
28	beeperbeeper5	1659
29	Bandito_Roamer	1619
30	TheBiggestFeller	1585
31	Di_infiri	1501
32	Skippeh	1431
33	Soplight	1238
34	ciemacigans	1094
35	Mahoose	1047
36	King_Pancake1	1000
37	anbbang	936
38	Onennon	899
39	Deathkob	883
40	EveryonesUncle	871
41	Spacewardharpy7	834
42	Legendosh	793
43	djancak	744
44	Aezekial	702
45	Dedalus36	657
46	Blu3beast	633
47	Freak_Genius	632
48	TAKrules	631
49	HellsSponge	624
50	fred870d	623
51	rarrq	619
52	Eraxa	609
53	dudcreeper	577
54	chlorinex	576
55	Kowcio_	572
56	MAns_44	571
57	stellarjay	556
58	fffMike	552
59	Vorlice	491
60	KnightmareD	480
61	AlphaWolfPlaysMC	471
62	EMC_	468
63	RobotMinion101	461
64	DermeinUser	445
65	Sral7	435
66	yulgur1	430
67	Nargotah	408
68	Kamflame10	405
69	Jovaphobic	395
70	AnnieBathory	374
71	DanTheBuilderino	368
72	Decaying_Lotus	345
73	Xclax101	327
74	PlasticOtari	305
75	DemTechAlpha	304
76	dendydoom	299
77	brofrickcheaters	278
78	Malorn_Aetherius	256
78	Zedducius	256
78	500am	256
78	ApophisNova	256
78	MyNamaSheff	256
83	IdeallyGrey	253
84	SyK7	252
85	SlayerCrypto	232
86	starbits140	225
87	YoshikageBites	224
88	r123moore	218
89	The_slideV3	208
90	MilleGrug	199
91	Sleek_Storm_721	197
92	Fullut	192
93	ooga47	190
94	audiocracked	181
95	xxPipperDipperxx	180
96	livingdaydreams	176
97	BlancoFlaco	167
98	ogoa	159
99	lizardfightclub	148
100	teslawolf38	144
101	Jackster03	143
102	Blackberry1310	142
103	DennyKai	131
104	blackraith272	128
105	Sheldor097	126
106	Moetis	124
107	lcvezra	120
108	Jij0	113
109	Historical_Sand	111
109	FlashMigma	111
111	NomadicRobin_	108
112	kekhon	107
113	TheEnderman548	101
114	Hpdinosaur	99
115	ShedJr_	96
115	Dooinfe	96
115	GravitySaint	96
118	CliffEmAll	95
118	mobunni	95
120	SuperPooch06	93
121	Incinere	91
121	mwrty	91
121	bitsplease	91
124	SUN_DREAM	80
125	Ardennes	78
126	nataliecool	72
127	NatrixxddxYT	71
127	egglapras	71
129	EcksDofficial	67
130	Inchef	64
130	ImDisconnected_	64
130	sp00ky_ghost977	64
130	faqpilot	64
130	kyouma777	64
130	bloomkieren	64
130	RoboTramp7865	64
130	Enderslayerxz3	64
138	TheSecondLord	61
139	LilLizardWizard	60
139	Meepcraft	60
141	ADEXTV	56
142	Natty	55
143	Rebytre	54
144	T045RTY	52
145	EcksD	51
146	ATurtle4936	48
146	obzii	48
148	Luigipunch989	46
149	Dusk_95	45
150	Kynigito	44
151	Chromary	43
152	_Nuf	42
153	CoffeeNoir	35
154	Tolhart	32
154	LotusProject	32
156	RodSerlingCringe	31
156	Darkgon	31
158	wobn	30
158	Typadopoulos	30
158	_Wannabe_	30
161	ProfessorBee	28
162	Parcc	25
163	himak1	20
164	Yatitay	18
165	Paint	16
165	surfinggiraffejp	16
165	SvenskaHugo	16
168	breadbowlgamer	14
168	lordpipe	14
168	__tomato	14
171	dimondking777	11
171	Steelynan	11
173	mimbo1211	9
174	12Magner05	8
175	whoaluv	6
176	I_Am_Mushkin	5
177	Alteriity	4
177	fr_ser	4
177	Arceus1975	4
177	Donutt	4
177	420BreadLizard	4
182	burbankbuilder28	3
182	_Boipl_	3
182	Quinasin	3
182	Miko_Fullbuster	3
186	301851	2
186	Eon_57	2
186	Kijiki	2
189	Kubelz	1
189	Kubeusz2010	1
189	TechnoNinja64	1
