rank	username	minecraft:crafted/minecraft:quartz_bricks
1	beeperbeeper5	8024
2	Lord_Jord	6352
3	Smoke____	5829
4	Rocco_Lane	1836
5	shineh10	1208
6	RebelAndroid	1102
7	Frozil20	1028
8	set67	960
9	paranoid_plant	940
10	FreakGenius	761
11	Lutres_Torane	716
12	Nycteus_	588
13	joethahobo	536
14	EveryonesUncle	492
15	Mr_Byzantine	384
15	himak1	384
17	xxPipperDipperxx	335
18	Dusk_95	328
19	SingedBread	314
20	fw3xywashere	256
21	Cowison	212
22	F_Uhre	192
23	Steelynan	188
24	trexgb	176
25	MirielThePastor	172
26	Mattesco	160
27	eitanzaki	128
27	Whiterooster001	128
27	BobDeBouwer1337	128
27	Snowflowe	128
27	Werbe	128
27	LexMakesHistory	128
33	GooseWithin	124
34	noam464	108
35	Kowcio_	104
36	nattybears	96
36	Hyp3rion_	96
38	Winklepicker279	80
39	mobunni	78
40	Jackattack53	76
40	MAns_44	76
42	Jonafrog99	68
43	diamondgolem35	64
43	Incinere	64
43	kekhon	64
43	Elastiq	64
43	Fuad_R	64
43	Blaiku	64
49	PlasticOtari	61
50	Optiprimus	60
51	Myszoaz	44
52	ITDV	40
53	HellsSponge	36
54	Blackberry1310	28
55	ImpavidArcher	27
56	Mahoose	26
57	theonlymagikarp	24
57	Spacewardharpy7	24
59	corvidpartyfor6	20
59	SlinkyPinky	20
59	Quotary	20
62	Merv__	16
62	bearlystraight	16
64	lordpipe	13
65	soundad	10
66	CattSoup	8
67	Awyrlas	7
68	CoffeeNoir	4
68	Lez_	4
68	Arceus1975	4
68	burbankbuilder28	4
68	Akoot_	4
68	djancak	4
68	gusstationwerker	4
68	Luigipunch989	4
68	obzii	4
68	bladeefan2009	4
68	00000000-0000-0000-0009-01ff0c3e5e4f	4
79	Moofyman	2
79	Soplight	2
81	pintsizedrogue	1
