rank	username	minecraft:crafted/minecraft:netherite_axe
1	Dedalus36	7
2	EveryonesUncle	3
3	pintsizedrogue	2
3	JohnnyFyes	2
3	nataliecool	2
3	RoskobiOne	2
3	Drlzyy	2
3	Alteriity	2
3	Kkanot	2
3	Touched_Bread	2
3	thewindmillman	2
3	PigDab	2
3	HellsSponge	2
3	Spenduh	2
3	TheOuterCore	2
16	Menthas	1
16	littlesophiagirl	1
16	soundad	1
16	AuroraValkyrie	1
16	EMC_	1
16	6king6colt6	1
16	Sleek_Storm_721	1
16	diamondgolem35	1
16	bigstankyy	1
16	tuckerdoodle	1
16	RebelAndroid	1
16	CoffeeNoir	1
16	NinjaKnifeKill	1
16	Myszoaz	1
16	MSK__	1
16	Da_Boss_Rani	1
16	NieToksikpl	1
16	Blackberry1310	1
16	CliffEmAll	1
16	BobDeBouwer1337	1
16	Chickenchaser2	1
16	jiggywraps	1
16	bloodbiter	1
16	Nicky_H225	1
16	12Magner05	1
16	Megarboh	1
16	Awyrlas	1
16	Xalithia	1
16	ROY4LE	1
16	benediktine1	1
16	CharlieButt	1
16	Mobstr	1
16	CollinMH06	1
16	Marbz_	1
16	Di_infiri	1
16	Hyp3rion_	1
16	LAVA129	1
16	MangoTheFish	1
16	Rocco_Lane	1
16	BronkerBrum	1
16	Rebytre	1
16	Hiryu27	1
16	ApophisNova	1
16	Afinnity	1
16	Mattesco	1
16	Jonte0599	1
16	SvenskaAlvar	1
16	Myhym	1
16	Akoot_	1
16	Lord_Jord	1
16	fw3xywashere	1
16	Wowful	1
16	Deodorante	1
16	Lutres_Torane	1
16	DarkS0L	1
16	Fuad_R	1
16	_Karmaa	1
16	RoBe__	1
16	NameGenerat0r	1
16	Quaintster	1
16	Not_Insom	1
16	Blu3beast	1
16	Nycteus_	1
16	censorsheep	1
16	Steven1282598	1
16	MightyWertu	1
16	ProfessorDiaper	1
16	SkateboardR6	1
16	StanClubPenguin	1
16	ItsDeltaMC	1
16	sp00ky_ghost977	1
16	Ze_BaronKrigler	1
16	Eraxa	1
16	pixelviolin	1
16	Kowcio_	1
16	Segotep999	1
16	djancak	1
16	microcrisp	1
16	PortlyPete69	1
16	obzii	1
16	fffMike	1
16	Eczbek	1
16	Kubeusz2010	1
16	MissCeleste7	1
16	oxfordschool	1
16	Quotary	1
16	RadarHz	1
16	MyNamaSheff	1
16	FelixPSY375	1
16	Enderslayerxz3	1
16	Freedrik	1
