rank	username	minecraft:crafted/minecraft:polished_deepslate_stairs
1	mihimihimihi	3016
2	thebaddruid	1380
3	Jackattack53	769
4	Fuad_R	616
5	StinkyDiplomat	592
6	Winklepicker279	424
7	EMC_	300
8	weabis	296
9	Mattesco	248
10	Touched_Bread	216
11	Da_Boss_Rani	177
12	PazinGaming	176
12	TheWildMateo	176
14	corpsecity	149
15	Mr_Byzantine	136
16	shineh10	112
17	Nicserso	104
18	Huwulling	84
19	joethahobo	64
20	Btabtab	60
21	hm947	53
22	Smashic	51
23	jessewegottacook	48
24	12Magner05	43
25	ZeroAbyssTTV	40
26	Deathkob	38
27	thewindmillman	32
28	pintsizedrogue	28
28	ImpavidArcher	28
28	BiggieDawg	28
31	UCP_TheKingK	25
32	Myszoaz	24
32	TheSecondLord	24
32	MAns_44	24
35	Sleepy_Time_	20
36	Moofyman	19
37	Legendosh	18
38	sp00ky_ghost977	16
38	non089	16
40	_Huge_Male_	14
41	teslawolf38	12
41	lizardfightclub	12
41	Steelynan	12
41	EcksD	12
45	excelsionprime	10
46	ScootOfBoot	9
46	PlasticOtari	9
48	Lez_	8
48	Kubelz	8
48	Manaateee	8
48	SvenskaHugo	8
52	lordpipe	7
53	titanlax	6
54	Merv__	5
54	Enderxz3	5
56	RatatJuice	4
56	SkinnyBois	4
58	luseis	2
58	Soplight	2
60	Groovy_MoonBird	1
60	Alteriity	1
60	Dblikstad	1
60	bearlystraight	1
60	Kowcio_	1
