rank	username	minecraft:crafted/minecraft:green_carpet
1	Crowman1	16470
2	YungMaki	13422
3	joethahobo	12201
4	Valoth	5454
5	beeperbeeper5	5262
6	crashomon	2229
7	bl1ss0	1867
8	Creativebuilder2	1728
9	luseis	1584
10	Yamdalorian	1570
11	Lez_	1362
12	QuiCreans	1152
13	Spacewardharpy7	978
14	Quaintster	960
15	Snowflowe	885
16	Kowcio_	819
17	EcksD	774
18	HellsSponge	738
19	XxCookiequeenxX	460
20	FishyBoy3811	423
21	Enderxz3	405
22	Cowison	400
22	corpsecity	400
24	Rumpletaezer	393
25	jnp_gaming	384
26	Legendosh	381
27	noam464	339
28	pintsizedrogue	336
29	Huwulling	333
30	2blox_	294
31	heckface	291
32	Manaateee	288
33	NomadicRobin_	252
34	Marbz_	225
35	Werbe	213
36	Groundler	207
37	Inchef	204
37	xxPipperDipperxx	204
39	ECstardust	195
39	emreknugrlu	195
41	Groovy_MoonBird	192
41	RebelAndroid	192
41	mwrty	192
41	HolyVenom	192
41	PlzNoBM	192
46	KingMatthew506	166
47	rarrq	156
48	kekhon	153
49	skitzxo	139
50	The_slideV3	138
51	Kakolbus	129
52	TheWickedBird	120
53	jacxhadow	108
54	ConnorDanky_	102
54	Quotary	102
56	Steelynan	99
56	Sral7	99
58	OreTheBear	96
58	cedric72	96
58	CJPerson	96
58	weabis	96
58	wwwwinnebagoooo	96
58	Cocoamallows	96
64	Buuck_	93
65	SaucyDark	87
65	Kyrum2169	87
67	El_Jalapeno	75
68	ApophisNova	72
68	MyNamaSheff	72
70	TheSecondLord	69
70	TheShyPig	69
72	EveryonesUncle	66
73	Merv__	63
74	TheKingK_	60
75	RebytreGT	54
76	pixelviolin	53
77	RoskobiOne	48
77	Napoleonpancake	48
77	Di_infiri	48
77	lordpipe	48
77	Njensen7	48
77	ZoomieZoomie	48
77	TechnoNinja64	48
84	Inbefour	45
85	fr_ser	39
85	seramalen	39
87	titanlax	36
87	Blackberry1310	36
87	500am	36
90	Mahoose	30
90	Fullut	30
92	burbankbuilder28	27
93	CLG_Kata	24
93	EMC_	24
95	wezzzi	21
96	Druid95	20
97	SnowyAvi	18
97	M_Patata	18
97	MAns_44	18
97	Factoroni	18
97	MasterNueve	18
102	Alphanzt99	15
102	Ezekson	15
104	_Huge_Male_	12
104	lorywithay	12
104	Onennon	12
104	NameGenerat0r	12
104	Eraxa	12
109	Krowuss	10
110	Mr_Byzantine	9
110	ProfessorBee	9
110	SuperPooch06	9
110	Racengan	9
110	SvenskaHugo	9
110	miramyu	9
110	PlasticOtari	9
117	AspenLightVT	8
117	pretty_pink_reno	8
119	ImpavidArcher	6
119	HollieDaNugget	6
119	skroobiez	6
119	IgnoredBee	6
119	Saucepeh	6
119	ReflexCode	6
119	FreakGenius	6
119	Kubeusz2010	6
127	Niklas20114552	3
127	Ozixar	3
127	Cryptacity	3
127	bloodbiter	3
127	Hyp3rion_	3
127	Blaiku	3
127	StarCookiees_	3
127	Shin69	3
127	hermmm_	3
