rank	username	minecraft:crafted/minecraft:iron_trapdoor
1	Mahoose	9097
2	m_be9	7408
3	YungMaki	5681
4	thewindmillman	5330
5	noam464	4735
6	PigDab	4080
7	EcksD	3655
8	joethahobo	3392
9	Spacewardharpy7	2894
10	Ezekson	1989
11	beeperbeeper5	1620
12	Hyp3rion_	1493
13	Di_infiri	1403
14	Jackattack53	993
15	jnp_gaming	955
16	eitanzaki	735
17	Blaiku	722
18	PlasticOtari	491
19	r123moore	417
20	mwrty	304
21	MinttyFressh	282
22	Frozil12	222
23	MilleGrug	219
24	Jiminie	206
25	ImpavidArcher	189
26	geekbird	171
27	NotMeanttoChange	169
28	500am	159
29	HellsSponge	158
30	12Magner05	137
31	Merv__	133
32	Soplight	129
33	TheShyPig	128
34	Snowflowe	104
35	rarrq	101
36	Smoke____	100
37	theonlymagikarp	96
38	The_slideV3	85
39	Skippeh	82
40	Historical_Sand	78
41	Lord_Jord	77
41	Sral7	77
43	Sky_light_KING	68
44	Werbe	67
44	Freak_Genius	67
46	pintsizedrogue	66
47	ayamefag	65
48	thescout7	54
49	Swexti	45
49	Groundler	45
51	audiocracked	42
52	_Virify_	40
53	WyngGoy	38
54	bloodbiter	36
55	Inchef	35
56	titanlax	32
56	Shogunite	32
56	AltnumberF4	32
59	Legendosh	30
60	KarlKaek	29
61	jushykins	27
62	T045RTY	24
62	Nicky_H225	24
64	Factoroni	23
65	Barlycorn	22
65	KG1999	22
67	oreee	20
67	SkateboardR6	20
69	Smashic	19
69	Vorlice	19
69	PortlyPete69	19
69	ZeroKraken	19
73	FirsTimeGamingTV	18
73	Marbz_	18
73	MyNameIsDakar	18
76	PegLegPete93	17
77	gcaisawesome	16
77	DermeinUser	16
77	aec9	16
77	Eraxa	16
77	_TCARREIRA_	16
82	gabriels543	15
83	SquadMonster	13
83	ratglock	13
83	Steelynan	13
86	InfernalMound	11
86	Bumpy419	11
86	lordpipe	11
89	AuroraValkyrie	10
89	eiC_	10
89	Zythose	10
92	loveseeker	9
92	Doom_melon	9
92	Darkgon	9
92	KingMatthew506	9
96	valkam13	8
96	Fuhrer_Teemo	8
96	Hisiste	8
96	Enderslayerxz3	8
100	RebelAndroid	7
100	emrekn	7
100	burbankbuilder28	7
100	MightyWertu	7
100	__tomato	7
105	soundad	6
105	hm947	6
105	jimintyy	6
105	CharlieButt	6
105	Arceus1975	6
105	Blu3beast	6
105	Fildyr	6
105	tsitrawhy	6
105	561cool	6
114	Tommhh	5
114	Dedalus36	5
114	Onennon	5
114	Maenara	5
114	EveryonesUncle	5
114	LexMakesHistory	5
120	teslawolf38	4
120	EMC_	4
120	TheSecondLord	4
120	Awyrlas	4
120	NoxxxxiS	4
120	Covalents	4
120	lizardfightclub	4
120	Inbefour	4
120	censorsheep	4
120	stavgod	4
120	Winston_Ingram	4
120	Njensen7	4
120	oxfordschool	4
120	Quotary	4
120	cichy096	4
135	Bandito_Roamer	3
135	abramgray	3
135	Flores991	3
135	Ozixar	3
135	cowgirlkasia	3
135	jacxhadow	3
135	kekhon	3
135	Megarboh	3
135	egglapras	3
135	Paintz	3
135	LitoDelvito	3
135	Zaridey	3
135	Bazongoman	3
135	Winklepicker279	3
135	MyNameIsJobo	3
135	Nyxiom_	3
135	Muffindrake	3
135	ApophisNova	3
135	RobotMinion101	3
135	AlphaWolfPlaysMC	3
135	DemTechAlpha	3
135	GravitySaint	3
135	MakeHistory157	3
135	07shiny	3
135	PlzNoBM	3
135	MyNamaSheff	3
161	ssleepless	2
161	Hpdinosaur	2
161	tuckerdoodle	2
161	Rox_The_Box	2
161	H72l9w	2
161	Ssor69	2
161	Vizzoid	2
161	featherflyy	2
161	Frxnkz	2
161	Cryptacity	2
161	boog4loo	2
161	Kamflame10	2
161	Mewar	2
161	CaptainSteve345	2
161	SuperPooch06	2
161	Rumpletaezer	2
161	epiksk8erduck	2
161	TheTrueClipse	2
161	TheSeismicDuck	2
161	Syropatathe	2
161	fkGrim	2
161	Deathkob	2
161	Quincannon	2
161	FlashMigma	2
161	Xclax101	2
161	Racengan	2
161	CACTUSLAD	2
161	Kyrum2169	2
161	tartanboy	2
161	FelixPSY375	2
161	Powowowow	2
192	Jovaphobic	1
192	Mr_Byzantine	1
192	Froste131	1
192	dabloons	1
192	SlowMoNinja1994	1
192	KingFaenor	1
192	DepressedCubic	1
192	Iagoku	1
192	Hyugo	1
192	dongli	1
192	youhjjhhhjj	1
192	ivorico	1
192	Prismyst	1
192	301851	1
192	NanoShot	1
192	urbeans	1
192	Mimiir345	1
192	aikabot	1
192	Blackberry1310	1
192	Comma__	1
192	SteveCraftBlocks	1
192	TheDiamondCG	1
192	CarbonatedCola	1
192	Fullut	1
192	slkiey	1
192	AngalexikCZ	1
192	Nach0Bear	1
192	himak1	1
192	Irko	1
192	eviltunix	1
192	SellyZ	1
192	xxPipperDipperxx	1
192	hcb238	1
192	Dyosy	1
192	Noah_Bez	1
192	XboxPanda	1
192	TheDankPlatypus	1
192	moist_jellyfish	1
192	ImDisconnected_	1
192	AJplaysMC_	1
192	Parcc	1
192	domagawha	1
192	Hoid_the_Roamer	1
192	selectrix	1
192	Kynigito	1
192	cedric72	1
192	TTNG	1
192	YahooScreen9000	1
192	Rasmanden	1
192	Leyna3	1
192	Austinizzle	1
192	ADEXTV	1
192	wezzzi	1
192	_Crimson_Legate	1
192	NYJ	1
192	sufjanlover	1
192	rotten_mango	1
192	MinuteMira	1
192	Captain_Nasty	1
192	Meatlaugh	1
192	JESS_THE_RERE	1
192	1442	1
192	DASH_X7	1
192	claivin	1
192	Deerfoot	1
192	MustaLoordi	1
192	SwooshBoi	1
192	fluddd	1
192	Matorz	1
192	Warlord324	1
192	Airem_Core	1
192	Lord_Doob	1
192	SexcMf	1
192	Nagasaki_Riku	1
192	legoclone09	1
192	ElectricDragon81	1
192	Pickel_Lord	1
192	Shin69	1
192	SvenskaHugo	1
192	BlankityMcBlank	1
192	ediballbearings	1
192	Spenduh	1
192	GlitchyPlate810	1
192	obzii	1
192	Dogcorn69420	1
192	Sheldor097	1
192	Nargotah	1
192	mawileite	1
192	_3Stump_	1
192	Hermanni__	1
192	TitanCrafting	1
192	Apicomplexa	1
192	_AAZAR	1
192	Lowjinx	1
192	adiccting01	1
192	kinas45y5	1
192	Yahrto	1
192	Teebone15	1
192	JayToe	1
192	h2p_emrld	1
192	diggydog67	1
