rank	username	minecraft:crafted/minecraft:purple_stained_glass_pane
1	TheShyPig	1536
2	burbankbuilder28	400
3	Dreamdbr14	384
4	HellsSponge	312
5	lordpipe	272
6	beeperbeeper5	224
7	jnp_gaming	208
8	sebastiensaborio	176
9	Merv__	152
10	VentiHilton	144
11	titanlax	128
11	lillips	128
13	Ezekson	104
14	TheSecondLord	96
14	ROY4LE	96
16	6king6colt6	80
16	El_Jalapeno	80
16	YungMaki	80
19	pintsizedrogue	64
19	jacxhadow	64
21	heckface	56
22	Jovaphobic	48
22	Blaiku	48
24	FishyBoy3811	40
25	Shogunite	32
25	TheEnderman548	32
25	AltnumberF4	32
28	AnnieBathory	24
29	SaucyDark	16
29	Fullut	16
29	Rumpletaezer	16
29	Onennon	16
29	Spacewardharpy7	16
29	MakeHistory157	16
29	jcool7	16
36	livingdaydreams	8
36	ShedJr_	8
36	_Boipl_	8
36	420BreadLizard	8
36	NomadicRobin_	8
36	HesDemonPants	8
