rank	username	minecraft:crafted/minecraft:netherite_block
1	EcksD	415
2	Enderxz3	56
3	thewindmillman	52
4	500am	43
5	12Magner05	30
5	Smashic	30
7	TheSecondLord	29
8	Esme_1	26
9	Alteriity	24
10	ZA07	23
11	RealGroot	9
12	Fullut	8
12	noam464	8
14	Winklepicker279	7
14	Werbe	7
16	ITDV	6
16	MinttyFressh	6
16	Smoke____	6
19	set67	4
19	MilleGrug	4
21	Hyp3rion_	3
21	Rebytre	3
21	Quaintster	3
21	PlasticOtari	3
25	BlancoFlaco	2
25	Wooptey	2
25	RebelAndroid	2
25	beeperbeeper5	2
25	F_Uhre	2
25	SingedBread	2
25	Spacewardharpy7	2
25	gusstationwerker	2
25	ConnorDanky_	2
25	jnp_gaming	2
35	_Virify_	1
35	PhantomsGhost_	1
35	Mahoose	1
35	Lez_	1
35	gabriels543	1
35	Solar_Power	1
35	Skylord_Luke	1
35	PigDab	1
35	zToasty69z	1
35	fw3xywashere	1
35	NomadicRobin_	1
35	masskedman	1
35	Nycteus_	1
35	xzvu	1
35	Njensen7	1
35	Legendosh	1
