rank	username	minecraft:crafted/minecraft:cartography_table
1	eitanzaki	200
2	Kowcio_	122
3	noam464	108
4	HellsSponge	104
5	Werbe	98
6	500am	84
7	pintsizedrogue	82
8	pixelviolin	77
9	Manaateee	73
10	Di_infiri	61
11	luseis	56
12	beeperbeeper5	37
13	Huwulling	36
14	Jackattack53	33
15	Lez_	25
15	12Magner05	25
17	mariominejedi	24
18	PlasticOtari	23
19	Touched_Bread	17
20	Merv__	14
20	thewindmillman	14
20	Hyp3rion_	14
20	Hermanni__	14
24	Louiis123	10
24	Hoid_the_Roamer	10
24	NameGenerat0r	10
24	SpacesickPrism	10
28	kekhon	8
28	AdmiralSmoke	8
30	Apollo_993	7
30	Fullut	7
30	YungMaki	7
33	RoskobiOne	6
33	Vizzoid	6
33	TheSecondLord	6
33	TheShyPig	6
33	Xclax101	6
33	Eraxa	6
39	diamondgolem35	5
39	joethahobo	5
39	Historical_Sand	5
39	ROY4LE	5
39	Soplight	5
44	j5ylim	4
44	Mr_Byzantine	4
44	CLG_Kata	4
44	Skylord_Luke	4
44	Onennon	4
44	JayToe	4
50	PazinGaming	3
50	rarrq	3
50	m_be9	3
50	xxPipperDipperxx	3
50	gcaisawesome	3
50	legal_tax_evader	3
50	oscminus	3
50	fluddd	3
50	Spacewardharpy7	3
50	mihimihimihi	3
50	ConnorDanky_	3
50	Enderxz3	3
50	Legendosh	3
63	SmashingPump	2
63	teslawolf38	2
63	ECstardust	2
63	EMC_	2
63	Ryan_GEMS	2
63	RebelAndroid	2
63	ShedJr_	2
63	H72l9w	2
63	Dblikstad	2
63	Ssor69	2
63	MattieHD	2
63	corvidpartyfor6	2
63	Smashic	2
63	thescout7	2
63	prizm_	2
63	Marbz_	2
63	SuperPooch06	2
63	Arceus1975	2
63	Snowflowe	2
63	LAVA129	2
63	Mattesco	2
63	XxCookiequeenxX	2
63	EveryonesUncle	2
63	Darkgon	2
63	_Karmaa	2
63	claivin	2
63	ReflexCode	2
63	MineMaster0012	2
63	__tomato	2
63	Njensen7	2
63	_3Stump_	2
63	Ezekson	2
63	Nicserso	2
63	jnp_gaming	2
63	Kateesaur	2
98	Jovaphobic	1
98	Batoser	1
98	Groovy_MoonBird	1
98	Bandito_Roamer	1
98	heysushii	1
98	SyK7	1
98	dabloons	1
98	soundad	1
98	Napoleonpancake	1
98	Tommhh	1
98	Creativebuilder2	1
98	Iagoku	1
98	Hyugo	1
98	ExtraDumb	1
98	ImpavidArcher	1
98	SaucyDark	1
98	TooManyDuck	1
98	_Razaria	1
98	Ryker	1
98	the_fireminer	1
98	livingdaydreams	1
98	youhjjhhhjj	1
98	SyntheticSurgeon	1
98	Alteriity	1
98	Natty	1
98	Base_Tempest	1
98	MoistMicrowave	1
98	Ao_Ken	1
98	IWorkAtIkea	1
98	Euclidoris	1
98	titanlax	1
98	Malorn_Aetherius	1
98	lunathelemon	1
98	Comma__	1
98	jacxhadow	1
98	bloodbiter	1
98	MrExplorer	1
98	slkiey	1
98	excelsionprime	1
98	crying_wolf_13	1
98	mwrty	1
98	Awyrlas	1
98	PegLegPete93	1
98	olliebollie48	1
98	Noah_Bez	1
98	Kubelz	1
98	CharlieButt	1
98	SHAOBADMAN	1
98	RustyKedel	1
98	Kakolbus	1
98	thebluehippo	1
98	Winklepicker279	1
98	whoaluv	1
98	Rumpletaezer	1
98	Zythose	1
98	killmeiamtraitor	1
98	AnnieBathory	1
98	UMosDiesIrae	1
98	Reneedium	1
98	Studyhallsaver	1
98	pappaberg	1
98	Hiryu27	1
98	ApophisNova	1
98	Kynigito	1
98	MinerDec	1
98	AlexxO_o	1
98	aec9	1
98	Ender_Souls	1
98	PaperCanvas	1
98	theofiel	1
98	Kim_Jong_eel	1
98	Drewen24	1
98	KliBeast21	1
98	ADEXTV	1
98	Lord_Jord	1
98	DizzleJay311	1
98	natajimi	1
98	MinuteMira	1
98	DarkS0L	1
98	Fuad_R	1
98	AstreaTSS	1
98	Avocadogerms	1
98	FreakGenius	1
98	El_Jalapeno	1
98	Blu3beast	1
98	Blaiku	1
98	Groundler	1
98	SingedBread	1
98	Fildyr	1
98	Factoroni	1
98	lordpipe	1
98	TheTommyGun63	1
98	IAmTheWalrus910	1
98	ItsDeltaMC	1
98	sp00ky_ghost977	1
98	33sudo	1
98	StarCookiees_	1
98	Shin69	1
98	MustardSquid	1
98	SvenskaHugo	1
98	Kyrum2169	1
98	Kijiki	1
98	lcvezra	1
98	PortlyPete69	1
98	Dogcorn69420	1
98	fffMike	1
98	nonarso	1
98	Steelynan	1
98	EngagedGrub41	1
98	xorompole	1
98	Quotary	1
98	MyNamaSheff	1
98	Wolverine4302	1
98	MirielThePastor	1
98	Powowowow	1
98	TechnoNinja64	1
98	Jimb0nat0r	1
98	Sral7	1
98	xolstoi	1
98	Calbo_	1
98	MadmanRaven	1
98	00000000-0000-0000-0009-01ff0c3e5e4f	1
