rank	username	minecraft:crafted/minecraft:blue_banner
1	YungMaki	1903
2	Soplight	841
3	beeperbeeper5	618
4	Inchef	243
5	EveryonesUncle	137
6	TheShyPig	97
7	pintsizedrogue	91
8	eitanzaki	64
9	Deerfoot	37
10	Xclax101	36
11	WyngGoy	32
12	_Dean_123	30
13	Merv__	22
14	Mahoose	20
14	joethahobo	20
16	noam464	18
17	oxfordschool	16
18	Legendosh	12
19	MattieHD	11
20	hm947	10
20	TheSecondLord	10
20	Fullut	10
20	PlasticOtari	10
24	Blackberry1310	9
25	ShedJr_	8
25	kekhon	8
25	Ezekson	8
28	500am	7
28	Bloo2406	7
30	Freak_Genius	6
30	Optiprimus	6
32	Ardennes	5
32	Snowflowe	5
32	ApophisNova	5
32	MyNamaSheff	5
36	_Virify_	4
36	teslawolf38	4
36	Motsaro	4
36	Onennon	4
36	Kowcio_	4
36	MilleGrug	4
42	HollieDaNugget	3
42	bloodbiter	3
42	The11thDoctor	3
42	NomadicRobin_	3
42	Jiminie	3
42	Groundler	3
48	KarlKaek	2
48	John6970	2
48	nitram49b	2
48	HellsSponge	2
48	Eraxa	2
48	TechnoNinja64	2
48	kinas45y5	2
55	I_Am_Mushkin	1
55	Natty	1
55	IWorkAtIkea	1
55	Awyrlas	1
55	Stiar	1
55	TableTim	1
55	Ecplosive	1
55	Winklepicker279	1
55	fluddd	1
55	SingedBread	1
55	Spacewardharpy7	1
55	MakeHistory157	1
55	xof_on_microwave	1
55	Kubeusz2010	1
55	Yogscast_Manden	1
55	Smoke____	1
