rank	username	minecraft:crafted/minecraft:sea_pickle
1	ConnorDanky_	10
2	bloodbiter	6
3	pintsizedrogue	5
3	Frozil20	5
3	Mahoose	5
3	KlausVonStiglitz	5
3	RoofTyler	5
3	FreakGenius	5
9	Ryker	1
9	ThiccExotic	1
