rank	username	minecraft:crafted/minecraft:crimson_hyphae
1	thewindmillman	20004
2	YungMaki	5463
3	Smoke____	1158
4	Huwulling	912
5	xxPipperDipperxx	768
6	joethahobo	408
7	beeperbeeper5	378
8	Hermanni__	285
9	noam464	261
10	Cowison	78
11	mwrty	75
11	Steelynan	75
13	00000000-0000-0000-0009-01ff0c3e5e4f	66
14	soundad	63
15	CliffEmAll	60
16	r123moore	48
16	Marbz_	48
18	SuperPooch06	33
19	Blackberry1310	18
19	Kubelz	18
21	FreakGenius	15
22	500am	12
23	Crowman1	6
23	BobDeBouwer1337	6
25	Merv__	3
25	12Magner05	3
25	Zythose	3
25	HellsSponge	3
25	LazySupport00	3
25	Legendosh	3
25	BiggieDawg	3
25	PlasticOtari	3
