rank	username	minecraft:crafted/minecraft:bamboo_raft
1	Mattesco	20
1	lordpipe	20
3	bl1ss0	13
4	Spaghettatron	10
5	robonya_	8
6	thewindmillman	4
6	TheWickedBird	4
8	MyMawgDonaldsGon	2
8	_witch_craft_	2
8	craaaash	2
8	CacheOut	2
12	pintsizedrogue	1
12	k_ce	1
12	Napoleonpancake	1
12	McCakeAh	1
12	lorywithay	1
12	beeperbeeper5	1
12	Fullbit_	1
12	gamerlord1324	1
12	Reneedium	1
12	Mr_Sun15	1
12	Hahaa_0	1
12	Buuck_	1
12	Synthoum	1
12	Enderxz3	1
12	Yamdalorian	1
