rank	username	minecraft:crafted/minecraft:spruce_pressure_plate
1	Werbe	263
2	Tolhart	210
3	PlasticOtari	93
4	obzii	85
5	AssFullaCum	80
6	TheShyPig	77
7	Lez_	74
8	Jovaphobic	72
9	EveryonesUncle	70
10	noam464	64
10	Spacewardharpy7	64
10	EcksD	64
13	Cowison	60
14	Legendosh	57
15	HellsSponge	54
16	MyNameIsJobo	53
17	Mahoose	52
18	Tiberonus	44
19	pintsizedrogue	40
20	drumine	38
21	Da_Boss_Rani	36
21	robotemo	36
23	M_Patata	33
23	Tyrannosplart	33
23	MasterNueve	33
26	Ezekson	29
27	SaintJosie	28
28	beeperbeeper5	27
28	_Dean_123	27
30	rarrq	25
30	Racengan	25
30	07shiny	25
33	500am	24
34	Njensen7	23
35	EMC_	22
35	ImpavidArcher	22
35	_Bguette_	22
38	joethahobo	20
38	set67	20
40	Fullut	19
41	ROY4LE	18
41	Touched_Bread	18
41	Xclax101	18
41	wwwwinnebagoooo	18
45	Ze_BaronKrigler	17
46	titanlax	16
46	Bumpy419	16
48	Cryptacity	15
48	ApophisNova	15
48	MyNamaSheff	15
51	Blackberry1310	14
51	kekhon	14
51	Groundler	14
54	Rumpletaezer	13
54	Onennon	13
54	xolstoi	13
57	Natty	12
57	Alphanzt99	12
57	DermeinUser	12
57	skrongus	12
61	Groovy_MoonBird	11
61	SaucyDark	11
61	Manaateee	11
61	CalebDHawk	11
65	Arteriana	10
65	Smashic	10
65	luseis	10
65	FlashMigma	10
65	Barlycorn	10
65	Eraxa	10
65	Steelynan	10
72	eitanzaki	9
72	thebaddruid	9
72	Deathkob	9
72	Steve897	9
76	MunkaKris	8
76	ProfessorBee	8
76	AltnumberF4	8
79	AlazelTheReal	7
79	Jackster03	7
79	Sloths_Ender	7
79	mwrty	7
79	Inchef	7
79	xxPipperDipperxx	7
79	Arceus1975	7
79	Blu3beast	7
79	Blaiku	7
79	Druid95	7
79	AdmiralSmoke	7
90	k_ce	6
90	Paint	6
90	Tommhh	6
90	Ryan_GEMS	6
90	PegLegPete93	6
90	Studyhallsaver	6
90	1442	6
90	El_Jalapeno	6
90	Celeste_121	6
99	6king6colt6	5
99	hm947	5
99	fkGrim	5
99	MovingFish7	5
99	layabout100	5
99	pixelviolin	5
99	Kowcio_	5
99	annoyingenderman	5
99	Zoeyfortnite	5
99	WYFYoyo	5
99	JayToe	5
110	q_wq	4
110	Lukeee33	4
110	potato292	4
110	2Stout	4
110	ehunt54	4
110	BlueZabu	4
110	SlayerCrypto	4
110	CTH_98	4
110	HyperCave	4
110	Vetral1	4
110	Jimi7hits	4
110	Meatlaugh	4
110	Avocadogerms	4
110	MAns_44	4
110	FreakGenius	4
110	DarkLawD	4
110	cytotoxaint	4
110	ItsDeltaMC	4
110	yatsuta	4
110	Soplight	4
110	Enderxz3	4
110	Biites	4
132	dabloons	3
132	PazinGaming	3
132	Incinere	3
132	Malorn_Aetherius	3
132	m_be9	3
132	supernecessary	3
132	fr_ser	3
132	Felenov	3
132	Shiirazu	3
132	ADEXTV	3
132	PartyPhoenix	3
132	Typadopoulos	3
132	Burge_r	3
132	YungMaki	3
132	bitsplease	3
132	erkada	3
132	Skippeh	3
132	CattSoup	3
132	Jimb0nat0r	3
132	Teebone15	3
152	CLG_Kata	2
152	Merv__	2
152	Foof13	2
152	chimpmunker	2
152	bigstankyy	2
152	BlancoFlaco	2
152	livingdaydreams	2
152	tsohomie	2
152	Yellowpowr	2
152	ccormacs	2
152	Shadoko_	2
152	TheSecondLord	2
152	lordofthelight95	2
152	Guillemet	2
152	Cidah	2
152	Kamflame10	2
152	Gingayy	2
152	Dyosy	2
152	TableTim	2
152	Kakolbus	2
152	CaptainSteve345	2
152	Winklepicker279	2
152	Jackattack53	2
152	Chromary	2
152	Donutt	2
152	selectrix	2
152	The_Cruncy	2
152	Shavrin	2
152	Drewen24	2
152	Austinizzle	2
152	420BreadLizard	2
152	natajimi	2
152	XxCookiequeenxX	2
152	KlausVonStiglitz	2
152	the_russell1611	2
152	DASH_X7	2
152	StinkyDiplomat	2
152	Bloo2406	2
152	fluddd	2
152	TheImperial	2
152	Warlord324	2
152	ayamefag	2
152	SpacesickPrism	2
152	PlzNoBM	2
152	Hermanni__	2
152	Iamthejo	2
152	FGamerJ	2
199	Apollo_993	1
199	_stets	1
199	JohnnyMines	1
199	Yatitay	1
199	DepressedCubic	1
199	rachcl	1
199	ssleepless	1
199	Hpdinosaur	1
199	MOSS000	1
199	ITDV	1
199	H72l9w	1
199	Ssor69	1
199	Stynxy	1
199	Ozixar	1
199	cheerytomato	1
199	Crowman1	1
199	jushykins	1
199	12Magner05	1
199	MattieHD	1
199	Megarboh	1
199	ConcretePirate	1
199	excelsionprime	1
199	thescout7	1
199	Bobby808	1
199	orxngejuice	1
199	Covalents	1
199	hanaryheatwave	1
199	SamZombie	1
199	jordanchohat	1
199	andy_rex	1
199	Nyxiom_	1
199	domagawha	1
199	RobotMinion101	1
199	seramalen	1
199	Mattesco	1
199	LeGold	1
199	AlexxO_o	1
199	FearMyPetBeaver	1
199	ese_wn_po	1
199	privatemeekly	1
199	Ragnar2105	1
199	The_slideV3	1
199	Cavetorch	1
199	Yoaty	1
199	_Meow_Mix	1
199	OG_Songsee	1
199	ElectricDragon81	1
199	LordSpeed37	1
199	Sank34	1
199	bloomkieren	1
199	MineMaster0012	1
199	UCP_TheKingK	1
199	Segotep999	1
199	ediballbearings	1
199	lcvezra	1
199	Chuglyfe	1
199	UltraZombie	1
199	laron58	1
199	EngagedGrub41	1
199	Quotary	1
199	Powowowow	1
199	TechnoNinja64	1
199	trexgb	1
199	diggydog67	1
