rank	username	minecraft:crafted/minecraft:torch
1	pintsizedrogue	56876
2	joethahobo	44344
3	Smoke____	38093
4	lordpipe	35578
5	HellsSponge	29934
6	YungMaki	28164
7	EMC_	27280
8	TheShyPig	24163
9	gcaisawesome	19292
10	Skylord_Luke	19106
11	beeperbeeper5	19095
12	Werbe	14705
13	PhantomsGhost_	13928
14	Di_infiri	13772
15	Mahoose	13608
16	Merv__	13531
17	oxfordschool	13457
18	Enderslayerxz3	12308
19	PigDab	11967
20	Hyp3rion_	11856
21	m_be9	11044
22	eitanzaki	10502
23	Windo_licker	10365
24	Snowflowe	10336
25	Steelynan	10136
26	Legendosh	10124
27	Spacewardharpy7	10000
28	livingdaydreams	9902
29	Njensen7	9788
30	Jiminie	9676
31	Menthas	9659
32	PlasticOtari	9420
33	500am	9336
34	MyNameIsJobo	9267
35	EveryonesUncle	9188
36	Blackberry1310	9068
37	Skippeh	9056
38	Zaridey	8984
39	Ezekson	8972
40	Lord_Jord	8914
41	Frozil12	8624
42	Shogunite	8564
43	thewindmillman	8544
44	TheThomas69	7720
45	MightyWertu	7664
46	FishyBoy3811	7512
47	cedric72	7228
48	Inchef	7108
49	The11thDoctor	7092
50	CoffeeNoir	7056
51	Cowison	7022
52	fade_emerge78823	7020
53	thescout7	6980
54	_Dean_123	6920
55	awesomeoneme	6908
56	TheSecondLord	6852
57	Akoot_	6708
58	ApophisNova	6676
58	MyNamaSheff	6676
60	jnp_gaming	6596
61	set67	6568
62	Kakolbus	6536
63	El_Jalapeno	6516
64	KarlKaek	6396
65	PeteO1995	6224
66	TheSeismicDuck	6192
67	BobDeBouwer1337	6060
68	FallenCorps	5953
69	noam464	5933
70	Freak_Genius	5894
71	corvidpartyfor6	5724
72	Onennon	5678
73	Fullut	5656
74	Bumpy419	5460
75	Groovy_MoonBird	5356
76	Hisiste	5351
77	Barlycorn	5320
78	Soplight	5300
79	AuroraValkyrie	5296
80	r123moore	5255
81	Hermanni__	5216
82	Zythose	5164
82	wwwwinnebagoooo	5164
84	ProfessorBee	5158
85	Vetral1	5084
86	rarrq	5080
87	SaucyDark	5064
88	Xalithia	4996
89	12Magner05	4976
90	Dedalus36	4968
91	sp00ky_ghost977	4955
92	teslawolf38	4940
93	Franco093	4852
94	Arceus1975	4792
95	TheDankPlatypus	4780
96	Xclax101	4754
97	mwrty	4700
98	Euclidoris	4656
99	kekhon	4632
100	Eraxa	4616
101	Miko_Fullbuster	4610
102	_Karmaa	4603
103	T045RTY	4496
104	TechnoNinja64	4436
105	eiC_	4424
106	wezzzi	4408
107	NameGenerat0r	4366
108	Jovaphobic	4320
109	NomadicRobin_	4312
110	SpaceGrenadier	4288
111	burbankbuilder28	4244
112	Inbefour	4208
113	DarlaMeow	4116
114	Malorn_Aetherius	4092
115	Awyrlas	4020
116	djancak	4008
117	6king6colt6	3876
118	DTwenty	3820
119	Rumpletaezer	3756
120	Hoid_the_Roamer	3744
121	anbbang	3682
122	jacxhadow	3592
123	censorsheep	3568
124	xxPipperDipperxx	3552
125	shrimp_flips	3516
126	PlzNoBM	3508
127	Historical_Sand	3448
127	Kouridragon	3448
129	EcksDofficial	3428
130	RebelAndroid	3392
131	Jackattack53	3390
132	fffMike	3386
133	RedcatVII	3374
134	starbits140	3373
135	eviltunix	3360
135	MilleGrug	3360
137	00000000-0000-0000-0009-01ff0c3e5e4f	3356
138	__tomato	3232
139	Sral7	3088
140	ROY4LE	3075
141	JESS_THE_RERE	2980
142	SuperPooch06	2966
143	intropass	2964
144	Blu3beast	2936
145	DanTheBuilderino	2920
146	SammiWolfGirl	2857
147	picardred	2820
148	bloomkieren	2804
149	Logain42	2800
150	IdeallyGrey	2792
151	masskedman	2778
152	XxCookiequeenxX	2720
153	theonlymagikarp	2710
154	EcksD	2708
155	Jimi7hits	2704
155	IAmTheWalrus910	2704
157	ImpavidArcher	2639
158	Sky_light_KING	2628
159	DemTechAlpha	2596
160	Spenduh	2560
161	NotMeowMix	2552
162	Deathkob	2548
163	BlancoFlaco	2544
164	crying_wolf_13	2536
165	Blaiku	2496
166	Racengan	2492
167	DarkS0L	2488
168	obzii	2464
169	XboxPanda	2452
170	Typadopoulos	2428
171	Mewar	2396
172	RatatJuice	2376
173	TheBiggestFeller	2344
174	Kubelz	2342
175	smogfrog	2321
176	Maenara	2302
177	Razzgriz	2296
178	jewbacaman	2292
179	Jackster03	2260
180	CharlieButt	2204
180	Winston_Ingram	2204
182	BumbleBeever	2176
183	Megarboh	2168
184	Factoroni	2166
185	KingMatthew506	2162
186	Ecplosive	2152
186	ClemenPine	2152
188	loveseeker	2148
189	Comma__	2130
190	Chromary	2124
191	07shiny	2092
191	amkold	2092
193	emrekn	2071
194	claivin	2028
195	RadarHz	2012
196	GravitySaint	1984
197	TooManyDuck	1972
198	MissCeleste7	1968
199	Sheldor097	1958
200	301851	1956
200	Rainaldus	1956
202	lizardfightclub	1942
203	Fildyr	1940
204	SingedBread	1928
205	NYJ	1923
206	Groundler	1896
207	Paint	1876
208	fkGrim	1864
209	Bandito_Roamer	1860
209	CollinMH06	1860
211	MakeHistory157	1856
212	lillips	1840
213	_8man	1836
214	Flores991	1828
215	RefluxRatio	1816
216	MelodyGaysharks	1808
217	H72l9w	1796
217	Quaintster	1796
219	MyNameIsDakar	1784
220	h2p_emrld	1776
221	SeverianTheLame	1768
221	audiocracked	1768
221	Quotary	1768
224	ExtraDumb	1752
225	_Bguette_	1740
226	Meatlaugh	1710
227	G1ldor	1704
227	hcb238	1704
227	SwooshBoi	1704
230	Winklepicker279	1700
231	bloodbiter	1692
232	Quincannon	1688
233	FelixPSY375	1684
234	Hyugo	1680
235	_Virify_	1676
236	ooga47	1672
237	Lutres_Torane	1660
238	MovingFish7	1656
239	jushykins	1652
240	Alteriity	1636
241	wobn	1632
242	stellarjay	1628
243	benediktine1	1624
244	titanlax	1612
244	ProfessorDiaper	1612
246	brycepants	1604
247	ivorico	1600
248	ayamefag	1596
