rank	username	minecraft:crafted/minecraft:mud_brick_slab
1	EMC_	1152
2	doublemaki	756
3	Mr_Byzantine	676
4	Manaateee	522
5	Yamdalorian	204
6	_Huge_Male_	140
7	Iamthejo	132
8	TheWickedBird	126
9	k_ce	124
10	luseis	120
11	Merv__	78
11	wwwwinnebagoooo	78
13	GooseWithin	48
14	12Magner05	44
15	Lez_	42
16	Roenfire	36
16	thewindmillman	36
18	Steelynan	30
19	Dakar_	18
20	skroobiez	12
20	Kowcio_	12
22	XxCookiequeenxX	8
23	Soplight	6
24	pixelviolin	4
25	TheSecondLord	2
25	Juansinmiedo18	2
25	Jimb0nat0r	2
