rank	username	minecraft:crafted/minecraft:chainmail_leggings
1	beeperbeeper5	48
2	Drlzyy	24
2	diamondgolem35	24
2	joethahobo	24
2	Skylord_Luke	24
2	HellsSponge	24
7	bloodbiter	23
8	TheShyPig	13
9	Gundam_Steven	12
9	eitanzaki	12
9	Werbe	12
9	Dan_Scha	12
9	Soplight	12
14	Enderslayerxz3	10
15	YungMaki	9
16	JESS_THE_RERE	5
17	WeebleSock	4
18	Dedalus36	3
18	himak1	3
20	pintsizedrogue	2
20	xxPipperDipperxx	2
20	LunarRedPanda	2
20	Hyp3rion_	2
20	NameGenerat0r	2
20	censorsheep	2
26	Bandito_Roamer	1
26	Sleek_Storm_721	1
26	RebelAndroid	1
26	ivorico	1
26	H72l9w	1
26	Blackberry1310	1
26	BobDeBouwer1337	1
26	G1ldor	1
26	ROY4LE	1
26	noam464	1
26	Karetoko	1
26	Arceus1975	1
26	Akoot_	1
26	wezzzi	1
26	Gryglu583	1
26	MangoSalad316	1
26	GravitySaint	1
26	jologsimp	1
26	EcksDofficial	1
26	Smoke____	1
26	h2p_emrld	1
26	diggydog67	1
