rank	username	minecraft:crafted/minecraft:acacia_boat
1	beeperbeeper5	96
2	Smoke____	95
3	Groovy_MoonBird	83
4	Blu3beast	60
5	youhjjhhhjj	51
6	FelixPSY375	27
7	eitanzaki	26
8	Werbe	25
9	Euclidoris	21
9	Snowflowe	21
11	YungMaki	20
12	Blackberry1310	19
12	ThisUserIsStump	19
14	500am	17
15	Frozil20	14
16	King_Pancake1	13
17	NameGenerat0r	12
17	h2p_emrld	12
19	lillips	11
19	EcksD	11
21	Vizzoid	8
21	TheSecondLord	8
21	Meatlaugh	8
24	pintsizedrogue	6
24	KarlKaek	6
24	joethahobo	6
24	mariominejedi	6
24	Groundler	6
24	Vellu21	6
30	lilsay	5
30	legal_tax_evader	5
30	Jackattack53	5
30	lordpipe	5
30	starbits140	5
30	Enderxz3	5
30	xolstoi	5
37	Apollo_993	4
37	Franco093	4
37	Mahoose	4
37	SDMNAEK	4
37	jushykins	4
37	the__Reaper4999	4
37	IAmTheWalrus910	4
37	Sral7	4
45	SmashingPump	3
45	Merv__	3
45	Rorrofighter	3
45	blockgamer_69	3
45	thescout7	3
45	SuperPooch06	3
45	Bumpy419	3
45	MustardDrinker	3
45	aa2x_	3
45	yulgur1	3
45	HellsSponge	3
45	Quaintster	3
45	MS_Pryxx	3
45	ElKaySVK	3
45	Soul_Atreus	3
45	underscore_2	3
45	Soplight	3
45	Soffbord	3
45	KingMatthew506	3
45	SpaceTurtleOX	3
45	Powowowow	3
66	PhantomsGhost_	2
66	diamondgolem35	2
66	ImpavidArcher	2
66	RebelAndroid	2
66	Jackster03	2
66	nocturne78	2
66	rarrq	2
66	o0z	2
66	kekhon	2
66	Scathra	2
66	Irko	2
66	ROY4LE	2
66	Touched_Bread	2
66	noam464	2
66	CranialBlowout	2
66	Hiryu27	2
66	Onennon	2
66	Mattesco	2
66	TheShyPig	2
66	Lord_Zacler	2
66	Jiminbub	2
66	Deodorante	2
66	C0oOK13M0N5T3R	2
66	Barlycorn	2
66	Hisiste	2
66	SUN_DREAM	2
66	_Ruzeeq_	2
66	AssFullaCum	2
66	c0la_c0ca	2
66	Dreamdbr14	2
66	Steelynan	2
66	MirielThePastor	2
98	Bandito_Roamer	1
98	Froste131	1
98	Tommhh	1
98	xXTheWolfmanXx	1
98	Zippyzam	1
98	Wooptey	1
98	Barjas	1
98	Arteriana	1
98	Lez_	1
98	dopplexd	1
98	Malorn_Aetherius	1
98	Rich_Kat	1
98	Leksanda	1
98	ProfessorBee	1
98	rpmm	1
98	Fullut	1
98	MeowMeowMcmuffin	1
98	Kamflame10	1
98	set67	1
98	lorpus	1
98	Mercurius_III	1
98	r123moore	1
98	KingEgg1	1
98	thebluehippo	1
98	CollinMH06	1
98	Marbz_	1
98	Di_infiri	1
98	AJplaysMC_	1
98	AnnieBathory	1
98	Prayingninja	1
98	Kynigito	1
98	ougstur	1
98	Leyna3	1
98	Akoot_	1
98	Wowful	1
98	TheSeismicDuck	1
98	XxCookiequeenxX	1
98	Russiancat1	1
98	Deathkob	1
98	Mweems	1
98	godipose	1
98	_Karmaa	1
98	Procubed	1
98	ReflexCode	1
98	FreakGenius	1
98	censorsheep	1
98	560cool	1
98	ProfessorDiaper	1
98	Warlord324	1
98	Dusk_95	1
98	geekbird	1
98	CornOnTheCobalt	1
98	csendeslol	1
98	Tibbby	1
98	WytchKraft	1
98	SvenskaHugo	1
98	UCP_TheKingK	1
98	gusstationwerker	1
98	PortlyPete69	1
98	Moetis	1
98	Logain42	1
98	Drawgirl	1
98	Ir0npack	1
98	DennyKai	1
98	xX_Stalin69_Xx	1
98	Devouching	1
98	tartanboy	1
98	Ezekson	1
98	ConnorDanky_	1
98	PlasticOtari	1
98	MasterOwen1	1
98	Goat_Man512	1
98	diggydog67	1
