rank	username	minecraft:crafted/minecraft:acacia_hanging_sign
1	Mattesco	72
2	Werbe	18
3	pintsizedrogue	12
3	knuxify	12
5	lumiscosity	6
5	luseis	6
5	pixelviolin	6
5	MrShojo	6
