rank	username	minecraft:crafted/minecraft:fishing_rod
1	EcksD	360
2	pintsizedrogue	285
3	Yamdalorian	101
4	MyNameIsJobo	97
5	Hyp3rion_	94
6	TheSecondLord	91
7	Jackattack53	90
8	beeperbeeper5	82
9	Fullut	58
10	Lez_	53
11	Blackberry1310	46
12	Jimb0nat0r	38
13	luseis	35
13	YungMaki	35
15	k_ce	34
15	rarrq	34
15	Fildyr	34
18	Eczbek	33
19	Blaiku	32
20	oscminus	30
21	teslawolf38	29
22	Krowuss	28
23	kekhon	27
24	Werbe	25
24	WyngGoy	25
26	TheKingK_	24
27	thewindmillman	22
28	yheece	21
29	Enderxz3	20
30	RebelAndroid	19
30	mwrty	19
32	Segotep999	15
33	Covalents	14
33	Arceus1975	14
33	ScootOfBoot	14
33	MustaLoordi	14
37	PhantomsGhost_	13
37	500am	13
37	PigDab	13
37	NYJ	13
37	Blu3beast	13
37	fluddd	13
37	lordpipe	13
37	LordSpeed37	13
37	starbits140	13
37	Skippeh	13
47	Huwulling	12
47	Mahoose	12
47	xxPipperDipperxx	12
50	ECstardust	11
50	FirsTimeGamingTV	11
50	Charmyboi	11
50	RobotMinion101	11
50	HellsSponge	11
55	Voxin2K	10
55	Akoot_	10
57	Mr_Byzantine	9
57	SmashingPump	9
57	Noah_Bez	9
57	CharlieButt	9
61	jushykins	8
61	Blazebit	8
61	Mewar	8
61	Snowflowe	8
61	Boipl	8
61	Bumpy419	8
61	Soul_Atreus	8
61	Kowcio_	8
61	Ezekson	8
61	PlasticOtari	8
71	Firecracker320	7
71	eitanzaki	7
71	Chromary	7
71	wezzzi	7
71	Inbefour	7
71	censorsheep	7
71	Hisiste	7
71	Soplight	7
71	Luigipunch989	7
71	hermmm_	7
81	Groovy_MoonBird	6
81	jerrypeter472	6
81	PazinGaming	6
81	Merv__	6
81	DepressedCubic	6
81	Furiuosbeast0404	6
81	joethahobo	6
81	Vizzoid	6
81	Euclidoris	6
81	12Magner05	6
81	MinttyFressh	6
81	MattieHD	6
81	Kamflame	6
81	r123moore	6
81	eiC_	6
81	Hahaa_0	6
81	AstreaTSS	6
81	DASH_X7	6
81	wwwwinnebagoooo	6
100	Cowison	5
100	Hyugo	5
100	Malorn_Aetherius	5
100	Crowman1	5
100	CliffEmAll	5
100	jacxhadow	5
100	Nicky_H225	5
100	Tiberonus	5
100	slkiey	5
100	Smashic	5
100	Irko	5
100	Paintz	5
100	Hoid_the_Roamer	5
100	rotten_mango	5
100	balin55	5
100	SwooshBoi	5
100	Xclax101	5
100	Barlycorn	5
100	monky_irl	5
100	SvenskaHugo	5
100	Kyrum2169	5
100	miramyu	5
100	Njensen7	5
100	TheOnlyRake	5
100	JayToe	5
125	_Virify_	4
125	Gregward_Smith	4
125	301851	4
125	excelsionprime	4
125	SellyZ	4
125	crashomon	4
125	Rumpletaezer	4
125	Captain_Nasty	4
125	1442	4
125	GravitySaint	4
125	Airem_Core	4
125	geekbird	4
125	MakeHistory157	4
125	Razzgriz	4
125	StarCookiees_	4
125	djancak	4
125	Steelynan	4
125	Kubeusz2010	4
125	HesDemonPants	4
125	Powowowow	4
125	00000000-0000-0000-0009-01ff0c3e5e4f	4
146	Froste131	3
146	dudcreeper	3
146	Lotheburgh	3
146	FujiBS	3
146	Minehrider	3
146	ImpavidArcher	3
146	remgrandt	3
146	Wooptey	3
146	livingdaydreams	3
146	T045RTY	3
146	heckface	3
146	Ozixar	3
146	Prodiginus	3
146	NieToksikpl	3
146	ratglock	3
146	Cryptacity	3
146	Comma__	3
146	bloodbiter	3
146	Awyrlas	3
146	himak1	3
146	ROY4LE	3
146	noam464	3
146	Kakolbus	3
146	ImDisconnected_	3
146	CollinMH06	3
146	Di_infiri	3
146	whoaluv	3
146	Nyxiom_	3
146	domagawha	3
146	Skylord_Luke	3
146	TheShyPig	3
146	FishyBoy3811	3
146	TheSeismicDuck	3
146	audiocracked	3
146	master9067	3
146	emreknugrlu	3
146	NameGenerat0r	3
146	claivin	3
146	ReflexCode	3
146	FlashMigma	3
146	Warlord324	3
146	Eraxa	3
146	_TCARREIRA_	3
146	fffMike	3
146	Nicserso	3
146	Legendosh	3
146	Yahrto	3
193	Apollo_993	2
193	123louis456	2
193	SlowMoNinja1994	2
193	KarlKaek	2
193	Iagoku	2
193	_Razaria	2
193	SyntheticSurgeon	2
193	CoffeeNoir	2
193	Julmish	2
193	MSK__	2
193	NanoShot	2
193	Stynxy	2
193	Frxnkz	2
193	Saucepeh	2
193	SnowyAvi	2
193	GingerNeutron	2
193	Secret_Canary	2
193	SteveCraftBlocks	2
193	_Dean_123	2
193	TheDiamondCG	2
193	i2f8x4h8ro	2
193	Nach0Bear	2
193	thescout7	2
193	LeauVox4921	2
193	SharpDev	2
193	RustyKedel	2
193	obzkon	2
193	JitteryJared2	2
193	Silvo614	2
193	pappaberg	2
193	SvenskaSara	2
193	tobinwilliams	2
193	Donutt	2
193	RebytreGT	2
193	Jekyll	2
193	ApophisNova	2
193	The11thDoctor	2
193	ooga47	2
193	Kouridragon	2
193	Kynigito	2
193	CaptainAvenger7	2
193	PaperCanvas	2
193	zToasty69z	2
193	NormanFetus	2
193	lizardfightclub	2
193	TragicHero27	2
193	Rasmanden	2
193	True_Clipse	2
193	NomadicRobin_	2
193	rylikesrawtoast	2
193	jambvds	2
193	Toiton	2
193	Tyrannosplart	2
193	DemTechAlpha	2
193	JESS_THE_RERE	2
193	Manaateee	2
193	Quincannon	2
193	DanTheBuilderino	2
193	FreakGenius	2
193	Travka100	2
193	Groundler	2
193	Racengan	2
193	Typadopoulos	2
193	ComplexSquirrel	2
193	MovingFish7	2
193	AvaRosey	2
193	Cocoamallows	2
193	Kura2218	2
193	ayamefag	2
193	pixelviolin	2
193	Celeste_121	2
193	HAruSAme14	2
193	Dogcorn69420	2
193	monolu	2
193	TheOuterCore	2
193	HuangMeiHua	2
193	ConnorDanky_	2
193	Quotary	2
193	MyNamaSheff	2
193	FelixPSY375	2
193	MrMeisterProper	2
193	jnp_gaming	2
