rank	username	minecraft:crafted/minecraft:polished_blackstone_slab
1	PigDab	4896
2	Smoke____	1708
3	Winston_Ingram	756
4	CliffEmAll	558
5	PlasticOtari	482
6	6king6colt6	380
7	noam464	330
7	YoshikageBites	330
9	Hyp3rion_	288
10	Ze_BaronKrigler	278
11	lizardfightclub	252
12	Eraxa	240
13	FishyBoy3811	198
14	jnp_gaming	192
15	Cowison	162
16	Rebytre	150
17	Deathkob	146
18	Billious	144
19	Werbe	128
20	Mattesco	126
20	Shogunite	126
20	MAns_44	126
20	Decaying_Lotus	126
24	Menthas	120
25	pintsizedrogue	116
26	Legendosh	110
27	set67	102
28	Soplight	92
29	XboxPanda	72
29	lillips	72
31	Optiprimus	66
32	joethahobo	60
32	BobDeBouwer1337	60
32	Spacewardharpy7	60
35	EveryonesUncle	48
35	djancak	48
37	King_Pancake1	42
38	Snowflowe	36
39	Lutres_Torane	34
40	Blackberry1310	32
41	_NieToksikpl_	30
41	ImpavidArcher	30
43	Awyrlas	24
44	HellsSponge	20
45	teslawolf38	12
45	NinjaKnifeKill	12
45	Mahoose	12
45	Chromary	12
49	Freak_Genius	8
50	TheSecondLord	6
50	Fullut	6
50	mwrty	6
50	Solar_Power	6
50	NameGenerat0r	6
50	Kubeusz2010	6
56	EcksD	4
57	jacxhadow	2
57	ApophisNova	2
57	MyNamaSheff	2
