rank	username	minecraft:crafted/minecraft:chiseled_bookshelf
1	Lez_	1882
2	oscminus	129
3	k_ce	50
4	Steelynan	46
5	Merv__	42
6	MattieHD	30
7	Reneedium	27
8	pixelviolin	26
9	Enderxz3	11
9	MadmanRaven	11
11	Secret_Canary	8
12	StarCookiees_	7
13	gabukun_	6
14	luseis	5
15	PazinGaming	3
15	Alteriity	3
15	Samificator	3
15	Hahaa_0	3
15	FormulaNewt3627	3
15	xolstoi	3
21	Zee_zey	2
21	Napoleonpancake	2
21	ECstardust	2
21	beeperbeeper5	2
21	ElectricDragon81	2
21	Jimb0nat0r	2
27	pintsizedrogue	1
27	Mr_Byzantine	1
27	SOA1RR	1
27	noam464	1
27	WET_WET_WET	1
27	Kowcio_	1
