rank	username	minecraft:crafted/minecraft:polished_blackstone_brick_slab
1	mwrty	12298
2	luseis	7096
3	Winklepicker279	6611
4	12Magner05	5803
5	Huwulling	2294
6	SkateboardR6	2042
7	Racengan	1926
8	Jackattack53	1631
9	noam464	1554
10	Mattesco	1304
11	ITDV	1226
12	Fullut	1088
13	himak1	1062
14	Werbe	948
15	Legendosh	672
16	PigDab	636
17	6king6colt6	618
18	burbankbuilder28	528
19	Hyp3rion_	448
20	Eraxa	426
21	Di_infiri	384
22	chipklip	372
23	beeperbeeper5	352
24	Spacewardharpy7	318
25	Decaying_Lotus	246
26	MyNameIsDakar	216
27	pintsizedrogue	206
28	FreakGenius	196
29	Awyrlas	188
29	Deathkob	188
31	_Boipl_	186
32	set67	174
32	lorpus	174
34	djancak	162
35	ImpavidArcher	156
36	Shogunite	144
37	eitanzaki	138
38	drunkeeez	114
39	iSammael	108
40	Blackberry1310	105
41	PortlyPete69	102
42	RebelAndroid	88
43	EcksD	84
44	Elastiq	78
45	SpacesickPrism	64
45	00000000-0000-0000-0009-01ff0c3e5e4f	64
47	KarlKaek	60
48	Kubeusz2010	54
49	MAns_44	48
50	xxPipperDipperxx	46
51	HellsSponge	44
52	TheSecondLord	42
53	teslawolf38	36
53	joethahobo	36
55	Yatitay	30
55	CliffEmAll	30
55	thewindmillman	30
55	EveryonesUncle	30
55	DanTheBuilderino	30
60	rarrq	24
60	Rebytre	24
62	MinttyFressh	16
63	Mahoose	12
63	Lez_	12
63	Crowman1	12
63	BobDeBouwer1337	12
63	breadbowlgamer	12
68	corpsecity	10
68	Solar_Power	10
70	JitteryJared2	8
71	Myszoaz	6
71	r123moore	6
71	Touched_Bread	6
71	Zythose	6
71	ApophisNova	6
71	TheTommyGun63	6
71	Razzgriz	6
71	Eon_57	6
71	YungMaki	6
71	Ezekson	6
71	MyNamaSheff	6
71	Smoke____	6
83	jacxhadow	2
83	ooga47	2
83	Kowcio_	2
83	UCP_TheKingK	2
83	Soplight	2
