rank	username	minecraft:crafted/minecraft:warped_fence
1	thewindmillman	1098
2	rarrq	588
3	Apollo_993	297
4	RoofTyler	288
5	Lutres_Torane	249
6	Hyp3rion_	171
7	Hoid_the_Roamer	153
8	beeperbeeper5	150
9	lillips	144
10	teslawolf38	138
11	TheSecondLord	132
12	Fullut	129
13	Mr_Byzantine	72
14	PegLegPete93	66
15	Moofyman	60
15	YungMaki	60
17	Eraxa	57
18	pintsizedrogue	54
19	Alteriity	51
19	Arceus1975	51
19	PortlyPete69	51
22	Mattesco	45
23	SpacesickPrism	39
24	12Magner05	36
25	MyNameIsDakar	33
26	Kowcio_	27
27	FreakGenius	24
28	CalebDHawk	18
29	Smoke____	15
30	Lez_	12
31	Optiprimus	9
31	Legendosh	9
31	00000000-0000-0000-0009-01ff0c3e5e4f	9
34	HellsSponge	8
35	KarlKaek	6
35	CoffeeNoir	6
35	BobDeBouwer1337	6
35	Awyrlas	6
35	gcaisawesome	6
35	WET_WET_WET	6
35	Lord_Jord	6
35	Luigipunch989	6
43	Merv__	3
43	_Razaria	3
43	Mahoose	3
43	CliffEmAll	3
43	Ardennes	3
43	Marbz_	3
43	ZA07	3
43	Spacewardharpy7	3
43	Ezekson	3
43	FishisTTV	3
