rank	username	minecraft:crafted/minecraft:dark_oak_planks
1	Hyp3rion_	597885
2	joethahobo	97347
3	HellsSponge	65387
4	beeperbeeper5	54352
5	Lez_	52593
6	pixelviolin	51860
7	500am	47414
8	Mattesco	40432
9	Frozil20	39667
10	burbankbuilder28	33499
11	NameGenerat0r	33310
12	rarrq	29470
13	luseis	29427
14	Werbe	27246
15	gcaisawesome	26283
16	Elastiq	25694
17	catandmoose	24912
18	hanaryheatwave	23948
19	m_be9	23271
20	thewindmillman	21804
21	Manaateee	21188
22	EMC_	20928
23	Galactic_Badger	20736
24	Merv__	20426
25	CattSoup	19657
26	Spacewardharpy7	18788
27	Kakolbus	18504
28	EveryonesUncle	18482
29	Kowcio_	17964
30	Mahoose	17460
31	TheSecondLord	17220
32	RebelAndroid	16160
33	Ezekson	16078
34	Hiryu27	15400
35	PigDab	15162
36	TheShyPig	15060
37	lorywithay	14881
38	Hisiste	14784
39	Jackattack53	14592
40	Zythose	14219
41	teslawolf38	14160
42	Lord_Jord	13856
43	TheDankPlatypus	13238
44	Euclidoris	13232
45	Groovy_MoonBird	13228
46	ImpavidArcher	13225
47	pintsizedrogue	13156
48	Skippeh	12726
49	Inbefour	12628
50	Touched_Bread	12500
51	Archsam	12488
52	Blackberry1310	12432
53	Darkgon	12300
54	El_Jalapeno	12232
55	PlasticOtari	12092
56	MyNameIsJobo	11350
57	xzvu	11174
58	CollinMH06	11160
59	kekhon	10824
60	Fullut	10812
61	Yamdalorian	10680
62	xxPipperDipperxx	10476
63	Nicky_H225	10446
64	Alteriity	10260
65	Russiancat1	10034
66	r123moore	9921
67	Legendosh	9920
68	Soplight	9781
69	Di_infiri	9720
70	PazinGaming	9271
71	Paintz	8874
72	Awyrlas	8693
73	k_ce	8563
74	M_Patata	8504
75	CharlieButt	8204
76	jnp_gaming	8100
77	ROY4LE	8037
78	miramyu	7684
79	Krowuss	7644
80	YungMaki	7612
81	MasterNueve	7604
82	tsitrawhy	7600
83	skitzxo	7576
84	Historical_Sand	7554
85	EcksD	7304
86	ConnorDanky_	7264
87	fragrantmonke444	7063
88	fffMike	6832
89	Kubeusz2010	6640
90	Druid95	6537
91	audiocracked	6461
92	12Magner05	6372
93	diamondgolem35	6208
94	NieToksikpl	6192
95	wezzzi	6144
96	Winklepicker279	6072
97	U_Mos_	6036
98	crashomon	6008
99	_Huge_Male_	5914
100	Snowflowe	5908
101	__tomato	5876
102	FishyBoy3811	5836
103	Enderxz3	5832
104	MustaLoordi	5804
105	jacxhadow	5760
106	NomadicRobin_	5634
107	Skylord_Luke	5576
108	selectrix	5492
109	fluddd	5473
110	Huwulling	5340
111	eitanzaki	5328
112	MightyWertu	5316
113	Eraxa	5236
114	hermmm_	5224
115	RoskobiOne	5194
116	yulgur1	5172
117	Sorry_Arey	5132
117	Racengan	5132
119	MAns_44	5088
120	TheBananaKat	5056
121	SvenskaHugo	5048
122	groofles	4888
123	AngalexikCZ	4870
124	Onennon	4796
125	TheWickedBird	4772
126	Barlycorn	4756
127	Blu3beast	4712
127	SammiWolfGirl	4712
129	censorsheep	4696
130	FirsTimeGamingTV	4672
131	Ssor69	4664
132	Hoid_the_Roamer	4660
133	Tobinator_007	4612
134	SaucyDark	4600
135	XxCookiequeenxX	4596
136	IamCL4SSY	4476
137	KarlKaek	4432
138	thescout7	4318
139	AnnieBathory	4292
140	set67	4179
141	PortlyPete69	4154
142	Inchef	4130
143	Smashic	4107
144	Mr_Byzantine	4036
145	eviltunix	4028
145	Njensen7	4028
147	SpacesickPrism	4014
148	Sheldor097	3984
149	T045RTY	3848
150	djancak	3821
151	6king6colt6	3784
152	Xclax101	3708
153	blackeemperor	3684
154	AlphaWolfPlaysMC	3656
155	Cowison	3623
156	oscminus	3600
156	_TCARREIRA_	3600
158	Sral7	3596
159	Incinere	3541
160	Biites	3532
161	ZoomieZoomie	3460
162	Saucepeh	3456
163	Deguns123	3444
164	2Stout	3416
164	Spenduh	3416
166	RobotMinion101	3404
167	h2p_emrld	3392
168	bigstankyy	3378
169	livingdaydreams	3304
170	Reneedium	3296
171	Jij0	3280
172	seramalen	3214
173	Dakar_	3212
174	Cortexia	3188
175	Shogunite	3180
176	Kyrum2169	3136
177	MakeHistory157	3108
178	GingerNeutron	3106
179	Steelynan	3079
180	RatatJuice	3056
181	benediktine1	3039
182	_Karmaa	2988
183	prizm_	2956
184	FreakGenius	2938
185	Jovaphobic	2928
186	Napoleonpancake	2926
187	emreknugrlu	2920
188	Stiar	2899
189	BronkerBrum	2888
190	XboxPanda	2872
191	Notta	2852
192	Hyugo	2768
193	Optiprimus	2752
194	SkateboardR6	2722
195	EdGalbraith	2720
196	Gregward_Smith	2696
197	KingMatthew506	2664
198	ProfessorBee	2658
199	TheOnlyRake	2636
200	Jakobo1337	2628
200	parodypatient	2628
202	Motsaro	2568
203	hcb238	2560
204	Leyna3	2553
205	Gzrdy	2552
206	Wowful	2528
207	hollowww	2524
207	lordpipe	2524
209	Natty	2516
210	AlexxO_o	2484
211	AuroraValkyrie	2468
211	tobinwilliams	2468
213	TheKingK_	2460
214	_Razaria	2416
214	CalebDHawk	2416
216	SmashingPump	2396
217	fkGrim	2376
218	dudcreeper	2344
218	Ryan_GEMS	2344
220	ayamefag	2304
221	yheece	2300
222	Maenara	2292
223	LeeMcGee30	2276
224	VentiHilton	2273
225	SuperPooch06	2236
226	MilleGrug	2216
227	Nicserso	2204
228	NormanFetus	2196
229	corvidpartyfor6	2184
230	Nach0Bear	2176
231	The_slideV3	2172
232	Chromary	2144
233	iSammael	2124
234	ThePoliteG	2077
235	Bandito_Roamer	2076
235	emrekn	2076
237	WYFYoyo	2072
238	noam464	2068
238	Akoot_	2068
240	LeauVox4921	2052
241	SingedBread	2020
242	SellyZ	2008
243	_i_ERROR_i_	1989
244	_Nuf	1986
245	Felenov	1984
246	fade_emerge78823	1980
247	olliebollie48	1968
248	ApophisNova	1956
248	MyNamaSheff	1956
250	Deathkob	1936
251	Lutres_	1908
252	H0UNDFRMH3LL	1900
253	ItzYaBoiPicard	1888
253	Nekomin0	1888
255	paranoid_plant	1840
256	Bumpy419	1836
257	2blox_	1832
258	Tyrannosplart	1800
258	Airem_Core	1800
260	theofiel	1792
261	Pumpkin_P_Patch	1788
262	intropass	1786
263	NinjaKnifeKill	1776
264	JETrotter	1775
265	NoxxxxiS	1772
265	Ecplosive	1772
267	Yatitay	1768
268	CliffEmAll	1752
269	Tiberonus	1704
270	TowenPL	1678
271	smogfrog	1676
272	Prismyst	1656
273	pretty_pink_reno	1650
274	KeruNatsema	1640
275	KlausVonStiglitz	1604
275	Warlord324	1604
277	avalan64	1584
278	BlankityMcBlank	1576
279	The_Fulgurator	1548
280	StinkyDiplomat	1540
281	Groundler	1524
282	mimbo1211	1520
283	CheifJumbo	1512
284	titanlax	1496
285	brycepants	1492
286	Karetoko	1472
287	DTwenty	1452
288	Toriankel	1432
289	taengoos	1430
290	Meatlaugh	1420
291	RebytreGT	1416
292	Olib3ar	1404
293	Noah_Bez	1396
294	Sleek_Storm_721	1376
295	Y_A_N_N_I	1370
296	carpet4_69	1368
297	StarCookiees_	1367
298	Scathra	1357
299	bl1ss0	1316
300	Hahaa_0	1312
