rank	username	minecraft:crafted/minecraft:mangrove_stairs
1	hanaryheatwave	368
2	Steelynan	340
3	Mr_Byzantine	184
4	Touched_Bread	172
4	Jimb0nat0r	172
6	k_ce	168
7	Mattesco	136
8	Merv__	64
9	Enderxz3	56
10	Lez_	48
11	Werbe	40
12	pintsizedrogue	32
12	ECstardust	32
14	Soplight	28
15	beeperbeeper5	24
15	SvenskaHugo	24
17	bearlystraight	20
17	luseis	20
17	AdmiralSmoke	20
20	oscminus	12
20	CarryLine	12
20	Nicserso	12
20	Legendosh	12
24	Mahoose	8
24	Sleepy_Time_	8
24	TheSecondLord	8
24	12Magner05	8
28	Manaateee	4
28	pixelviolin	4
28	Kowcio_	4
28	CalebDHawk	4
28	00000000-0000-0000-0009-01fc3bb26159	4
