rank	username	minecraft:crafted/minecraft:warped_fence_gate
1	thewindmillman	5994
2	noam464	3673
3	joethahobo	3536
4	EcksD	3289
5	Di_infiri	976
6	12Magner05	871
7	Snowflowe	814
8	Lutres_	449
9	Arceus1975	399
10	Jackattack53	230
11	Hyp3rion_	182
12	mihimihimihi	69
13	Apollo_993	55
14	Caribouse	54
15	rarrq	43
16	PigDab	42
17	Alteriity	36
18	philandr	24
19	Legendosh	23
20	Spacewardharpy7	22
21	Rebytre	20
22	hermmm_	19
23	beeperbeeper5	18
23	TheSecondLord	18
25	craaaash	16
26	EngagedGrub41	13
27	teslawolf38	12
27	diamondgolem35	12
27	FreakGenius	12
27	Kowcio_	12
31	pintsizedrogue	10
32	Krowuss	9
33	PegLegPete93	8
33	Xalithia	8
35	Mr_Byzantine	6
35	Manaateee	6
35	HellsSponge	6
35	PlasticOtari	6
39	Yamdalorian	5
40	FishyBoy3811	3
40	pixelviolin	3
40	doublemaki	3
43	Merv__	2
43	MyMawgDonaldsGon	2
43	ShedJr_	2
43	MSK__	2
43	Mattesco	2
43	IlkeCookes_	2
43	Eraxa	2
43	robonya_	2
43	Enderxz3	2
43	00000000-0000-0000-0009-01ff0c3e5e4f	2
53	IgnoredBee	1
53	Fullut	1
53	HolyVenom	1
53	PortlyPete69	1
