rank	username	minecraft:crafted/minecraft:wooden_axe
1	eitanzaki	104
2	Jackattack53	45
3	AdmiralSmoke	33
4	teslawolf38	28
5	TheSecondLord	16
6	E775	11
6	xolstoi	11
8	Smashic	9
8	ConnorDanky_	9
10	LordSpeed37	8
10	smogfrog	8
12	M_Patata	7
12	Lord_Jord	7
12	Avocadogerms	7
12	QueenShuvi	7
12	MasterNueve	7
12	PlzNoBM	7
18	BlancoFlaco	6
19	pintsizedrogue	5
19	hm947	5
19	Crasswolf	5
19	Cattoh	5
19	FreakGenius	5
19	Racengan	5
19	Goat_Man512	5
26	titanlax	4
26	Armattillo	4
26	Zythose	4
26	Mattesco	4
26	Akoot_	4
26	aldplaysmc	4
26	OPTOMA_KING	4
26	Eraxa	4
26	CassiusDio	4
26	Celeste_121	4
36	Mr_Byzantine	3
36	ImpavidArcher	3
36	Franco093	3
36	FirsTimeGamingTV	3
36	DarkFisto	3
36	thescout7	3
36	Robby_Cream	3
36	2Stout	3
36	xFaiithyX	3
36	Di_infiri	3
36	SvenskaSara	3
36	Felenov	3
36	bee_gorl	3
36	ese_wn_po	3
36	fluddd	3
36	SkateboardR6	3
36	ItsJWolff	3
36	Factoroni	3
36	voiding_	3
36	h2p_emrld	3
56	jbow022	2
56	bur1su	2
56	Froste131	2
56	_stets	2
56	PizzaJake	2
56	not_a_duck_23	2
56	gren_ben	2
56	Slinkyy7071	2
56	La_Conne	2
56	Seyaboy	2
56	lotarp	2
56	Lez_	2
56	joethahobo	2
56	IgnoredBee	2
56	ccwildfire1	2
56	beeperbeeper5	2
56	Euclidoris	2
56	Prodiginus	2
56	NieToksikpl	2
56	Blackberry1310	2
56	Under1	2
56	MedSeaArch	2
56	ToxicHauntling	2
56	NikoTheGreater	2
56	_Dean_123	2
56	redikul	2
56	Skrutinize	2
56	set67	2
56	PojkenJesper	2
56	actour	2
56	Diavri	2
56	Touched_Bread	2
56	Matek_	2
56	benediktine1	2
56	maddog2014	2
56	ouija_	2
56	ImDisconnected_	2
56	thatbeanyboi	2
56	itsKODASHi	2
56	Freeman666	2
56	Nyxiom_	2
56	CranialBlowout	2
56	KillerNekoRain	2
56	Shychelsoo	2
56	Azmodan_246	2
56	Werbe	2
56	Shavrin	2
56	TJawesome09	2
56	Blenderyoda	2
56	master9067	2
56	MinuteMira	2
56	SolicitedPuma101	2
56	dankxing	2
56	_Sir_Leon_	2
56	zany0	2
56	OffWithTheirHead	2
56	bndo	2
56	AlexBurnsRed	2
56	Ze_BaronKrigler	2
56	somegirl12_	2
56	djancak	2
56	xzvu	2
56	SammiWolfGirl	2
56	Nekomin0	2
56	PortlyPete69	2
56	SpicyDuckMan	2
56	fffMike	2
56	Devouching	2
56	Crows_Dome	2
56	JasmineGK	2
56	Misterkill700	2
56	Legendosh	2
56	PlasticOtari	2
56	Sral7	2
56	calamariclam_I	2
56	KASAN420	2
56	MelodyGaysharks	2
56	Deliriohm	2
56	00000000-0000-0000-0009-01f16526f034	2
135	MunkaKris	1
135	rats_life	1
135	Judaxx	1
135	Whalezz	1
135	RosaDoesMC	1
135	JaytheGeek	1
135	Lepthymo	1
135	lolofied	1
135	emzero	1
135	PrpleFunkyMonkey	1
135	xExpresso	1
135	weezygator	1
135	KazmaninSapi	1
135	marguang	1
135	hbaoo	1
135	DigiBlox	1
135	duelcard	1
135	jjettii	1
135	Matemax	1
135	halcyonrift	1
135	NatalieTW	1
135	RED_DOG_	1
135	HazyDrummer	1
135	elicobnoah	1
