rank	username	minecraft:crafted/minecraft:polished_diorite_slab
1	joethahobo	33290
2	Ezekson	3186
3	_TCARREIRA_	1854
4	Hyp3rion_	1728
5	Western_1	1104
6	Lord_Jord	716
7	Onennon	666
8	burbankbuilder28	588
9	ryan521	570
10	JESS_THE_RERE	558
11	Jaka_Saurus_715	462
12	Inbefour	456
13	seanitoo	420
14	Smashic	402
15	NatalieTW	384
16	Kakolbus	330
17	Yirtle	288
18	Jovaphobic	252
18	Biites	252
20	Rebytre	246
21	sp00ky_ghost977	234
22	titanlax	228
23	KarlKaek	216
24	MrExplorer	192
24	Maenara	192
26	Studyhallsaver	186
27	Blu3beast	168
28	teslawolf38	156
29	12Magner05	126
29	Werbe	126
29	diggydog67	126
32	SSytex_X	114
33	Akoot_	110
34	Racengan	108
35	NameGenerat0r	102
35	RedcatVII	102
35	JayToe	102
38	himak1	96
38	Optiprimus	96
40	m_be9	84
41	Meatlaugh	78
42	DarlaMeow	72
43	Purplehere	66
44	_Huge_Male_	64
45	ImpavidArcher	62
46	LittleBug562	60
46	bruh072	60
48	oreee	48
48	TheShyPig	48
50	hayybails	42
50	Matorz	42
52	Stiar	36
52	TechnoNinja64	36
54	ratglock	30
54	ConnorDanky_	30
56	slkiey	24
56	Marbz_	24
56	Kijiki	24
59	Soplight	20
59	PlasticOtari	20
61	Merv__	18
61	Xalithia	18
61	Deerfoot	18
61	BlankityMcBlank	18
61	Nekomin0	18
66	Legendosh	16
67	ShedJr_	12
67	kekhon	12
67	lilsay	12
67	handsome_strong	12
67	FlashMigma	12
67	fluddd	12
67	07shiny	12
74	rats_life	6
74	Mr_Byzantine	6
74	Froste131	6
74	Jokerman369	6
74	BilboBaggins23	6
74	Kubelz	6
74	platinumzero	6
74	Arceus1975	6
74	Solar_Power	6
74	dendydoom	6
74	Bumpy419	6
74	Ajax6	6
74	Elastiq	6
74	The_slideV3	6
74	ReflexCode	6
74	iSammael	6
74	Conrad139	6
74	Eraxa	6
74	Sheldor097	6
74	Enderxz3	6
74	Smoke____	6
95	beeperbeeper5	2
95	Mookle96	2
95	LeauVox4921	2
